Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.2717628933,5.26507115897,0.0,5.23052894463,0.0,0.144011545277,0.144011545277,0.144011545277,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.177765504126
 01/01  02:00:00,1.03872694321,6.12727067207,0.0,6.09546639145,0.0,0.167794197611,0.167794197611,0.167794197611,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.107028428704
 01/01  03:00:00,0.959235774071,6.57517623251,0.0,6.54374069717,0.0,0.180116905734,0.180116905734,0.180116905734,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0876518485829
 01/01  04:00:00,0.953222826234,6.76000879117,0.0,6.72901575017,0.0,0.185208007207,0.185208007207,0.185208007207,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0931128714291
 01/01  05:00:00,1.01115933894,6.90674364331,0.0,6.87692136858,0.0,0.189271022342,0.189271022342,0.189271022342,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.150340481694
 01/01  06:00:00,1.32505192384,6.92320065877,0.0,6.88992139702,0.0,0.189625595133,0.189625595133,0.189625595133,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.397135136066
 01/01  07:00:00,2.09356946975,6.75696766976,0.0,6.71851675542,0.0,0.184896712018,0.184896712018,0.184896712018,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.860045351416
 01/01  08:00:00,2.69404960112,6.36549722073,0.0,6.32464024342,0.0,0.174043797508,0.174043797508,0.174043797508,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.991710733401
 01/01  09:00:00,2.53527770207,4.0804999598,0.0,4.04595774545,0.0,0.111324865154,0.111324865154,0.111324865154,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.965034686564
 01/01  10:00:00,2.12404242973,2.44837662568,0.0,2.41897840802,0.0,0.0665425039303,0.0665425039303,0.0665425039303,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.865050821122
 01/01  11:00:00,1.94716933309,1.06035443867,0.0,1.03026482361,0.0,0.0283342657674,0.0283342657674,0.0283342657674,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.74331164344
 01/01  12:00:00,1.82939480506,0.0300988336893,0.0,0.0,0.0,0.0,0.0,0.0,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.632948669478
 01/01  13:00:00,1.7218974228,0.0295918089258,0.0,0.0,0.0,0.0,0.0,0.0,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.548356847252
 01/01  14:00:00,1.63980753393,0.0306150770849,0.0,0.0,0.0,0.0,0.0,0.0,0.196088550257,0.0443238762875,0.43681890348,0.443774784773,0.496031419137
 01/01  15:00:00,1.5931245577,0.0323389612809,0.0,0.0,0.0,0.0,0.0,0.0,0.206409051718,0.0466566951156,0.402002089622,0.468763006619,0.446523714629
 01/01  16:00:00,1.69771671428,0.0341365945334,0.0,0.0,0.0,0.0,0.0,0.0,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.452067999619
 01/01  17:00:00,2.12569804757,0.0403776084408,0.0,0.0,0.0,0.0,0.0,0.0,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.51562937172
 01/01  18:00:00,2.96361551963,0.86751799189,0.0,0.818465650676,0.0,0.0225197877545,0.0225197877545,0.0225197877545,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.642275110397
 01/01  19:00:00,3.60743550571,0.952069255209,0.0,0.898813217775,0.0,0.0247247271312,0.0247247271312,0.0247247271312,1.19717217884,0.270608895381,0.522761393651,0.771962340148,0.767435970552
 01/01  20:00:00,3.64468674704,1.85328892613,0.0,1.79831822313,0.0,0.0494745913127,0.0494745913127,0.0494745913127,1.2694153222,0.286938743016,0.425376441419,0.79681693514,0.793894713953
 01/01  21:00:00,3.38633483081,3.4346558408,0.0,3.37779531823,0.0,0.0929536968016,0.0929536968016,0.0929536968016,1.09396765174,0.247280533344,0.37951047539,0.824210440373,0.725642033169
 01/01  22:00:00,3.07059225156,4.50810349281,0.0,4.45257045326,0.0,0.122558941934,0.122558941934,0.122558941934,0.918519983775,0.207622352631,0.359614732068,0.804968173282,0.634538067868
 01/01  23:00:00,2.50917182179,5.76094592433,0.0,5.71288919538,0.0,0.15727711092,0.15727711092,0.15727711092,0.691470175382,0.156299961941,0.289154633287,0.696596794044,0.495603146221
 01/01  24:00:00,1.94177406447,7.26861865022,0.0,7.22685824697,0.0,0.198988746339,0.198988746339,0.198988746339,0.474740745326,0.107310419037,0.191618322082,0.605329652219,0.341016179467
 01/02  01:00:00,1.32727737345,8.01109590756,0.0,7.97655369322,0.0,0.21964596958,0.21964596958,0.21964596958,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.165314856871
 01/02  02:00:00,1.10814539915,9.05556695204,0.0,9.02376267142,0.0,0.248507188433,0.248507188433,0.248507188433,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.100338755218
 01/02  03:00:00,1.03333615206,9.55391228321,0.0,9.52247674787,0.0,0.262259425196,0.262259425196,0.262259425196,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0826561519324
