Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.03901119978,6.59719633442,0.0,6.1127358431,0.0,0.19298224578,0.19298224578,0.19298224578,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,0.906219329446,7.32218894891,0.0,6.91893876219,0.0,0.218468541867,0.218468541867,0.218468541867,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,0.886916879434,8.65945657759,0.0,8.27330142243,0.0,0.261382797125,0.261382797125,0.261382797125,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,0.908058129005,9.84600473612,0.0,9.44648859378,0.0,0.29854041778,0.29854041778,0.29854041778,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,0.941350624577,11.0255077684,0.0,10.5541992306,0.0,0.333735254465,0.333735254465,0.333735254465,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,1.0228383344,11.9177484968,0.0,11.15005149,0.0,0.352766333673,0.352766333673,0.352766333673,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.34891805983,14.170175168,0.0,12.8485125351,0.0,0.406653543173,0.406653543173,0.406653543173,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.74308870055,13.5699494578,0.0,12.0912460037,0.0,0.382719994552,0.382719994552,0.382719994552,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.54169440843,8.92808913785,0.0,7.49816321052,0.0,0.23799055679,0.23799055679,0.23799055679,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.25355868545,6.20421981829,0.0,4.92134934543,0.0,0.156246961003,0.156246961003,0.156246961003,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
 01/01  11:00:00,1.21227844174,4.99863978094,0.0,3.88213087255,0.0,0.122986478145,0.122986478145,0.122986478145,0.159500966529,0.0345356726033,0.476182943291,0.398846381168
 01/01  12:00:00,1.17361832158,2.97451624438,0.0,2.00413354244,0.0,0.0634150775658,0.0634150775658,0.0634150775658,0.159500966529,0.0345356726033,0.496972028135,0.398968576751
