Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.29074829648,11.7805953779,0.0,11.3246809077,0.0,0.315018449606,0.315018449606,0.315018449606,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.10312383005,11.864592232,0.0,11.517499805,0.0,0.320360749881,0.320360749881,0.320360749881,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.03064965989,11.9251159671,0.0,11.6078499434,0.0,0.322854905005,0.322854905005,0.322854905005,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.01522453714,11.9795750374,0.0,11.6543129119,0.0,0.324130735573,0.324130735573,0.324130735573,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.01042737349,12.0266464945,0.0,11.6158726844,0.0,0.323047203523,0.323047203523,0.323047203523,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.0741297452,12.2543559138,0.0,11.4689574402,0.0,0.318944645922,0.318944645922,0.318944645922,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.38416961973,12.6066903069,0.0,11.1191710525,0.0,0.30920234986,0.30920234986,0.30920234986,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.89681930591,13.4491118372,0.0,11.7575843026,0.0,0.326938738532,0.326938738532,0.326938738532,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.78920024073,12.1421722106,0.0,10.4951813815,0.0,0.291844630236,0.291844630236,0.291844630236,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.50061633176,11.7295976912,0.0,10.2360704559,0.0,0.284607265622,0.284607265622,0.284607265622,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.4841729676,11.6454839667,0.0,10.3340129837,0.0,0.287295097707,0.287295097707,0.287295097707,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.47143654048,10.2693734995,0.0,9.12439159354,0.0,0.253633128031,0.253633128031,0.253633128031,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.43149482594,9.53542774108,0.0,8.51844199151,0.0,0.236752670697,0.236752670697,0.236752670697,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.39636473329,9.25282400754,0.0,8.31471389912,0.0,0.231072813604,0.231072813604,0.231072813604,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.39793919916,9.094259561,0.0,8.22938092845,0.0,0.228688698329,0.228688698329,0.228688698329,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.50209286901,9.15921204056,0.0,8.28456287096,0.0,0.23022010097,0.23022010097,0.23022010097,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.89564111577,9.86943043652,0.0,8.89299503387,0.0,0.24715626859,0.24715626859,0.24715626859,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.64170696235,11.24724275,0.0,10.0734322542,0.0,0.280046118677,0.280046118677,0.280046118677,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.17684037602,11.233450292,0.0,9.8698384175,0.0,0.274465390193,0.274465390193,0.274465390193,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.17091346991,11.3894941344,0.0,9.98579057965,0.0,0.277738158453,0.277738158453,0.277738158453,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.93325775945,11.4910121762,0.0,10.1868886958,0.0,0.283356121066,0.283356121066,0.283356121066,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.67303341397,11.5222051924,0.0,10.3553595995,0.0,0.288058934522,0.288058934522,0.288058934522,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.208213626,11.5911318978,0.0,10.6419379384,0.0,0.29603665492,0.29603665492,0.29603665492,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.74624524664,11.6089208758,0.0,10.8999278651,0.0,0.303217634411,0.303217634411,0.303217634411,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.27973371348,11.6416026112,0.0,11.2044234755,0.0,0.311673163506,0.311673163506,0.311673163506,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.09511254084,11.7322361785,0.0,11.3950356982,0.0,0.316954322069,0.316954322069,0.316954322069,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.0225253729,11.7358021399,0.0,11.4256675895,0.0,0.317777062828,0.317777062828,0.317777062828,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,1.00770372403,11.7596283782,0.0,11.4420452829,0.0,0.318202893981,0.318202893981,0.318202893981,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,1.00508160926,11.9316152826,0.0,11.5366718111,0.0,0.320817787493,0.320817787493,0.320817787493,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.07294109596,12.3389278346,0.0,11.5989464059,0.0,0.322535471345,0.322535471345,0.322535471345,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.38232985122,12.8827954272,0.0,11.4995239664,0.0,0.319759012205,0.319759012205,0.319759012205,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,1.88620370908,13.8279615708,0.0,12.2640789703,0.0,0.341011397129,0.341011397129,0.341011397129,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,1.76691799986,12.5673949495,0.0,11.0546137368,0.0,0.307405906856,0.307405906856,0.307405906856,0.485879522289,0.11071855625,0.32820696637,0.511307048096
