Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.25831504323,10.4905697448,0.0,10.0320184615,0.0,0.28258519636,0.28258519636,0.28258519636,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.07491073329,10.7166909792,0.0,10.3677856357,0.0,0.29214765312,0.29214765312,0.29214765312,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.02751974792,11.6627632707,0.0,11.3441494908,0.0,0.319724993028,0.319724993028,0.319724993028,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.03653688931,12.5798794262,0.0,12.2538326479,0.0,0.345443087734,0.345443087734,0.345443087734,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.04404842172,13.0614491747,0.0,12.6501810895,0.0,0.356668251756,0.356668251756,0.356668251756,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.12666107922,13.9584919781,0.0,13.1730183557,0.0,0.371475979936,0.371475979936,0.371475979936,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.47914739504,15.8176057123,0.0,14.3305715476,0.0,0.404180125169,0.404180125169,0.404180125169,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.95219969317,15.2423229101,0.0,13.551890267,0.0,0.382319125788,0.382319125788,0.382319125788,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.87156983869,14.9084222643,0.0,13.2620854366,0.0,0.374214228194,0.374214228194,0.374214228194,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.48068050686,10.8761112998,0.0,9.38223642272,0.0,0.264671440721,0.264671440721,0.264671440721,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.39269987159,8.25819543435,0.0,6.9449169792,0.0,0.195822001699,0.195822001699,0.195822001699,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.33834296794,5.42447771887,0.0,4.27690499337,0.0,0.120539555498,0.120539555498,0.120539555498,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.27760707565,3.96133779045,0.0,2.94124995575,0.0,0.0828649204106,0.0828649204106,0.0828649204106,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.2176121623,2.79947039052,0.0,1.85762286155,0.0,0.0523202426221,0.0523202426221,0.0523202426221,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.20159318315,2.01777853071,0.0,1.14861339333,0.0,0.0323426823183,0.0323426823183,0.0323426823183,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.30146267726,1.92994892383,0.0,1.05098220556,0.0,0.0295899092145,0.0295899092145,0.0295899092145,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.68715366102,2.35447420105,0.0,1.37353089612,0.0,0.0386688138366,0.0386688138366,0.0386688138366,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.43416307127,3.75289681567,0.0,2.57469241798,0.0,0.0725022275992,0.0725022275992,0.0725022275992,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,2.96650569222,3.6446802011,0.0,2.27685259839,0.0,0.0641307064025,0.0641307064025,0.0641307064025,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,2.96033494457,3.79248306504,0.0,2.38425946129,0.0,0.0671596331084,0.0671596331084,0.0671596331084,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.73300572562,4.25866995639,0.0,2.95013786667,0.0,0.0831040872419,0.0831040872419,0.0831040872419,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.48631421261,4.76848538125,0.0,3.59740523408,0.0,0.101339733169,0.101339733169,0.101339733169,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.02376736667,4.91498115048,0.0,3.96153238217,0.0,0.111590395592,0.111590395592,0.111590395592,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.56613514651,5.0838617616,0.0,4.37054001388,0.0,0.123107534281,0.123107534281,0.123107534281,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.10527300289,5.31374921409,0.0,4.87217782308,0.0,0.137212452916,0.137212452916,0.137212452916,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,0.915415286602,5.21753801903,0.0,4.87577004498,0.0,0.137257067835,0.137257067835,0.137257067835,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,0.850571409117,5.49635954203,0.0,5.18153268423,0.0,0.145823099049,0.145823099049,0.145823099049,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
