Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.15568987012,6.76012644851,0.0,6.29930007212,0.0,0.179960023245,0.179960023245,0.179960023245,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,0.954163458234,6.35569514058,0.0,6.00281604822,0.0,0.171400378068,0.171400378068,0.171400378068,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,0.864861837802,5.82680483782,0.0,5.5033016168,0.0,0.157067082913,0.157067082913,0.157067082913,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,0.841360734628,5.59820230843,0.0,5.266555898,0.0,0.150266933057,0.150266933057,0.150266933057,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,0.831825272149,5.48066469542,0.0,5.06335176915,0.0,0.144445102182,0.144445102182,0.144445102182,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,0.879838350039,5.16341132966,0.0,4.37104742999,0.0,0.124653250759,0.124653250759,0.124653250759,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.19242992271,5.61416749039,0.0,4.11963526567,0.0,0.117462652841,0.117462652841,0.117462652841,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.68067531158,5.5848385723,0.0,3.88633388375,0.0,0.1107947442,0.1107947442,0.1107947442,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.61730663694,5.86216902041,0.0,4.2080251153,0.0,0.119951026442,0.119951026442,0.119951026442,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.33617084727,5.71650602342,0.0,4.21643514612,0.0,0.120161781131,0.120161781131,0.120161781131,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
