Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.42514704785,10.8716743202,0.0,10.8371321058,0.0,0.297840837839,0.297840837839,0.297840837839,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.177320366116
 01/01  02:00:00,1.18355961778,11.4260041562,0.0,11.3941998756,0.0,0.313121644408,0.313121644408,0.313121644408,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.10653365648
 01/01  03:00:00,1.06237273837,10.356944317,0.0,10.3255087817,0.0,0.283734784957,0.283734784957,0.283734784957,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0871709336634
 01/01  04:00:00,1.06111270219,10.7130952423,0.0,10.6821022013,0.0,0.293499130848,0.293499130848,0.293499130848,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0927116237465
 01/01  05:00:00,1.11851277235,10.8417890616,0.0,10.8119667869,0.0,0.297035710763,0.297035710763,0.297035710763,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.149929226689
 01/01  06:00:00,1.42431498942,10.5648993634,0.0,10.5316201016,0.0,0.289321163148,0.289321163148,0.289321163148,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.396702633637
 01/01  07:00:00,2.19001284857,10.2958617115,0.0,10.2574107972,0.0,0.281766515617,0.281766515617,0.281766515617,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.859618926634
 01/01  08:00:00,2.81508808269,10.7988926852,0.0,10.7580357079,0.0,0.295490789789,0.295490789789,0.295490789789,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.991302222685
 01/01  09:00:00,2.69082866376,9.77164572001,0.0,9.73710350567,0.0,0.267444771034,0.267444771034,0.267444771034,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.96446574237
 01/01  10:00:00,2.30182880116,8.94997188983,0.0,8.92057367218,0.0,0.245000689091,0.245000689091,0.245000689091,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.864379007387
 01/01  11:00:00,2.15757733969,8.75168105933,0.0,8.72159144427,0.0,0.239514639404,0.239514639404,0.239514639404,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.742539276401
 01/01  12:00:00,2.02110251051,7.04067232773,0.0,7.01057349404,0.0,0.192515305383,0.192515305383,0.192515305383,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.632141069547
 01/01  13:00:00,1.88939946891,6.15781442278,0.0,6.12822261385,0.0,0.168276150534,0.168276150534,0.168276150534,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.547582742835
