Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.35081771441,13.8641922251,0.0,13.4099567031,0.0,0.375087867535,0.375087867535,0.375087867535,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.16972883364,14.1786137093,0.0,13.8335619685,0.0,0.386965753477,0.386965753477,0.386965753477,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.10370102972,14.4677478695,0.0,14.1527702333,0.0,0.395906274829,0.395906274829,0.395906274829,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.10014202366,14.9444868141,0.0,14.6218000335,0.0,0.409048222087,0.409048222087,0.409048222087,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.09624800974,15.022384707,0.0,14.6143377603,0.0,0.408867839773,0.408867839773,0.408867839773,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.17136668532,15.6579072214,0.0,14.8754010029,0.0,0.416181586036,0.416181586036,0.416181586036,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.48101728682,15.9966534084,0.0,14.5121946778,0.0,0.406050016948,0.406050016948,0.406050016948,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.00767955278,17.3344873544,0.0,15.6460985018,0.0,0.437798985406,0.437798985406,0.437798985406,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.89003681148,15.6747764258,0.0,14.0310979458,0.0,0.392681200982,0.392681200982,0.392681200982,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.59276763926,14.9537788568,0.0,13.4634440713,0.0,0.376758573119,0.376758573119,0.376758573119,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.56944976642,14.6238035499,0.0,13.3154527881,0.0,0.37257189653,0.37257189653,0.37257189653,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.54811756105,12.949043885,0.0,11.8070412786,0.0,0.330314148607,0.330314148607,0.330314148607,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.50894549519,12.2469495912,0.0,11.2329504754,0.0,0.314203339949,0.314203339949,0.314203339949,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.46374375202,11.606230449,0.0,10.6709701781,0.0,0.298451832335,0.298451832335,0.298451832335,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.46007564164,11.2610440251,0.0,10.3989197779,0.0,0.290825140809,0.290825140809,0.290825140809,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.55039261527,10.8314193983,0.0,9.95939265744,0.0,0.278519847226,0.278519847226,0.278519847226,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.92618778619,10.905177058,0.0,9.93071184843,0.0,0.277702939009,0.277702939009,0.277702939009,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.66083226575,11.870308792,0.0,10.697969923,0.0,0.29917142208,0.29917142208,0.29917142208,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.17210716743,11.0056531873,0.0,9.64336012313,0.0,0.269732181613,0.269732181613,0.269732181613,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.16970764678,11.2880994123,0.0,9.88572322467,0.0,0.276532335318,0.276532335318,0.276532335318,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.93068235154,11.3398542727,0.0,10.0369272155,0.0,0.280780713157,0.280780713157,0.280780713157,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.66924883961,11.3270564602,0.0,10.1614600904,0.0,0.284274360166,0.284274360166,0.284274360166,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.20356176133,11.3641332881,0.0,10.4159852298,0.0,0.291384790247,0.291384790247,0.291384790247,0.723420662017,0.164847621407,0.289154633287,0.71135405437
