Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.43487487555,11.1347244106,0.0,11.1001821963,0.0,0.307071601398,0.307071601398,0.307071601398,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.177817430255
 01/01  02:00:00,1.18493680149,11.3832000046,0.0,11.351395724,0.0,0.314082614022,0.314082614022,0.314082614022,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.106949870571
 01/01  03:00:00,1.1067813797,11.8757063025,0.0,11.8442707672,0.0,0.327771928579,0.327771928579,0.327771928579,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0875424313712
 01/01  04:00:00,1.09912177298,11.9994123445,0.0,11.9684193035,0.0,0.331229172235,0.331229172235,0.331229172235,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0929906531432
 01/01  05:00:00,1.15906207552,12.2169291162,0.0,12.1871068415,0.0,0.337308578313,0.337308578313,0.337308578313,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.150205662307
 01/01  06:00:00,1.47585082093,12.3381904919,0.0,12.3049112301,0.0,0.340600518847,0.340600518847,0.340600518847,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.396959109441
 01/01  07:00:00,2.24043981619,12.0309196307,0.0,11.9924687163,0.0,0.331968362952,0.331968362952,0.331968362952,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.859844046919
 01/01  08:00:00,2.80418254747,10.3117277079,0.0,10.2708707306,0.0,0.28433588682,0.28433588682,0.28433588682,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.991551590435
 01/01  09:00:00,2.68807868575,9.58256973595,0.0,9.54802752161,0.0,0.264324269936,0.264324269936,0.264324269936,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.964836265463
 01/01  10:00:00,2.28704582932,8.33148466225,0.0,8.3020864446,0.0,0.229813915674,0.229813915674,0.229813915674,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.864782808967
