Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.98898094207,0.0,0.921312553788,0.0,0.0321207923561,0.953433346144,0.0321207923561,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.149680932153
 01/01  02:00:00,2.03398060136,0.0,1.17367887347,0.0,0.0409177897712,1.21459666324,0.0409177897712,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.0965218822744
 01/01  03:00:00,2.15588862363,0.0,1.36618440151,0.0,0.0476272976298,1.41381169914,0.0476272976298,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.0825874322367
 01/01  04:00:00,2.29980648885,0.0,1.51720897964,0.0,0.0528990745966,1.57010805423,0.0528990745966,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.0866728555066
 01/01  05:00:00,2.47565458216,0.0,1.64915739345,0.0,0.0575075317634,1.70666492521,0.0575075317634,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.129050540648
 01/01  06:00:00,2.73466276019,0.0,1.65706572692,0.0,0.0577878459788,1.7148535729,0.0577878459788,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.313917018041
 01/01  07:00:00,3.37763013197,0.0,1.67353548247,0.0,0.0583652858918,1.73190076836,0.0583652858918,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.659869577023
 01/01  08:00:00,4.3387140448,0.0,2.09915652943,0.0,0.0732136779319,2.17237020736,0.0732136779319,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.755248893711
 01/01  09:00:00,3.9719972688,0.0,1.82762587511,0.0,0.0637458480213,1.89137172313,0.0637458480213,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.732973709035
 01/01  10:00:00,3.59072157983,0.0,1.74208510761,0.0,0.0607707414271,1.80285584904,0.0607707414271,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.656114701017
 01/01  11:00:00,3.59400549054,0.0,1.84192983012,0.0,0.0642548530587,1.90618468318,0.0642548530587,0.162434887409,0.0353205718184,0.476182943291,0.429279241118,0.564173163734
 01/01  12:00:00,3.23337793168,0.0,1.55300939539,0.0,0.0541734862873,1.60718288168,0.0541734862873,0.162434887409,0.0353205718184,0.496972028135,0.429410760493,0.481626802147
 01/01  13:00:00,2.23878026683,0.0,0.675647415158,0.0,0.0235690265393,0.699216441698,0.0235690265393,0.162434887409,0.0353205718184,0.481415945109,0.422177194849,0.417785225948
 01/01  14:00:00,1.88041218902,0.0,0.396777073787,0.0,0.0138397790839,0.410616852871,0.0138397790839,0.162434887409,0.0353205718184,0.43681890348,0.436775845512,0.378015127926
 01/01  15:00:00,1.43264066627,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.402002089622,0.461369968701,0.340674908082
 01/01  16:00:00,1.5245827301,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.411726405573,0.487016246893,0.345205524134
 01/01  17:00:00,1.89692226949,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.470575105936,0.576054864,0.392718643892
 01/01  18:00:00,2.59927487836,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.578065905983,0.699814596197,0.489126138545
 01/01  19:00:00,3.12615187751,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.522761393651,0.759787431353,0.585823873339
 01/01  20:00:00,3.11840805878,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.425376441419,0.784250035167,0.608145088693
 01/01  21:00:00,2.87130526943,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.37951047539,0.811211507112,0.556885895591
 01/01  22:00:00,2.58669525799,0.0,0.0,0.0,0.0,0.0,0.0,0.76087922449,0.165449067182,0.359614732068,0.792272717063,0.488049517184
 01/01  23:00:00,2.23344031528,0.0,0.149946731245,0.0,0.00522836441788,0.155175095663,0.00522836441788,0.572796678988,0.124551530177,0.289154633287,0.68561050366,0.385721873503
 01/01  24:00:00,2.01273604765,0.0,0.439352916257,0.0,0.0153185919288,0.454671508185,0.0153185919288,0.393263388227,0.0855129815683,0.191618322082,0.595782770301,0.271457077285
 01/02  01:00:00,1.77686940455,0.0,0.732701388469,0.0,0.0255455829599,0.758246971428,0.0255455829599,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.140425066245
 01/02  02:00:00,1.81342381234,0.0,0.969757552083,0.0,0.0338060579606,1.00356361004,0.0338060579606,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0916030078501
 01/02  03:00:00,1.94044181854,0.0,1.16450977011,0.0,0.0405940670189,1.20510383713,0.0405940670189,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0788949339799
