Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.03206382523,0.0,0.0,0.0,0.0,0.0,0.0,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.146197161463
 01/01  02:00:00,0.816018285901,0.0,0.0,0.0,0.0,0.0,0.0,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.0931562300524
 01/01  03:00:00,0.738870264233,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.0793807719813
 01/01  04:00:00,0.726512106537,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.0834865274273
 01/01  05:00:00,0.937508320565,0.0,0.165854931488,0.0,0.00575898070041,0.171613912189,0.00575898070041,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.125955292074
 01/01  06:00:00,1.31042421647,0.0,0.283766190396,0.0,0.00985282805058,0.293619018447,0.00985282805058,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.310913028777
 01/01  07:00:00,1.91530785497,0.0,0.263330965761,0.0,0.00914163135159,0.272472597112,0.00914163135159,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.65697547127
 01/01  08:00:00,2.66393419064,0.0,0.483652186208,0.0,0.016789517209,0.500441703417,0.016789517209,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.7523975435
 01/01  09:00:00,2.14334738322,0.0,0.0636368180209,0.0,0.00220931583595,0.0658461338569,0.00220931583595,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.729849412728
 01/01  10:00:00,1.78380697727,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.652055947495
 01/01  11:00:00,1.68208769029,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.476182943291,0.429279241118,0.558440046657
 01/01  12:00:00,1.61932656913,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.496972028135,0.429410760493,0.47475832128
 01/01  13:00:00,1.53269029905,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.481415945109,0.422177194849,0.410911699861
 01/01  14:00:00,1.46471941835,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.43681890348,0.436775845512,0.372939210135
 01/01  15:00:00,1.42834922542,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.402002089622,0.461369968701,0.336383467227
 01/01  16:00:00,1.52032355884,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.411726405573,0.487016246893,0.340946352874
 01/01  17:00:00,1.89342863119,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.470575105936,0.576054864,0.389225005587
 01/01  18:00:00,2.59654133826,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.578065905983,0.699814596197,0.486392598449
 01/01  19:00:00,3.12362285841,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.522761393651,0.759787431353,0.583294854239
 01/01  20:00:00,3.11589104614,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.425376441419,0.784250035167,0.60562807606
 01/01  21:00:00,2.8684700222,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.37951047539,0.811211507112,0.55405064836
 01/01  22:00:00,2.58405758646,0.0,0.0,0.0,0.0,0.0,0.0,0.76087922449,0.165449067182,0.359614732068,0.792272717063,0.485411845658
 01/01  23:00:00,2.07497493043,0.0,0.0,0.0,0.0,0.0,0.0,0.572796678988,0.124551530177,0.289154633287,0.68561050366,0.382431584318
 01/01  24:00:00,1.55489740891,0.0,0.0,0.0,0.0,0.0,0.0,0.393263388227,0.0855129815683,0.191618322082,0.595782770301,0.268289946736
 01/02  01:00:00,1.0152135862,0.0,0.0,0.0,0.0,0.0,0.0,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.137016219329
 01/02  02:00:00,0.806364262015,0.0,0.0,0.0,0.0,0.0,0.0,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0881070675648
 01/02  03:00:00,0.731718267649,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0752752202174
 01/02  04:00:00,0.720451884771,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0790192771842
 01/02  05:00:00,0.754164541757,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.117341773651
 01/02  06:00:00,0.988400339855,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.287287645275
 01/02  07:00:00,1.57729547797,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.603832122238
 01/02  08:00:00,2.07482324006,0.0,0.0,0.0,0.0,0.0,0.0,0.401812642967,0.0873719699637,0.25639820385,0.582893871518,0.68841655176
 01/02  09:00:00,1.97331346314,0.0,0.0,0.0,0.0,0.0,0.0,0.384714237118,0.08365401625,0.32820696637,0.492803099408,0.663505143989
 01/02  10:00:00,1.67104202041,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.39998131075,0.419415287967,0.591827225253
 01/02  11:00:00,1.57238457434,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.416780676038,0.429279241118,0.508139197956
 01/02  12:00:00,1.5169984199,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.435735142253,0.429410760493,0.433667057922
 01/02  13:00:00,1.44215485381,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.425637021538,0.422177194849,0.376155178193
 01/02  14:00:00,1.38359799873,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.385966199058,0.436775845512,0.342670494934
 01/02  15:00:00,1.3550812744,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.356355588907,0.461369968701,0.308762016929
 01/02  16:00:00,1.44986681586,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.368490937387,0.487016246893,0.313725078072
 01/02  17:00:00,1.81733513583,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.428670866964,0.576054864,0.355035749199
 01/02  18:00:00,2.51330957493,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.536821987543,0.699814596197,0.444404753557
 01/02  19:00:00,3.02780492769,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.482732692333,0.759787431353,0.52750562484
 01/02  20:00:00,3.01245365071,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.385424228339,0.784250035167,0.542142893712
 01/02  21:00:00,2.76752931062,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.338845876819,0.811211507112,0.493774535357
 01/02  22:00:00,2.49156820432,0.0,0.0,0.0,0.0,0.0,0.0,0.76087922449,0.165449067182,0.318073398495,0.792272717063,0.434463797087
 01/02  23:00:00,2.00161979846,0.0,0.0,0.0,0.0,0.0,0.0,0.572796678988,0.124551530177,0.256145886137,0.68561050366,0.342085199494
 01/02  24:00:00,1.51089331697,0.0,0.0,0.0,0.0,0.0,0.0,0.393263388227,0.0855129815683,0.173494335907,0.595782770301,0.242409840966
 01/03  01:00:00,1.01385724726,0.0,0.0,0.0,0.0,0.0,0.0,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.135659880387
 01/03  02:00:00,0.805009495705,0.0,0.0,0.0,0.0,0.0,0.0,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0867523012556
 01/03  03:00:00,0.730368795373,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0739257479416
 01/03  04:00:00,0.719148440707,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0777158331199
 01/03  05:00:00,0.753018083231,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.116195315125
 01/03  06:00:00,0.98758422615,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.28647153157
 01/03  07:00:00,1.57703600883,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.603572653097
 01/03  08:00:00,2.07468117258,0.0,0.0,0.0,0.0,0.0,0.0,0.401812642967,0.0873719699637,0.25639820385,0.582893871518,0.688274484278
 01/03  09:00:00,1.97322404786,0.0,0.0,0.0,0.0,0.0,0.0,0.384714237118,0.08365401625,0.32820696637,0.492803099408,0.663415728716
 01/03  10:00:00,1.67100131812,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.39998131075,0.419415287967,0.591786522963
 01/03  11:00:00,1.57241479598,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.416780676038,0.429279241118,0.5081694196
 01/03  12:00:00,1.5172153467,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.435735142253,0.429410760493,0.433883984732
 01/03  13:00:00,1.44196772837,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.425637021538,0.422177194849,0.375968052756
 01/03  14:00:00,1.38315189238,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.385966199058,0.436775845512,0.342224388579
 01/03  15:00:00,1.3548037778,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.356355588907,0.461369968701,0.308484520324
 01/03  16:00:00,1.44895891994,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.368490937387,0.487016246893,0.312817182155
 01/03  17:00:00,1.81615042521,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.428670866964,0.576054864,0.35385103858
 01/03  18:00:00,2.51205406954,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.536821987543,0.699814596197,0.44314924817
 01/03  19:00:00,3.02731292888,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.482732692333,0.759787431353,0.527013626026
 01/03  20:00:00,3.01205538276,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.385424228339,0.784250035167,0.541744625757
 01/03  21:00:00,2.76684076177,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.338845876819,0.811211507112,0.493085986505
 01/03  22:00:00,2.49146851349,0.0,0.0,0.0,0.0,0.0,0.0,0.76087922449,0.165449067182,0.318073398495,0.792272717063,0.434364106263
 01/03  23:00:00,2.0014184912,0.0,0.0,0.0,0.0,0.0,0.0,0.572796678988,0.124551530177,0.256145886137,0.68561050366,0.34188389224
 01/03  24:00:00,1.51062572746,0.0,0.0,0.0,0.0,0.0,0.0,0.393263388227,0.0855129815683,0.173494335907,0.595782770301,0.242142251454
