Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.32867777776,0.0,0.283874616667,0.0,0.00990754520954,0.293782161877,0.00990754520954,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.149028952115
 01/01  02:00:00,1.25721927428,0.0,0.424018756672,0.0,0.0148010550976,0.43881981177,0.0148010550976,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.0955374066583
 01/01  03:00:00,1.34779065897,0.0,0.586566336741,0.0,0.0204783298952,0.607044666636,0.0204783298952,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.0812565000829
 01/01  04:00:00,1.45192447019,0.0,0.699582186177,0.0,0.0244249975453,0.724007183723,0.0244249975453,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.0848917073532
 01/01  05:00:00,1.70448611015,0.0,0.905757538552,0.0,0.0316233302567,0.937380868808,0.0316233302567,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.127166125044
 01/01  06:00:00,2.02143897275,0.0,0.969680512018,0.0,0.0338577198996,1.00353823192,0.0338577198996,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.312008571589
 01/01  07:00:00,2.5194479316,0.0,0.846015719345,0.0,0.0295386131335,0.875554332478,0.0295386131335,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.658033812533
 01/01  08:00:00,3.31764770038,0.0,1.11425901268,0.0,0.0389030644177,1.1531620771,0.0389030644177,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.753390679548
 01/01  09:00:00,3.00198464661,0.0,0.892157626924,0.0,0.0311535498675,0.923311176792,0.0311535498675,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.731021633178
 01/01  10:00:00,2.65587275178,0.0,0.840718302996,0.0,0.0293529276247,0.87007123062,0.0293529276247,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.654050491388
 01/01  11:00:00,2.79113217543,0.0,1.06820581972,0.0,0.0372979229357,1.10550374266,0.0372979229357,0.162434887409,0.0353205718184,0.476182943291,0.429279241118,0.56198078914
 01/01  12:00:00,2.18905514712,0.0,0.54584017627,0.0,0.0190528709343,0.564893047204,0.0190528709343,0.162434887409,0.0353205718184,0.496972028135,0.429410760493,0.479593852057
 01/01  13:00:00,1.98540155206,0.0,0.432625318303,0.0,0.0151014313515,0.447726749654,0.0151014313515,0.162434887409,0.0353205718184,0.481415945109,0.422177194849,0.415896203222
 01/01  14:00:00,1.7030711865,0.0,0.226022488315,0.0,0.00788787155878,0.233910359874,0.00788787155878,0.162434887409,0.0353205718184,0.43681890348,0.436775845512,0.377380618409
 01/01  15:00:00,1.43231038993,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.402002089622,0.461369968701,0.340344631745
 01/01  16:00:00,1.5239264718,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.411726405573,0.487016246893,0.344549265832
 01/01  17:00:00,1.89608723485,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.470575105936,0.576054864,0.391883609255
 01/01  18:00:00,2.59829180006,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.578065905983,0.699814596197,0.488143060248
 01/01  19:00:00,3.12545208126,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.522761393651,0.759787431353,0.585124077093
 01/01  20:00:00,3.11764806306,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.425376441419,0.784250035167,0.607385092975
 01/01  21:00:00,2.87022070372,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.37951047539,0.811211507112,0.555801329882
 01/01  22:00:00,2.70529706061,0.0,0.115159612438,0.0,0.0040193074105,0.119178919848,0.0040193074105,0.76087922449,0.165449067182,0.359614732068,0.792272717063,0.487472399959
 01/01  23:00:00,2.33195944276,0.0,0.245770691831,0.0,0.00857568221744,0.254346374048,0.00857568221744,0.572796678988,0.124551530177,0.289154633287,0.68561050366,0.385069722597
 01/01  24:00:00,2.20049325496,0.0,0.621061309908,0.0,0.0216789583824,0.64274026829,0.0216789583824,0.393263388227,0.0855129815683,0.191618322082,0.595782770301,0.271145524489
 01/02  01:00:00,2.23432332066,0.0,1.17468550763,0.0,0.0410174352819,1.21570294291,0.0410174352819,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.14042301088
 01/02  02:00:00,2.1057889256,0.0,1.25205052712,0.0,0.0437253371813,1.2957758643,0.0437253371813,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0917558668536
 01/02  03:00:00,2.2582840749,0.0,1.47109073198,0.0,0.0513875889919,1.52247832097,0.0513875889919,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0793627064952
 01/02  04:00:00,2.26973267233,0.0,1.49294206078,0.0,0.0521624763224,1.5451045371,0.0521624763224,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.083195527646
 01/02  05:00:00,2.21263891329,0.0,1.4053352031,0.0,0.0491097206011,1.4544449237,0.0491097206011,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.121371221484
 01/02  06:00:00,2.60308961049,0.0,1.55641492761,0.0,0.0543937039724,1.61080863158,0.0543937039724,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.291168284334
 01/02  07:00:00,3.16555523039,0.0,1.53069001817,0.0,0.0534958303003,1.58418584847,0.0534958303003,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.607906026189
 01/02  08:00:00,4.00704322494,0.0,1.86288509066,0.0,0.065101139067,1.92798622973,0.065101139067,0.401812642967,0.0873719699637,0.25639820385,0.582893871518,0.692650306914
 01/02  09:00:00,3.07585920515,0.0,1.0613376989,0.0,0.0370904896563,1.09842818856,0.0370904896563,0.384714237118,0.08365401625,0.32820696637,0.492803099408,0.667622697444
 01/02  10:00:00,2.81433025618,0.0,1.10079833861,0.0,0.0384774102952,1.1392757489,0.0384774102952,0.196631694114,0.0427565023227,0.39998131075,0.419415287967,0.595839712122
 01/02  11:00:00,3.00048110071,0.0,1.37573068865,0.0,0.0480803869867,1.42381107564,0.0480803869867,0.162434887409,0.0353205718184,0.416780676038,0.429279241118,0.512424648693
 01/02  12:00:00,2.37062838294,0.0,0.820072846702,0.0,0.0286535898795,0.848726436582,0.0286535898795,0.162434887409,0.0353205718184,0.435735142253,0.429410760493,0.438570584383
 01/02  13:00:00,1.44578498644,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.425637021538,0.422177194849,0.379785310822
 01/02  14:00:00,1.3855283786,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.385966199058,0.436775845512,0.344600874802
 01/02  15:00:00,1.35697693591,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.356355588907,0.461369968701,0.310657678432
 01/02  16:00:00,1.45143897927,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.368490937387,0.487016246893,0.31529724149
 01/02  17:00:00,1.81844781176,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.428670866964,0.576054864,0.356148425132
 01/02  18:00:00,2.51419358731,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.536821987543,0.699814596197,0.44528876594
 01/02  19:00:00,3.02896390682,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.482732692333,0.759787431353,0.528664603971
 01/02  20:00:00,3.01387829817,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.385424228339,0.784250035167,0.543567541167
 01/02  21:00:00,2.76920505927,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.338845876819,0.811211507112,0.495450284004
 01/02  22:00:00,2.49329233811,0.0,0.0,0.0,0.0,0.0,0.0,0.76087922449,0.165449067182,0.318073398495,0.792272717063,0.436187930885
 01/02  23:00:00,2.00368366293,0.0,0.0,0.0,0.0,0.0,0.0,0.572796678988,0.124551530177,0.256145886137,0.68561050366,0.34414906397
 01/02  24:00:00,1.5130402879,0.0,0.0,0.0,0.0,0.0,0.0,0.393263388227,0.0855129815683,0.173494335907,0.595782770301,0.244556811891
 01/03  01:00:00,1.01595526687,0.0,0.0,0.0,0.0,0.0,0.0,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.137757899998
 01/03  02:00:00,0.806909401538,0.0,0.0,0.0,0.0,0.0,0.0,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0886522070879
 01/03  03:00:00,0.732068797895,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0756257504631
 01/03  04:00:00,0.720629626823,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0791970192364
 01/03  05:00:00,0.754348948073,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.117526179966
 01/03  06:00:00,1.01043596651,0.0,0.0209295535311,0.0,0.000731003270767,0.0216605568018,0.000731003270767,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.287662715132
 01/03  07:00:00,1.57832890376,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.604865548025
 01/03  08:00:00,2.0760452821,0.0,0.0,0.0,0.0,0.0,0.0,0.401812642967,0.0873719699637,0.25639820385,0.582893871518,0.689638593797
 01/03  09:00:00,1.97442935829,0.0,0.0,0.0,0.0,0.0,0.0,0.384714237118,0.08365401625,0.32820696637,0.492803099408,0.664621039142
 01/03  10:00:00,1.67220733833,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.39998131075,0.419415287967,0.592992543178
 01/03  11:00:00,1.57386421661,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.416780676038,0.429279241118,0.509618840231
 01/03  12:00:00,1.51924572522,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.435735142253,0.429410760493,0.435914363248
 01/03  13:00:00,1.44400072697,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.425637021538,0.422177194849,0.378001051352
 01/03  14:00:00,1.3845937609,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.385966199058,0.436775845512,0.343666257107
 01/03  15:00:00,1.35466819663,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.356355588907,0.461369968701,0.308348939152
 01/03  16:00:00,1.44853526525,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.368490937387,0.487016246893,0.31239352747
 01/03  17:00:00,1.81579353104,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.428670866964,0.576054864,0.353494144416
 01/03  18:00:00,2.51176597254,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.536821987543,0.699814596197,0.442861151168
 01/03  19:00:00,3.02722172896,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.482732692333,0.759787431353,0.526922426112
 01/03  20:00:00,3.01251126597,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.385424228339,0.784250035167,0.542200508965
 01/03  21:00:00,2.76761289212,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.338845876819,0.811211507112,0.49385811685
 01/03  22:00:00,2.49187960731,0.0,0.0,0.0,0.0,0.0,0.0,0.76087922449,0.165449067182,0.318073398495,0.792272717063,0.434775200082
 01/03  23:00:00,2.00249801772,0.0,0.0,0.0,0.0,0.0,0.0,0.572796678988,0.124551530177,0.256145886137,0.68561050366,0.342963418756
 01/03  24:00:00,1.51194857614,0.0,0.0,0.0,0.0,0.0,0.0,0.393263388227,0.0855129815683,0.173494335907,0.595782770301,0.243465100136
 01/04  01:00:00,1.015389414,0.0,0.0,0.0,0.0,0.0,0.0,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.137192047129
 01/04  02:00:00,0.806424439102,0.0,0.0,0.0,0.0,0.0,0.0,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0881672446519
 01/04  03:00:00,0.731704626516,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0752615790842
 01/04  04:00:00,0.720324240771,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0788916331846
 01/04  05:00:00,0.754128508181,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.117305740075
 01/04  06:00:00,0.98887455171,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.287761857131
 01/04  07:00:00,1.57876204646,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.605298690729
 01/04  08:00:00,2.07665320753,0.0,0.0,0.0,0.0,0.0,0.0,0.401812642967,0.0873719699637,0.25639820385,0.582893871518,0.690246519236
 01/04  09:00:00,1.97532867543,0.0,0.0,0.0,0.0,0.0,0.0,0.384714237118,0.08365401625,0.32820696637,0.492803099408,0.66552035628
 01/04  10:00:00,1.67312605679,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.39998131075,0.419415287967,0.593911261641
 01/04  11:00:00,1.57334834931,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.416780676038,0.429279241118,0.509102972923
 01/04  12:00:00,1.51578546668,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.435735142253,0.429410760493,0.432454104709
 01/04  13:00:00,1.43886358037,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.425637021538,0.422177194849,0.372863904759
 01/04  14:00:00,1.37948848581,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.385966199058,0.436775845512,0.338560982016
