Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.37613562912,9.03827553168,0.0,9.00373331734,0.0,0.248070240666,0.248070240666,0.248070240666,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.178079544554
 01/01  02:00:00,1.12479390207,9.23761608426,0.0,9.20581180364,0.0,0.253646838285,0.253646838285,0.253646838285,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.107242746892
 01/01  03:00:00,1.03508149636,9.31373181224,0.0,9.2822962769,0.0,0.255756903468,0.255756903468,0.255756903468,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0878575731384
 01/01  04:00:00,1.02600300452,9.386106678,0.0,9.355113637,0.0,0.257770976116,0.257770976116,0.257770976116,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0933300808043
 01/01  05:00:00,1.08227748511,9.47205056166,0.0,9.44222828693,0.0,0.260173173469,0.260173173469,0.260173173469,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.150556476745
 01/01  06:00:00,1.39499212405,9.44596858766,0.0,9.41268932591,0.0,0.259372575948,0.259372575948,0.259372575948,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.397328355463
 01/01  07:00:00,2.16190054265,9.22108059098,0.0,9.18262967664,0.0,0.253048530227,0.253048530227,0.253048530227,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.860224606101
 01/01  08:00:00,2.7644313544,8.90368588927,0.0,8.86282891196,0.0,0.244256268139,0.244256268139,0.244256268139,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.991880016042
 01/01  09:00:00,2.66448977853,8.76033471771,0.0,8.72579250337,0.0,0.240493475629,0.240493475629,0.240493475629,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.965078152543
 01/01  10:00:00,2.27970953576,8.09518862856,0.0,8.06579041091,0.0,0.222298640063,0.222298640063,0.222298640063,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.864961791015
