Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.54061347788,15.0300464287,0.0,14.9955042143,0.0,0.413769938946,0.413769938946,0.413769938946,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.176857695041
 01/01  02:00:00,1.29434020807,15.4128784579,0.0,15.3810741773,0.0,0.424400513568,0.424400513568,0.424400513568,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.106035377611
 01/01  03:00:00,1.21229717928,15.7678822352,0.0,15.7364466998,0.0,0.434191629551,0.434191629551,0.434191629551,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0866385299752
 01/01  04:00:00,1.21115980145,16.1293743563,0.0,16.0983813153,0.0,0.444160103366,0.444160103366,0.444160103366,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0920977504854
 01/01  05:00:00,1.26376064146,16.0830371018,0.0,16.0532148271,0.0,0.442901673997,0.442901673997,0.442901673997,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.149311132562
 01/01  06:00:00,1.58002028845,16.1863460391,0.0,16.1530667774,0.0,0.445641782541,0.445641782541,0.445641782541,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.396087313275
 01/01  07:00:00,2.35440443074,16.2340436485,0.0,16.1955927342,0.0,0.446800860983,0.446800860983,0.446800860983,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.858976163439
 01/01  08:00:00,2.99170856946,17.1784959533,0.0,17.137638976,0.0,0.472782299386,0.472782299386,0.472782299386,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.99063119986
 01/01  09:00:00,2.78351612647,13.1102053369,0.0,13.0756631225,0.0,0.360694551611,0.360694551611,0.360694551611,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.963903424502
 01/01  10:00:00,2.34432427033,10.4697615715,0.0,10.4403633539,0.0,0.287931746916,0.287931746916,0.287931746916,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.86394341873
 01/01  11:00:00,2.18139152036,9.59444964454,0.0,9.56436002948,0.0,0.263728986739,0.263728986739,0.263728986739,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.742139109733
 01/01  12:00:00,2.04676739661,7.95819459189,0.0,7.9280957582,0.0,0.218591050916,0.218591050916,0.218591050916,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.631730210115
 01/01  13:00:00,1.88224281047,5.88620211272,0.0,5.85661030379,0.0,0.161459689959,0.161459689959,0.161459689959,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.547242544969
 01/01  14:00:00,1.81281600954,6.34608262799,0.0,6.31546755091,0.0,0.174102976204,0.174102976204,0.174102976204,0.196088550257,0.0443238762875,0.43681890348,0.443774784773,0.494936918538
 01/01  15:00:00,1.77860094504,6.80015668393,0.0,6.76781772264,0.0,0.186582261695,0.186582261695,0.186582261695,0.206409051718,0.0466566951156,0.402002089622,0.468763006619,0.445417840266
 01/01  16:00:00,1.91461577369,7.94121936557,0.0,7.90708277104,0.0,0.218014299837,0.218014299837,0.218014299837,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.450952759192
 01/01  17:00:00,2.36191740493,8.64626994022,0.0,8.60589233178,0.0,0.23731490492,0.23731490492,0.23731490492,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.514533824155
 01/01  18:00:00,3.22420361484,10.3508606523,0.0,10.301808311,0.0,0.284142601844,0.284142601844,0.284142601844,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.64124039152
 01/01  19:00:00,3.85198088381,9.84753985395,0.0,9.79428381651,0.0,0.270186697806,0.270186697806,0.270186697806,1.19717217884,0.270608895381,0.522761393651,0.771962340148,0.766519377977
 01/01  20:00:00,3.88456848296,10.5748432529,0.0,10.5198725499,0.0,0.290233068031,0.290233068031,0.290233068031,1.2694153222,0.286938743016,0.425376441419,0.79681693514,0.793017973159
 01/01  21:00:00,3.60185935585,11.2674262246,0.0,11.210565702,0.0,0.309321966044,0.309321966044,0.309321966044,1.09396765174,0.247280533344,0.37951047539,0.824210440373,0.724798288965
 01/01  22:00:00,3.27877203503,12.0708774379,0.0,12.0153443984,0.0,0.331545342021,0.331545342021,0.331545342021,0.918519983775,0.207622352631,0.359614732068,0.804968173282,0.633731451249
 01/01  23:00:00,2.68716294319,12.226679894,0.0,12.178623165,0.0,0.336061778551,0.336061778551,0.336061778551,0.691470175382,0.156299961941,0.289154633287,0.696596794044,0.49480959999
 01/01  24:00:00,2.09427568118,12.8069554452,0.0,12.765195042,0.0,0.352236854771,0.352236854771,0.352236854771,0.474740745326,0.107310419037,0.191618322082,0.605329652219,0.340269687745
 01/02  01:00:00,1.46750305903,13.1035530172,0.0,13.0690108029,0.0,0.360615740458,0.360615740458,0.360615740458,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.16457077157
 01/02  02:00:00,1.22553896597,13.318075123,0.0,13.2862708423,0.0,0.366600644841,0.366600644841,0.366600644841,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.0996388656306
 01/02  03:00:00,1.14498846075,13.6067228258,0.0,13.5752872904,0.0,0.374557455048,0.374557455048,0.374557455048,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0820104307666
 01/02  04:00:00,1.14068575136,13.8127278793,0.0,13.7817348383,0.0,0.38023946587,0.38023946587,0.38023946587,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0871373094137
 01/02  05:00:00,1.19813928715,14.190259587,0.0,14.1604373123,0.0,0.390684896676,0.390684896676,0.390684896676,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.139022903774
 01/02  06:00:00,1.47831192895,13.7565963254,0.0,13.7233170637,0.0,0.378623430007,0.378623430007,0.378623430007,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.366176780973
 01/02  07:00:00,2.23777529112,14.9482076764,0.0,14.909756762,0.0,0.411357143023,0.411357143023,0.411357143023,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.790187172637
 01/02  08:00:00,2.81616624334,14.7463218923,0.0,14.705464915,0.0,0.405747413585,0.405747413585,0.405747413585,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.906812014967
 01/02  09:00:00,2.65733733489,13.0857699563,0.0,13.0512277419,0.0,0.360125824609,0.360125824609,0.360125824609,0.464420241369,0.104977600209,0.32820696637,0.500699824915,0.876136877413
 01/02  10:00:00,2.27132390076,12.6611334872,0.0,12.6317352696,0.0,0.348522214395,0.348522214395,0.348522214395,0.237370309854,0.0536552095187,0.39998131075,0.42613603994,0.782888816299
 01/02  11:00:00,2.11288162261,11.7841558557,0.0,11.7540662407,0.0,0.324287210637,0.324287210637,0.324287210637,0.196088550257,0.0443238762875,0.416780676038,0.436158054049,0.67247325534
 01/02  12:00:00,2.01221163339,11.0182171563,0.0,10.9881183226,0.0,0.303145947476,0.303145947476,0.303145947476,0.196088550257,0.0443238762875,0.435735142253,0.436291680904,0.573856436209
 01/02  13:00:00,1.92604544673,11.3158856196,0.0,11.2862938106,0.0,0.311369124901,0.311369124901,0.311369124901,0.196088550257,0.0443238762875,0.425637021538,0.42894220389,0.496914669856
 01/02  14:00:00,1.86679101796,11.7237616257,0.0,11.6931465486,0.0,0.322601428565,0.322601428565,0.322601428565,0.196088550257,0.0443238762875,0.385966199058,0.443774784773,0.451266179021
 01/02  15:00:00,1.8506561008,12.4945227792,0.0,12.4621838179,0.0,0.343832278991,0.343832278991,0.343832278991,0.206409051718,0.0466566951156,0.356355588907,0.468763006619,0.405869479445
 01/02  16:00:00,1.97833778795,13.2361318368,0.0,13.2019952422,0.0,0.364259893758,0.364259893758,0.364259893758,0.258011189652,0.0583208761344,0.368490937387,0.494820243304,0.41166464771
 01/02  17:00:00,2.38686928446,12.8076143187,0.0,12.7672367102,0.0,0.352275754068,0.352275754068,0.352275754068,0.433458860111,0.0979790858062,0.428670866964,0.585285624,0.466429093509
 01/02  18:00:00,3.20510476104,13.2411319314,0.0,13.1920795901,0.0,0.364009558127,0.364009558127,0.364009558127,0.80499507833,0.181961142806,0.536821987543,0.711028494362,0.583518499868
 01/02  19:00:00,3.80733348898,12.3925453959,0.0,12.3392893584,0.0,0.340517699758,0.340517699758,0.340517699758,1.19717217884,0.270608895381,0.482732692333,0.771962340148,0.691569682516
 01/02  20:00:00,3.81139338459,12.4048529046,0.0,12.3498822016,0.0,0.340849033661,0.340849033661,0.340849033661,1.2694153222,0.286938743016,0.385424228339,0.79681693514,0.709179122237
 01/02  21:00:00,3.51354177609,12.4310243794,0.0,12.3741638569,0.0,0.341521076579,0.341521076579,0.341521076579,1.09396765174,0.247280533344,0.338845876819,0.824210440373,0.644946197239
 01/02  22:00:00,3.18844679291,12.7264675679,0.0,12.6709345284,0.0,0.349715901567,0.349715901567,0.349715901567,0.918519983775,0.207622352631,0.318073398495,0.804968173282,0.566776983163
 01/02  23:00:00,2.60507756858,12.3541648366,0.0,12.3061081076,0.0,0.339605885239,0.339605885239,0.339605885239,0.691470175382,0.156299961941,0.256145886137,0.696596794044,0.442188865841
 01/02  24:00:00,2.03480279618,12.4948446107,0.0,12.4530842075,0.0,0.343614078214,0.343614078214,0.343614078214,0.474740745326,0.107310419037,0.173494335907,0.605329652219,0.307543565477
 01/03  01:00:00,1.4406962062,12.1206541703,0.0,12.086111956,0.0,0.333432097008,0.333432097008,0.333432097008,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.164947562193
 01/03  02:00:00,1.16947958829,11.2794825795,0.0,11.2476782989,0.0,0.310210164693,0.310210164693,0.310210164693,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.0999699681043
 01/03  03:00:00,1.05150791101,10.2121630065,0.0,10.1807274712,0.0,0.280699465975,0.280699465975,0.280699465975,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0823878701002
 01/03  04:00:00,1.00665899807,8.9470557762,0.0,8.9160627352,0.0,0.245742532845,0.245742532845,0.245742532845,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0876074891498
 01/03  05:00:00,1.02370621447,7.85309968901,0.0,7.82327741429,0.0,0.215529204618,0.215529204618,0.215529204618,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.139745523144
 01/03  06:00:00,1.34229040373,8.7994077686,0.0,8.76612850685,0.0,0.241457598131,0.241457598131,0.241457598131,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.367321087624
 01/03  07:00:00,2.05687159925,8.33395905214,0.0,8.2955081378,0.0,0.228475065666,0.228475065666,0.228475065666,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.792165558122
 01/03  08:00:00,2.65611475692,8.87804548783,0.0,8.83718851052,0.0,0.243374369176,0.243374369176,0.243374369176,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.909133572956
 01/03  09:00:00,2.49259838731,7.04832367231,0.0,7.01378145797,0.0,0.193112503077,0.193112503077,0.193112503077,0.464420241369,0.104977600209,0.32820696637,0.500699824915,0.878411251371
 01/03  10:00:00,2.10685256839,6.63936872593,0.0,6.60997050828,0.0,0.181945299234,0.181945299234,0.181945299234,0.237370309854,0.0536552095187,0.39998131075,0.42613603994,0.784994399098
 01/03  11:00:00,1.97429534663,6.71042430986,0.0,6.6803346948,0.0,0.183835023261,0.183835023261,0.183835023261,0.196088550257,0.0443238762875,0.416780676038,0.436158054049,0.674339166734
 01/03  12:00:00,1.84642071717,4.96018087717,0.0,4.93008204348,0.0,0.13562723908,0.13562723908,0.13562723908,0.196088550257,0.0443238762875,0.435735142253,0.436291680904,0.575584228389
 01/03  13:00:00,1.74688509451,4.77809197689,0.0,4.74850016796,0.0,0.130605188149,0.130605188149,0.130605188149,0.196088550257,0.0443238762875,0.425637021538,0.42894220389,0.498518254391
 01/03  14:00:00,1.66850080869,4.49510171883,0.0,4.46448664174,0.0,0.122782980122,0.122782980122,0.122782980122,0.196088550257,0.0443238762875,0.385966199058,0.443774784773,0.452794418192
 01/03  15:00:00,1.59525465983,3.19201664307,0.0,3.15967768179,0.0,0.0868830066448,0.0868830066448,0.0868830066448,0.206409051718,0.0466566951156,0.356355588907,0.468763006619,0.407417310827
 01/03  16:00:00,1.6969819344,2.98944471448,0.0,2.95530811995,0.0,0.0812474428816,0.0812474428816,0.0812474428816,0.258011189652,0.0583208761344,0.368490937387,0.494820243304,0.413321245041
 01/03  17:00:00,2.1428841138,3.91968142647,0.0,3.87930381803,0.0,0.106644286256,0.106644286256,0.106644286256,0.433458860111,0.0979790858062,0.428670866964,0.585285624,0.468075390659
 01/03  18:00:00,2.98350068927,5.16544348315,0.0,5.11639114193,0.0,0.140668239864,0.140668239864,0.140668239864,0.80499507833,0.181961142806,0.536821987543,0.711028494362,0.585255746361
