Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.25102485832,10.0956083895,0.0,9.63776337251,0.0,0.275295011447,0.275295011447,0.275295011447,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.05010678363,9.70923069787,0.0,9.3599784153,0.0,0.267343703461,0.267343703461,0.267343703461,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,0.982818296393,9.94987305096,0.0,9.63031824198,0.0,0.275023541504,0.275023541504,0.275023541504,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,0.958198378452,9.68133582514,0.0,9.35384827463,0.0,0.267104576881,0.267104576881,0.267104576881,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,0.953552298678,9.73511873723,0.0,9.32198725068,0.0,0.266172128712,0.266172128712,0.266172128712,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.01830352922,10.0035503181,0.0,9.21575216863,0.0,0.263118429935,0.263118429935,0.263118429935,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.32900082431,10.387816603,0.0,8.89792685733,0.0,0.25403355444,0.25403355444,0.25403355444,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.83961475766,11.1421354208,0.0,9.44822457243,0.0,0.269734190286,0.269734190286,0.269734190286,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.74551078034,10.3418867828,0.0,8.69272017277,0.0,0.248155169848,0.248155169848,0.248155169848,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.45817515144,9.97768790772,0.0,8.48213428089,0.0,0.242166085303,0.242166085303,0.242166085303,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
