Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.67792135272,24.9879472067,0.0,24.5491533189,0.0,0.70219150585,0.70219150585,0.70219150585,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.49458647613,25.2155892852,0.0,24.8858381044,0.0,0.711823395965,0.711823395965,0.711823395965,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.44863857597,26.2002430338,0.0,25.9005974819,0.0,0.74084382108,0.74084382108,0.74084382108,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.45856631915,27.138105336,0.0,26.8307926941,0.0,0.767472517577,0.767472517577,0.767472517577,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.47882981973,28.0595123515,0.0,27.6671598967,0.0,0.791449649764,0.791449649764,0.791449649764,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.56857438409,29.1981164846,0.0,28.431547473,0.0,0.813389284808,0.813389284808,0.813389284808,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.91682663002,30.8917685937,0.0,29.4236416737,0.0,0.841859360153,0.841859360153,0.841859360153,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.40299785344,30.7844266329,0.0,29.1126060403,0.0,0.833117286059,0.833117286059,0.833117286059,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,2.2270854047,27.1279907795,0.0,25.4999143039,0.0,0.729729794209,0.729729794209,0.729729794209,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.90231026274,25.4639439767,0.0,23.9890848206,0.0,0.686301196599,0.686301196599,0.686301196599,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.84175283563,23.8381571931,0.0,22.5449554882,0.0,0.644874965741,0.644874965741,0.644874965741,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.79517658136,21.3158351278,0.0,20.1889874022,0.0,0.577373168917,0.577373168917,0.577373168917,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.73098622061,19.7533463551,0.0,18.7544177775,0.0,0.536244065366,0.536244065366,0.536244065366,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.6688022638,18.5329820449,0.0,17.6125617339,0.0,0.503510344122,0.503510344122,0.503510344122,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.65865767252,17.9673871705,0.0,17.1201540961,0.0,0.489407171681,0.489407171681,0.489407171681,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.79039720608,18.9965942545,0.0,18.1396740653,0.0,0.518524438034,0.518524438034,0.518524438034,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,2.23373578231,21.4276413838,0.0,20.4693145315,0.0,0.58525093513,0.58525093513,0.58525093513,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.94694960037,21.6231905344,0.0,20.4668287273,0.0,0.585288756693,0.585288756693,0.585288756693,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.48085244305,21.5728313469,0.0,20.2262427505,0.0,0.578477457228,0.578477457228,0.578477457228,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.47378549553,21.6859033962,0.0,20.2991657503,0.0,0.580610184073,0.580610184073,0.580610184073,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,3.26864712038,22.9175329275,0.0,21.6305836506,0.0,0.618745482003,0.618745482003,0.618745482003,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,3.00258763215,22.7391073686,0.0,21.5893673852,0.0,0.617613152701,0.617613152701,0.617613152701,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.54326308054,22.9928923494,0.0,22.0606883445,0.0,0.631086109457,0.631086109457,0.631086109457,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,2.08977740802,23.3005830351,0.0,22.6085468345,0.0,0.64674979579,0.64674979579,0.64674979579,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.63301217099,23.6677256882,0.0,23.2474320129,0.0,0.664951621014,0.664951621014,0.664951621014,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.45075423488,23.8371586494,0.0,23.5169427038,0.0,0.672596016112,0.672596016112,0.672596016112,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.39461738829,24.4158622355,0.0,24.1228186616,0.0,0.689869078223,0.689869078223,0.689869078223,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,1.41112849167,25.5341824823,0.0,25.2339765993,0.0,0.721627661624,0.721627661624,0.721627661624,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,1.40672767627,25.639600061,0.0,25.2622371596,0.0,0.7224638545,0.7224638545,0.7224638545,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.50469749108,27.0960995374,0.0,26.3740241852,0.0,0.754291866465,0.754291866465,0.754291866465,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.83694715949,28.4400481717,0.0,27.0749749168,0.0,0.77437632047,0.77437632047,0.77437632047,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,2.29916770495,27.9038987187,0.0,26.3584840491,0.0,0.753975392998,0.753975392998,0.753975392998,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,2.12665808789,24.8203300426,0.0,23.3249820608,0.0,0.667145994887,0.667145994887,0.667145994887,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/02  10:00:00,1.73878888045,21.4746531497,0.0,20.1221591902,0.0,0.575316048934,0.575316048934,0.575316048934,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/02  11:00:00,1.66990262597,19.8163370094,0.0,18.6280134593,0.0,0.532427023332,0.532427023332,0.532427023332,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/02  12:00:00,1.62242831982,17.3440251941,0.0,16.3039212527,0.0,0.465861793254,0.465861793254,0.465861793254,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/02  13:00:00,1.59005300478,16.7142354689,0.0,15.7904303734,0.0,0.451089773108,0.451089773108,0.451089773108,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/02  14:00:00,1.52427883847,15.2053204579,0.0,14.3497166998,0.0,0.409839623208,0.409839623208,0.409839623208,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/02  15:00:00,1.4972469798,13.8730385198,0.0,13.0840658752,0.0,0.373642979682,0.373642979682,0.373642979682,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/02  16:00:00,1.59148079555,13.507058196,0.0,12.7076300719,0.0,0.362843495698,0.362843495698,0.362843495698,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/02  17:00:00,1.9841340702,14.1122804494,0.0,13.2240016057,0.0,0.377553461986,0.377553461986,0.377553461986,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/02  18:00:00,2.74194762168,15.8339544733,0.0,14.7623177577,0.0,0.42153069645,0.42153069645,0.42153069645,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/02  19:00:00,3.29928848119,16.53522355,0.0,15.2994966808,0.0,0.436942196685,0.436942196685,0.436942196685,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/02  20:00:00,3.29929622172,16.8803821095,0.0,15.6178597519,0.0,0.446073123337,0.446073123337,0.446073123337,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/02  21:00:00,3.07815622013,17.5855447353,0.0,16.4168173854,0.0,0.468919180323,0.468919180323,0.468919180323,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/02  22:00:00,2.85056546338,18.8045332097,0.0,17.7539235043,0.0,0.50713231751,0.50713231751,0.50713231751,0.960961801745,0.218976686564,0.318073398495,0.822021259068
 01/02  23:00:00,2.3809365064,18.4206524583,0.0,17.5656461061,0.0,0.501768282465,0.501768282465,0.501768282465,0.723420662017,0.164847621407,0.256145886137,0.71135405437
 01/02  24:00:00,1.93302580014,18.4350983832,0.0,17.7896340657,0.0,0.50812217409,0.50812217409,0.50812217409,0.496676901655,0.113178951643,0.173494335907,0.618153436849
 01/03  01:00:00,1.48957578372,18.6853126961,0.0,18.2617401072,0.0,0.521515233748,0.521515233748,0.521515233748,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/03  02:00:00,1.25884274754,17.1621592166,0.0,16.8380768639,0.0,0.480684528776,0.480684528776,0.480684528776,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/03  03:00:00,1.19719741541,17.550484659,0.0,17.2535115196,0.0,0.492449105343,0.492449105343,0.492449105343,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/03  04:00:00,1.15745466026,16.7018321318,0.0,16.3971301308,0.0,0.467953830209,0.467953830209,0.467953830209,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/03  05:00:00,1.17517033524,17.5863989995,0.0,17.2040731047,0.0,0.490906513466,0.490906513466,0.490906513466,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/03  06:00:00,1.23789981308,17.8135074622,0.0,17.0855060541,0.0,0.487494188469,0.487494188469,0.487494188469,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/03  07:00:00,1.5432210564,18.2191394472,0.0,16.8465420552,0.0,0.480650217379,0.480650217379,0.480650217379,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/03  08:00:00,2.0586818082,19.5522917178,0.0,17.9985374123,0.0,0.513489496248,0.513489496248,0.513489496248,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/03  09:00:00,1.90801022699,17.2244512063,0.0,15.7215806299,0.0,0.448498133981,0.448498133981,0.448498133981,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/03  10:00:00,1.57381994896,15.7487122451,0.0,14.389190475,0.0,0.410347117438,0.410347117438,0.410347117438,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/03  11:00:00,1.53641602652,15.1874135427,0.0,13.9928257581,0.0,0.398940423879,0.398940423879,0.398940423879,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/03  12:00:00,1.48183908676,12.458841656,0.0,11.4126673193,0.0,0.325272560196,0.325272560196,0.325272560196,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/03  13:00:00,1.4464097234,11.7199898087,0.0,10.7902920723,0.0,0.30744649173,0.30744649173,0.30744649173,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/03  14:00:00,1.41504047466,11.4118342331,0.0,10.5509731079,0.0,0.300601259398,0.300601259398,0.300601259398,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/03  15:00:00,1.432050653,11.6209042013,0.0,10.8270619255,0.0,0.308446652879,0.308446652879,0.308446652879,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/03  16:00:00,1.55669696504,12.3194177098,0.0,11.5155301595,0.0,0.328059665184,0.328059665184,0.328059665184,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/03  17:00:00,1.9567295951,13.1820768136,0.0,12.289584966,0.0,0.350148986882,0.350148986882,0.350148986882,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/03  18:00:00,2.71839024797,15.0403613399,0.0,13.9645670528,0.0,0.397973322741,0.397973322741,0.397973322741,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/03  19:00:00,3.26011868943,15.1952828271,0.0,13.95470834,0.0,0.397772404929,0.397772404929,0.397772404929,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/03  20:00:00,3.2515277933,15.2393399703,0.0,13.9720685731,0.0,0.398304694922,0.398304694922,0.398304694922,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/03  21:00:00,3.06767781831,17.2499022684,0.0,16.0771446067,0.0,0.458440778498,0.458440778498,0.458440778498,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/03  22:00:00,2.81828723933,17.7048776304,0.0,16.650460389,0.0,0.47485409346,0.47485409346,0.47485409346,0.960961801745,0.218976686564,0.318073398495,0.822021259068
 01/03  23:00:00,2.39035205479,18.7806225843,0.0,17.9225321538,0.0,0.511183830855,0.511183830855,0.511183830855,0.723420662017,0.164847621407,0.256145886137,0.71135405437
 01/03  24:00:00,1.9607127064,19.4324128853,0.0,18.7848978174,0.0,0.535809080346,0.535809080346,0.535809080346,0.496676901655,0.113178951643,0.173494335907,0.618153436849
 01/04  01:00:00,1.53236192386,20.2078231237,0.0,19.7826954656,0.0,0.56430137388,0.56430137388,0.56430137388,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/04  02:00:00,1.36927676246,21.0457842302,0.0,20.7213712949,0.0,0.591118543695,0.591118543695,0.591118543695,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/04  03:00:00,1.31718667703,21.7642969707,0.0,21.4674569112,0.0,0.612438366958,0.612438366958,0.612438366958,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/04  04:00:00,1.33190179154,22.8193525927,0.0,22.5154570008,0.0,0.642400961487,0.642400961487,0.642400961487,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/04  05:00:00,1.34681377218,23.6007432948,0.0,23.2195300334,0.0,0.662549950408,0.662549950408,0.662549950408,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/04  06:00:00,1.43780760976,24.8145761859,0.0,24.0874994005,0.0,0.687401985146,0.687401985146,0.687401985146,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/04  07:00:00,1.81108623231,27.5938087807,0.0,26.2217274355,0.0,0.748515393295,0.748515393295,0.748515393295,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/04  08:00:00,2.2853902285,27.4757055876,0.0,25.922593739,0.0,0.740197916548,0.740197916548,0.740197916548,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/04  09:00:00,2.12177625954,24.6949977932,0.0,23.1925395048,0.0,0.662264166533,0.662264166533,0.662264166533,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/04  10:00:00,1.82848187837,24.6499147935,0.0,23.2916436298,0.0,0.665009046857,0.665009046857,0.665009046857,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/04  11:00:00,1.84046915747,25.8136174929,0.0,24.6213317516,0.0,0.70299355483,0.70299355483,0.70299355483,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/04  12:00:00,1.82462597966,24.4373517651,0.0,23.3946738357,0.0,0.668059453096,0.668059453096,0.668059453096,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/04  13:00:00,1.79749763439,23.9859136657,0.0,23.0603777013,0.0,0.658534402717,0.658534402717,0.658534402717,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/04  14:00:00,1.76963955862,23.7997564743,0.0,22.943258773,0.0,0.655200343358,0.655200343358,0.655200343358,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/04  15:00:00,1.78828323089,24.0615523276,0.0,23.272568517,0.0,0.664679230768,0.664679230768,0.664679230768,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/04  16:00:00,1.89105797253,23.9888721587,0.0,23.1899059474,0.0,0.662420672678,0.662420672678,0.662420672678,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/04  17:00:00,2.34893700464,26.8661421356,0.0,25.9790964137,0.0,0.74235639643,0.74235639643,0.74235639643,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/04  18:00:00,3.13711104797,29.6357279665,0.0,28.5655360969,0.0,0.816694122736,0.816694122736,0.816694122736,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/04  19:00:00,3.65482526569,28.9454744581,0.0,27.7101930323,0.0,0.792478981184,0.792478981184,0.792478981184,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/04  20:00:00,3.6620935319,29.5412827645,0.0,28.2793802212,0.0,0.808870433523,0.808870433523,0.808870433523,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/04  21:00:00,3.43829645743,30.1467699582,0.0,28.9792873939,0.0,0.829059417625,0.829059417625,0.829059417625,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/04  22:00:00,3.192983093,30.7392610642,0.0,29.6902741998,0.0,0.849549947123,0.849549947123,0.849549947123,0.960961801745,0.218976686564,0.318073398495,0.822021259068
 01/04  23:00:00,2.7287374348,30.540533396,0.0,29.687929251,0.0,0.849569210866,0.849569210866,0.849569210866,0.723420662017,0.164847621407,0.256145886137,0.71135405437
 01/04  24:00:00,2.29247265204,30.9589576372,0.0,30.3170621655,0.0,0.867569025985,0.867569025985,0.867569025985,0.496676901655,0.113178951643,0.173494335907,0.618153436849
 01/05  01:00:00,1.83562957596,30.748809052,0.0,30.3294528165,0.0,0.867569025985,0.867569025985,0.867569025985,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/05  02:00:00,1.64572724475,30.8838876729,0.0,30.5652697432,0.0,0.867569025985,0.867569025985,0.867569025985,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/05  03:00:00,1.57231733605,30.9335977673,0.0,30.6422781945,0.0,0.867569025985,0.867569025985,0.867569025985,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/05  04:00:00,1.55706985603,31.0476999381,0.0,30.7488479599,0.0,0.867569025985,0.867569025985,0.867569025985,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/05  05:00:00,1.55183284776,31.1692133679,0.0,30.7925288655,0.0,0.867569025985,0.867569025985,0.867569025985,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
