Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.25047874194,4.42442104413,0.0,4.38987882979,0.0,0.122327637784,0.122327637784,0.122327637784,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.178165260263
 01/01  02:00:00,0.984119505684,4.07714839248,0.0,4.04534411186,0.0,0.112704043133,0.112704043133,0.112704043133,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.107511145657
 01/01  03:00:00,0.900135151433,4.35863038969,0.0,4.32719485435,0.0,0.120544955289,0.120544955289,0.120544955289,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0881231763905
 01/01  04:00:00,0.885976941022,4.24730725977,0.0,4.21631421878,0.0,0.117443508223,0.117443508223,0.117443508223,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.093631485202
 01/01  05:00:00,0.944656258734,4.41863530856,0.0,4.38881303384,0.0,0.122236382577,0.122236382577,0.122236382577,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.150872041258
 01/01  06:00:00,1.2333257749,3.52789108623,0.0,3.49461182448,0.0,0.0973194924693,0.0973194924693,0.0973194924693,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.397715089791
 01/01  07:00:00,2.0024644305,3.38537237911,0.0,3.34692146477,0.0,0.0931989042816,0.0931989042816,0.0931989042816,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.860638119902
 01/01  08:00:00,2.64638120495,4.56179320627,0.0,4.52093622896,0.0,0.125896970184,0.125896970184,0.125896970184,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.992189164553
 01/01  09:00:00,2.55063731269,4.571129377,0.0,4.53658716265,0.0,0.126339978956,0.126339978956,0.126339978956,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.965379183381
 01/01  10:00:00,2.16966023881,4.04913073304,0.0,4.01973251539,0.0,0.111944328239,0.111944328239,0.111944328239,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.86526680589
 01/01  11:00:00,2.00913453258,3.2678998949,0.0,3.23781027985,0.0,0.0901549649132,0.0901549649132,0.0901549649132,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.743456143778
 01/01  12:00:00,1.85325967458,0.878895364307,0.0,0.848796530617,0.0,0.0236304126948,0.0236304126948,0.0236304126948,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.633183126302
 01/01  13:00:00,1.73194755532,0.378874500278,0.0,0.349282691352,0.0,0.00972264444862,0.00972264444862,0.00972264444862,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.548684335324
 01/01  14:00:00,1.64018199062,0.0306150770849,0.0,0.0,0.0,0.0,0.0,0.0,0.196088550257,0.0443238762875,0.43681890348,0.443774784773,0.496405875825
 01/01  15:00:00,1.59348848238,0.0323389612809,0.0,0.0,0.0,0.0,0.0,0.0,0.206409051718,0.0466566951156,0.402002089622,0.468763006619,0.446887639302
 01/01  16:00:00,1.69812817033,0.0341365945334,0.0,0.0,0.0,0.0,0.0,0.0,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.452479455664
 01/01  17:00:00,2.1261219085,0.0403776084408,0.0,0.0,0.0,0.0,0.0,0.0,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.516053232645
 01/01  18:00:00,2.95122758384,0.396911518064,0.0,0.347859176851,0.0,0.00968692220245,0.00968692220245,0.00968692220245,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.642720040162
 01/01  19:00:00,3.61113717758,1.05969803982,0.0,1.00644200239,0.0,0.0280308918348,0.0280308918348,0.0280308918348,1.19717217884,0.270608895381,0.522761393651,0.771962340148,0.767831477721
 01/01  20:00:00,3.65785554198,2.29166211666,0.0,2.23669141366,0.0,0.062304825298,0.062304825298,0.062304825298,1.2694153222,0.286938743016,0.425376441419,0.79681693514,0.794233274907
 01/01  21:00:00,3.37820507697,3.087990549,0.0,3.03113002642,0.0,0.0844514744058,0.0844514744058,0.0844514744058,1.09396765174,0.247280533344,0.37951047539,0.824210440373,0.726014501722
 01/01  22:00:00,3.06320952918,4.17544939047,0.0,4.11991635092,0.0,0.114801579762,0.114801579762,0.114801579762,0.918519983775,0.207622352631,0.359614732068,0.804968173282,0.634912707663
 01/01  23:00:00,2.49293614542,5.09554661861,0.0,5.04748988966,0.0,0.140660568224,0.140660568224,0.140660568224,0.691470175382,0.156299961941,0.289154633287,0.696596794044,0.495984012544
 01/01  24:00:00,1.91594210148,6.24096800413,0.0,6.19920760088,0.0,0.172763000076,0.172763000076,0.172763000076,0.474740745326,0.107310419037,0.191618322082,0.605329652219,0.341409962741
 01/02  01:00:00,1.31241776911,7.36914820904,0.0,7.3346059947,0.0,0.204411773165,0.204411773165,0.204411773165,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.16568944894
 01/02  02:00:00,1.05736116057,7.1131235232,0.0,7.08131924258,0.0,0.197363257746,0.197363257746,0.197363257746,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.100698447332
 01/02  03:00:00,0.971766861052,7.21649213181,0.0,7.18505659647,0.0,0.200261578213,0.200261578213,0.200261578213,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0830847079054
 01/02  04:00:00,0.972547877307,7.60153004875,0.0,7.57053700775,0.0,0.210999607707,0.210999607707,0.210999607707,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0882392935251
 01/02  05:00:00,1.03764859329,8.24898651113,0.0,8.2191642364,0.0,0.229102651746,0.229102651746,0.229102651746,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.140114454841
 01/02  06:00:00,1.30431229805,7.33322168267,0.0,7.29994242091,0.0,0.203498455364,0.203498455364,0.203498455364,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.367302124715
 01/02  07:00:00,2.0541770069,8.16840932198,0.0,8.12995840764,0.0,0.226638118578,0.226638118578,0.226638118578,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.791307912859
 01/02  08:00:00,2.63440402503,8.03416665211,0.0,7.9933096748,0.0,0.222850360384,0.222850360384,0.222850360384,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.907946849853
