Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.51888435788,17.3702752838,0.0,16.9238200738,0.0,0.54315451101,0.54315451101,0.54315451101,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.33346418234,17.4989166836,0.0,17.1611641281,0.0,0.55070110217,0.55070110217,0.55070110217,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.29691329631,18.6677980548,0.0,18.3600704669,0.0,0.589118541419,0.589118541419,0.589118541419,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.30716767209,19.5149396538,0.0,19.1995815192,0.0,0.616073870515,0.616073870515,0.616073870515,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.33495591161,20.5803857089,0.0,20.1799360549,0.0,0.647575741645,0.647575741645,0.647575741645,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.43661546068,22.0067143769,0.0,21.2321167937,0.0,0.681430361397,0.681430361397,0.681430361397,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.80331684119,24.1669196457,0.0,22.6909028554,0.0,0.728349571317,0.728349571317,0.728349571317,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.25745603264,23.0967930151,0.0,21.4170776038,0.0,0.687575465257,0.687575465257,0.687575465257,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,2.13826949843,21.5996159663,0.0,19.9638149699,0.0,0.640913887931,0.640913887931,0.640913887931,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.76308010804,18.52865225,0.0,17.0458191189,0.0,0.547071041899,0.547071041899,0.547071041899,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.68585672893,16.5416294199,0.0,15.240099316,0.0,0.488978859042,0.488978859042,0.488978859042,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.55419416921,11.6254281666,0.0,10.4892195833,0.0,0.336390756764,0.336390756764,0.336390756764,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.51305156494,10.9373434332,0.0,9.92895587709,0.0,0.318309409698,0.318309409698,0.318309409698,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.45286786188,9.90191110604,0.0,8.9721194848,0.0,0.287575942195,0.287575942195,0.287575942195,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.46580454887,10.1092022786,0.0,9.2528035607,0.0,0.296554048035,0.296554048035,0.296554048035,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.58564288547,10.6554254863,0.0,9.7895274208,0.0,0.313770117424,0.313770117424,0.313770117424,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
