Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.499690637655,0.0353437826845,0.0,0.0,0.0,0.0,0.0,0.051298941822,0.00853938354461,0.0389770129118,0.299196969621,0.091883329756
 01/01  02:00:00,0.412943414749,0.033714519307,0.0,0.0,0.0,0.0,0.0,0.0299243937853,0.00498130633154,0.0366038093052,0.275481597329,0.0561573079978
 01/01  03:00:00,0.389589809942,0.0260902648037,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0345384536427,0.272287607795,0.04803610866
 01/01  04:00:00,0.387712870274,0.0258269495104,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0332769556732,0.268454820353,0.0512534544028
 01/01  05:00:00,0.40684454975,0.0325350862223,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0338304829616,0.258313903582,0.0799725233609
 01/01  06:00:00,0.568088914516,0.0419761444586,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0360452309657,0.288257555466,0.209058488239
 01/01  07:00:00,0.892418812665,0.074652024733,0.0,0.0,0.0,0.0,0.0,0.0491615002853,0.00818357405654,0.0428581977933,0.333053258684,0.449367281846
 01/01  08:00:00,1.05247893418,0.113066091931,0.0,0.0,0.0,0.0,0.0,0.100460442107,0.0167229531842,0.0522011846794,0.353894040395,0.504405313816
 01/01  09:00:00,0.95438125097,0.116692270773,0.0,0.0,0.0,0.0,0.0,0.0961855325,0.016011338625,0.0605081669804,0.299196969621,0.472684243244
 01/01  10:00:00,0.796361125279,0.118086676095,0.0,0.0,0.0,0.0,0.0,0.0491615002853,0.00818357405654,0.0637657254319,0.254640815618,0.410814509887
 01/01  11:00:00,0.725367856654,0.106658753127,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0597797549385,0.260629545995,0.347791529712
 01/01  12:00:00,0.67134005926,0.121452971462,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0588912012469,0.260709395733,0.294572436272
 01/01  13:00:00,0.627491116287,0.135939988621,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0601596923813,0.256317660123,0.253846737774
 01/01  14:00:00,0.609282838516,0.114355347545,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0582516037592,0.265180981081,0.228683227667
 01/01  15:00:00,0.60242017932,0.110946652021,0.0,0.0,0.0,0.0,0.0,0.0427491226073,0.00711615000923,0.0552107169154,0.280112882153,0.207436307635
 01/01  16:00:00,0.638052302164,0.138644456113,0.0,0.0,0.0,0.0,0.0,0.0534364098927,0.00889518861577,0.0576101118494,0.295683581133,0.212632010673
 01/01  17:00:00,0.777144553186,0.216322879477,0.0,0.0,0.0,0.0,0.0,0.089773154822,0.0149439189946,0.0671024077954,0.349741854,0.245788217574
 01/01  18:00:00,1.02735755559,0.342786031824,0.0,0.0,0.0,0.0,0.0,0.166721580822,0.0277529898946,0.08424901191,0.424880457793,0.313958515173
 01/01  19:00:00,1.25058998917,0.275778392135,0.0,0.0,0.0,0.0,0.0,0.247944942963,0.0412736753538,0.0852833183682,0.461291938484,0.375001113996
 01/01  20:00:00,1.25464046491,0.158447042932,0.0,0.0,0.0,0.0,0.0,0.262907113322,0.0437643285196,0.076857507091,0.476143989818,0.385172526161
 01/01  21:00:00,1.18596566266,0.107800595774,0.0,0.0,0.0,0.0,0.0,0.226570368393,0.0377156025577,0.0671599615243,0.492513186181,0.352211544002
 01/01  22:00:00,1.08126301636,0.0848170922024,0.0,0.0,0.0,0.0,0.0,0.190233623463,0.0316668721788,0.0600180686125,0.481014823858,0.308534628247
 01/01  23:00:00,0.890289865115,0.0611239826866,0.0,0.0,0.0,0.0,0.0,0.143209591249,0.0238391076104,0.0513238084703,0.416256686051,0.245865671735
 01/01  24:00:00,0.703933077754,0.047023020914,0.0,0.0,0.0,0.0,0.0,0.0983229740367,0.0163671481131,0.0442136254855,0.361719314753,0.173515015365
 01/02  01:00:00,0.494697393006,0.0353437826845,0.0,0.0,0.0,0.0,0.0,0.051298941822,0.00853938354461,0.0386485741458,0.299196969621,0.0872185238731
 01/02  02:00:00,0.496053101595,0.033714519307,0.0830573997541,0.0,0.00164498198877,0.0847023817429,0.00164498198877,0.0299243937853,0.00498130633154,0.0364037809873,0.275481597329,0.0547646414192
 01/02  03:00:00,0.731480497448,0.0260902648037,0.336509180768,0.0,0.00636480983268,0.342873990601,0.00636480983268,0.0213745639571,0.003558075888,0.0344190020612,0.272287607795,0.0471722571467
 01/02  04:00:00,0.99427749055,0.0258269495104,0.596816189198,0.0,0.0109482640547,0.607764453252,0.0109482640547,0.0213745639571,0.003558075888,0.0331770229889,0.268454820353,0.0501535541098
 01/02  05:00:00,1.20884173249,0.0325350862223,0.791387201501,0.0,0.014441570179,0.80582877168,0.014441570179,0.0213745639571,0.003558075888,0.0336696072551,0.258313903582,0.0763018101273
 01/02  06:00:00,1.51998760883,0.0419761444586,0.948718763201,0.0,0.0173126234199,0.966031386621,0.0173126234199,0.0213745639571,0.003558075888,0.0357451070141,0.288257555466,0.195225919887
 01/02  07:00:00,2.576625204,0.074652024733,1.68759430054,0.0,0.0307959384215,1.71839023896,0.0307959384215,0.0491615002853,0.00818357405654,0.0422578350732,0.333053258684,0.415783796932
 01/02  08:00:00,1.83314550183,0.113066091931,0.806042354294,0.0,0.0147090036391,0.820751357933,0.0147090036391,0.100460442107,0.0167229531842,0.0510568111019,0.353894040395,0.465464897104
 01/02  09:00:00,1.24327030568,0.116692270773,0.323033098309,0.0,0.00589484534312,0.328927943653,0.00589484534312,0.0961855325,0.016011338625,0.0586542613656,0.299196969621,0.434499259921
