Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.479128946587,2.39309511089,0.0,2.09630530494,0.0,0.0417228281394,0.0417228281394,0.0417228281394,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.423971628165,2.44592934732,0.0,2.2217930669,0.0,0.0441208409647,0.0441208409647,0.0441208409647,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.410556920962,2.60601074082,0.0,2.40605440734,0.0,0.048215464241,0.048215464241,0.048215464241,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.407109633985,2.7005114123,0.0,2.49434019026,0.0,0.0500675785238,0.0500675785238,0.0500675785238,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.39924661784,2.87794369106,0.0,2.60735621484,0.0,0.0523346542113,0.0523346542113,0.0523346542113,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.433168663314,3.15260056687,0.0,2.61391810183,0.0,0.0524958322295,0.0524958322295,0.0524958322295,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.532883669068,3.98741879478,0.0,2.93399260821,0.0,0.0589479613716,0.0589479613716,0.0589479613716,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.652451533822,4.17155686537,0.0,2.96768966347,0.0,0.0597424601299,0.0597424601299,0.0597424601299,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.564902913829,3.29602377546,0.0,2.1515747642,0.0,0.0425506229091,0.0425506229091,0.0425506229091,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.440220477126,2.44218808251,0.0,1.41937412386,0.0,0.0279860132626,0.0279860132626,0.0279860132626,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.419137539889,1.72865397464,0.0,0.842955180546,0.0,0.0166588630425,0.0166588630425,0.0166588630425,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.409851721361,1.20641182967,0.0,0.412106022656,0.0,0.00817747522125,0.00817747522125,0.00817747522125,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.399591997244,0.792276375555,0.0,0.0643929604356,0.0,0.00127602415628,0.00127602415628,0.00127602415628,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.405745535823,0.654996964995,0.0,0.0,0.0,0.0,0.0,0.0,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.421455388573,0.608381341277,0.0,0.0,0.0,0.0,0.0,0.0,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.455357584883,0.646674029492,0.0,0.0,0.0,0.0,0.0,0.0,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.573855775627,0.827406524012,0.0,0.0362142971404,0.0,0.000718687513701,0.000718687513701,0.000718687513701,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.798955738594,2.06878767571,0.0,1.0171889798,0.0,0.0208008468981,0.0208008468981,0.0208008468981,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.981380926728,2.02995116218,0.0,0.925091386674,0.0,0.019080688413,0.019080688413,0.019080688413,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.981795145505,2.03495241894,0.0,1.02801285834,0.0,0.0211355037506,0.0211355037506,0.0211355037506,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.943095132036,2.17218014233,0.0,1.28112160694,0.0,0.0262238018717,0.0262238018717,0.0262238018717,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.878487451535,2.36341810099,0.0,1.58212339975,0.0,0.0322076646548,0.0322076646548,0.0322076646548,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.742784220943,2.59885841366,0.0,1.96754247207,0.0,0.0398571949703,0.0398571949703,0.0398571949703,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.621838060267,2.79760270488,0.0,2.32669670129,0.0,0.0468922345784,0.0468922345784,0.0468922345784,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
