Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.420982713013,0.891122414181,0.0,0.624974069367,0.0,0.012335055314,0.012335055314,0.012335055314,0.0515819817732,0.00861509811464,0.0389770129118,0.2996515649
 01/01  02:00:00,0.371806406355,0.936800445292,0.0,0.727847615928,0.0,0.0143654609731,0.0143654609731,0.0143654609731,0.0300895004845,0.00502547575691,0.0366038093052,0.275900159836
 01/01  03:00:00,0.358852283686,1.03502161314,0.0,0.846555913642,0.0,0.0167083956488,0.0167083956488,0.0167083956488,0.0214924919608,0.00358962503138,0.0345384536427,0.272701317403
 01/01  04:00:00,0.358780906194,1.29458355856,0.0,1.10134412859,0.0,0.0217371270454,0.0217371270454,0.0217371270454,0.0214924919608,0.00358962503138,0.0332769556732,0.268862706483
 01/01  05:00:00,0.350911606086,1.4341443428,0.0,1.18917436947,0.0,0.0234706243737,0.0234706243737,0.0234706243737,0.0214924919608,0.00358962503138,0.0338304829616,0.258706381759
 01/01  06:00:00,0.383563891125,1.66838970196,0.0,1.21189268182,0.0,0.0239190136001,0.0239190136001,0.0239190136001,0.0214924919608,0.00358962503138,0.0360452309657,0.288695529567
 01/01  07:00:00,0.465760106437,1.97181304014,0.0,1.10613862336,0.0,0.0218317555447,0.0218317555447,0.0218317555447,0.0494327203042,0.00825613810691,0.0428581977933,0.333559294688
 01/01  08:00:00,0.570064152152,2.04105283668,0.0,1.04997508196,0.0,0.0207232609306,0.0207232609306,0.0207232609306,0.101014728758,0.0168712362215,0.0522011846794,0.354431741563
 01/01  09:00:00,0.498937005238,1.76051243354,0.0,0.815007579902,0.0,0.0160857291081,0.0160857291081,0.0160857291081,0.0967162325,0.01615331175,0.0605081669804,0.2996515649
 01/01  10:00:00,0.396338329907,1.359057439,0.0,0.508389329493,0.0,0.0100340331027,0.0100340331027,0.0100340331027,0.0494327203042,0.00825613810691,0.0637657254319,0.255027712961
 01/01  11:00:00,0.380330667815,0.844607109985,0.0,0.103732229334,0.0,0.00204735340136,0.00204735340136,0.00204735340136,0.0408357277887,0.00682028916382,0.0597797549385,0.261025542523
 01/01  12:00:00,0.377474731783,0.671440068723,0.0,0.0,0.0,0.0,0.0,0.0,0.0408357277887,0.00682028916382,0.0588912012469,0.261105513584
 01/01  13:00:00,0.374344814572,0.621254715262,0.0,0.0,0.0,0.0,0.0,0.0,0.0408357277887,0.00682028916382,0.0601596923813,0.256707105238
 01/01  14:00:00,0.381313513701,0.558962093106,0.0,0.0,0.0,0.0,0.0,0.0,0.0408357277887,0.00682028916382,0.0582516037592,0.26558389299
