Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.501606814567,3.57384178429,0.0,3.27705197836,0.0,0.0642006961191,0.0642006961191,0.0642006961191,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.452558169586,3.93540244564,0.0,3.71126616521,0.0,0.0727073823863,0.0727073823863,0.0727073823863,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.440070810903,4.16756344023,0.0,3.96760704006,0.0,0.0777293541822,0.0777293541822,0.0777293541822,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.438618080496,4.37012727403,0.0,4.16395600649,0.0,0.0815760250346,0.0815760250346,0.0815760250346,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.431426977992,4.58456096672,0.0,4.31397339535,0.0,0.0845150143636,0.0845150143636,0.0845150143636,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.466204933113,4.90457211208,0.0,4.36588948578,0.0,0.0855321020288,0.0855321020288,0.0855321020288,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.573151789164,6.11779902201,0.0,5.0643727516,0.0,0.0992160814681,0.0992160814681,0.0992160814681,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.67859784063,5.58796227836,0.0,4.38409504297,0.0,0.0858887669375,0.0858887669375,0.0858887669375,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.591407205956,4.66927910886,0.0,3.52483009706,0.0,0.0690549150357,0.0690549150357,0.0690549150357,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.471343535771,4.03996974174,0.0,3.01715577467,0.0,0.0591090719077,0.0591090719077,0.0591090719077,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.445109979885,3.06176548713,0.0,2.17606668476,0.0,0.0426313030389,0.0426313030389,0.0426313030389,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.432214295408,2.35318811173,0.0,1.5588823007,0.0,0.030540049268,0.030540049268,0.030540049268,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
