Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.468440925314,1.88092644907,0.0,1.58413664313,0.0,0.0310348068657,0.0310348068657,0.0310348068657,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.415582362866,2.048014179,0.0,1.82387789858,0.0,0.0357315756656,0.0357315756656,0.0357315756656,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.400732803999,2.15959926814,0.0,1.95964293465,0.0,0.0383913472782,0.0383913472782,0.0383913472782,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.397301719841,2.26118030031,0.0,2.05500906965,0.0,0.0402596643794,0.0402596643794,0.0402596643794,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.388475697157,2.3921614109,0.0,2.12157380561,0.0,0.0415637335287,0.0415637335287,0.0415637335287,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.422019773671,2.64919043844,0.0,2.11050795697,0.0,0.0413469425867,0.0413469425867,0.0413469425867,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.522719580127,3.54354382341,0.0,2.49011763619,0.0,0.0487838724311,0.0487838724311,0.0487838724311,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.641093171397,3.673578789,0.0,2.46971158709,0.0,0.0483840977049,0.0483840977049,0.0483840977049,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.562962522559,3.21735239046,0.0,2.07290337919,0.0,0.0406102316384,0.0406102316384,0.0406102316384,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.452341380781,3.07002625955,0.0,2.04721224808,0.0,0.0401069169176,0.0401069169176,0.0401069169176,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.441181686121,2.86125017768,0.0,1.97555136909,0.0,0.0387030092755,0.0387030092755,0.0387030092755,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.439937075541,2.74738869076,0.0,1.95308288486,0.0,0.038262829401,0.038262829401,0.038262829401,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.434159726373,2.55748729309,0.0,1.82960387839,0.0,0.0358437532852,0.0358437532852,0.0358437532852,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.439304514804,2.36850100147,0.0,1.71298015611,0.0,0.0335589789809,0.0335589789809,0.0335589789809,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.451911234472,2.16419490094,0.0,1.55458423485,0.0,0.0304558458983,0.0304558458983,0.0304558458983,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.481986878331,2.00694745139,0.0,1.35926218953,0.0,0.0266292934481,0.0266292934481,0.0266292934481,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.598364801622,2.07914928963,0.0,1.28772012549,0.0,0.0252277135087,0.0252277135087,0.0252277135087,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
