Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.505388901162,0.0353437826845,0.00451625536015,0.0,8.24145482845e-05,0.00459866990843,8.24145482845e-05,0.051298941822,0.00853938354461,0.0389770129118,0.299196969621,0.0929829233549
 01/01  02:00:00,0.518649858128,0.033714519307,0.102515743576,0.0,0.00187075088211,0.104386494458,0.00187075088211,0.0299243937853,0.00498130633154,0.0366038093052,0.275481597329,0.0574772569188
 01/01  03:00:00,0.787107824516,0.0260902648037,0.389119215309,0.0,0.00710081290829,0.396220028217,0.00710081290829,0.0213745639571,0.003558075888,0.0345384536427,0.272287607795,0.0493340950167
 01/01  04:00:00,0.879797882498,0.0258269495104,0.482018668022,0.0,0.00879608162555,0.490814749647,0.00879608162555,0.0213745639571,0.003558075888,0.0332769556732,0.268454820353,0.0525237169787
 01/01  05:00:00,0.948364300143,0.0325350862223,0.530608259696,0.0,0.00968276515644,0.540291024852,0.00968276515644,0.0213745639571,0.003558075888,0.0338304829616,0.258313903582,0.0812012489017
 01/01  06:00:00,1.16996656057,0.0419761444586,0.5898669617,0.0,0.0107641431495,0.600631104849,0.0107641431495,0.0213745639571,0.003558075888,0.0360452309657,0.288257555466,0.210305029442
 01/01  07:00:00,1.43003116945,0.074652024733,0.526663163222,0.0,0.0096107733584,0.536273936581,0.0096107733584,0.0491615002853,0.00818357405654,0.0428581977933,0.333053258684,0.450705702049
 01/01  08:00:00,1.53587801138,0.113066091931,0.473288240446,0.0,0.00863676507067,0.481925005517,0.00863676507067,0.100460442107,0.0167229531842,0.0522011846794,0.353894040395,0.505879385494
 01/01  09:00:00,1.17817933403,0.116692270773,0.218108129644,0.0,0.00398012989709,0.222088259541,0.00398012989709,0.0961855325,0.016011338625,0.0605081669804,0.299196969621,0.47439406676
 01/01  10:00:00,0.798060201519,0.118086676095,0.0,0.0,0.0,0.0,0.0,0.0491615002853,0.00818357405654,0.0637657254319,0.254640815618,0.412513586127
 01/01  11:00:00,0.72664530678,0.106658753127,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0597797549385,0.260629545995,0.349068979839
 01/01  12:00:00,0.672578425172,0.121452971462,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0588912012469,0.260709395733,0.295810802184
 01/01  13:00:00,0.628848970136,0.135939988621,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0601596923813,0.256317660123,0.255204591623
 01/01  14:00:00,0.610560947969,0.114355347545,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0582516037592,0.265180981081,0.229961337121
 01/01  15:00:00,0.603409165994,0.110946652021,0.0,0.0,0.0,0.0,0.0,0.0427491226073,0.00711615000923,0.0552107169154,0.280112882153,0.208425294308
 01/01  16:00:00,0.639049431434,0.138644456113,0.0,0.0,0.0,0.0,0.0,0.0534364098927,0.00889518861577,0.0576101118494,0.295683581133,0.213629139943
 01/01  17:00:00,0.777734456443,0.216322879477,0.0,0.0,0.0,0.0,0.0,0.089773154822,0.0149439189946,0.0671024077954,0.349741854,0.246378120831
 01/01  18:00:00,1.02783024391,0.342786031824,0.0,0.0,0.0,0.0,0.0,0.166721580822,0.0277529898946,0.08424901191,0.424880457793,0.314431203486
 01/01  19:00:00,1.25113342506,0.275778392135,0.0,0.0,0.0,0.0,0.0,0.247944942963,0.0412736753538,0.0852833183682,0.461291938484,0.375544549892
 01/01  20:00:00,1.25526138341,0.158447042932,0.0,0.0,0.0,0.0,0.0,0.262907113322,0.0437643285196,0.076857507091,0.476143989818,0.385793444659
 01/01  21:00:00,1.18656150022,0.107800595774,0.0,0.0,0.0,0.0,0.0,0.226570368393,0.0377156025577,0.0671599615243,0.492513186181,0.352807381564
 01/01  22:00:00,1.08174989827,0.0848170922024,0.0,0.0,0.0,0.0,0.0,0.190233623463,0.0316668721788,0.0600180686125,0.481014823858,0.309021510163
 01/01  23:00:00,0.890603497376,0.0611239826866,0.0,0.0,0.0,0.0,0.0,0.143209591249,0.0238391076104,0.0513238084703,0.416256686051,0.246179303996
