Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.496888718445,3.33301189978,0.0,3.03622209384,0.0,0.0594825999967,0.0594825999967,0.0594825999967,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.444882460824,3.5436045664,0.0,3.31946828597,0.0,0.0650316736238,0.0650316736238,0.0650316736238,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.429633389689,3.63479700333,0.0,3.43484066985,0.0,0.0672919329688,0.0672919329688,0.0672919329688,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.423853327611,3.61647730377,0.0,3.41030588155,0.0,0.0668112721497,0.0668112721497,0.0668112721497,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.413210996368,3.65474675286,0.0,3.38415919974,0.0,0.0662990327393,0.0662990327393,0.0662990327393,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.44413338645,3.77795482332,0.0,3.23927233003,0.0,0.0634605553652,0.0634605553652,0.0634605553652,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.534083720111,4.12361350577,0.0,3.07018731873,0.0,0.060148012415,0.060148012415,0.060148012415,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.64886096521,4.07007704562,0.0,2.8662098437,0.0,0.0561518915184,0.0561518915184,0.0561518915184,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.576375966408,3.9020264728,0.0,2.75757746154,0.0,0.0540236754872,0.0540236754872,0.0540236754872,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.462952028215,3.61163471222,0.0,2.58882075496,0.0,0.0507175643517,0.0507175643517,0.0507175643517,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.449806126267,3.30147495819,0.0,2.41577616959,0.0,0.047327449421,0.047327449421,0.047327449421,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.440498919175,2.77606736285,0.0,1.98176155821,0.0,0.0388246730353,0.0388246730353,0.0388246730353,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.426916835999,2.18778213932,0.0,1.45989872463,0.0,0.0286008629108,0.0286008629108,0.0286008629108,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.426107978209,1.69489869713,0.0,1.03937785941,0.0,0.0203624423859,0.0203624423859,0.0203624423859,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.439780668787,1.54500388305,0.0,0.935393218573,0.0,0.0183252802135,0.0183252802135,0.0183252802135,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.47550292591,1.67598142778,0.0,1.02829616589,0.0,0.0201453410268,0.0201453410268,0.0201453410268,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.599850161223,2.15496779185,0.0,1.36353862771,0.0,0.0267130731104,0.0267130731104,0.0267130731104,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.825786148463,3.48288267848,0.0,2.43128367224,0.0,0.0476312567673,0.0476312567673,0.0476312567673,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.994499179568,2.74841830865,0.0,1.6435585673,0.0,0.0321989412527,0.0321989412527,0.0321989412527,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.991674504521,2.59005817562,0.0,1.58311861913,0.0,0.0310148627665,0.0310148627665,0.0310148627665,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.94933940008,2.54835447898,0.0,1.65729593571,0.0,0.0324680699149,0.0324680699149,0.0324680699149,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.881547094961,2.5814745745,0.0,1.80017988437,0.0,0.0352673080804,0.0352673080804,0.0352673080804,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.743118874303,2.68286339282,0.0,2.05154747607,0.0,0.0401918483304,0.0401918483304,0.0401918483304,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.61819297767,2.67840799867,0.0,2.20750199809,0.0,0.0432471519823,0.0432471519823,0.0432471519823,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.484472836327,2.70480326312,0.0,2.41923220832,0.0,0.047395156645,0.047395156645,0.047395156645,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.430028066032,2.79009856963,0.0,2.57145271063,0.0,0.0503773071498,0.0503773071498,0.0503773071498,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.414657465504,2.87213357164,0.0,2.67650881549,0.0,0.0524354603645,0.0524354603645,0.0524354603645,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.409475046956,2.8829054341,0.0,2.68148374575,0.0,0.052532924179,0.052532924179,0.052532924179,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.400064701706,2.98209363321,0.0,2.72133316438,0.0,0.0533136137844,0.0533136137844,0.0533136137844,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.433090793477,3.19956135965,0.0,2.69093513922,0.0,0.0527180863441,0.0527180863441,0.0527180863441,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.523642678939,3.55173208852,0.0,2.56788100836,0.0,0.0503073339626,0.0503073339626,0.0503073339626,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.638343024562,3.51078773607,0.0,2.38774670587,0.0,0.0467783244469,0.0467783244469,0.0467783244469,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.565111106224,3.34158663812,0.0,2.27720592115,0.0,0.0446127209181,0.0446127209181,0.0446127209181,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.454667662305,3.22804265085,0.0,2.27546986499,0.0,0.0445787098574,0.0445787098574,0.0445787098574,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.442877327578,2.99223112983,0.0,2.16506411021,0.0,0.0424157516988,0.0424157516988,0.0424157516988,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.440480228758,2.8176089537,0.0,2.07099206469,0.0,0.040572787093,0.040572787093,0.040572787093,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.435237357491,2.6515083925,0.0,1.96457048095,0.0,0.0384878827938,0.0384878827938,0.0384878827938,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.438200256976,2.35389937485,0.0,1.73336216694,0.0,0.0339582827734,0.0339582827734,0.0339582827734,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.450509712001,2.12608665664,0.0,1.54857199023,0.0,0.0303380600675,0.0303380600675,0.0303380600675,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.48345087944,2.11053429391,0.0,1.49540440916,0.0,0.0292964544602,0.0292964544602,0.0292964544602,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.600322024227,2.2012876185,0.0,1.45159584358,0.0,0.0284382012421,0.0284382012421,0.0284382012421,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.818573773693,3.13198261213,0.0,2.13254995444,0.0,0.0417787671628,0.0417787671628,0.0417787671628,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,0.988255016189,2.45145094009,0.0,1.41625305742,0.0,0.0277458010333,0.0277458010333,0.0277458010333,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,0.983712325234,2.21035722015,0.0,1.28212015584,0.0,0.0251180045531,0.0251180045531,0.0251180045531,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.939813604352,2.08058224761,0.0,1.26448171206,0.0,0.0247724499582,0.0247724499582,0.0247724499582,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.870502999133,2.03356715638,0.0,1.31430913713,0.0,0.0257486185988,0.0257486185988,0.0257486185988,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/02  23:00:00,0.729761152853,2.00360977732,0.0,1.42214066343,0.0,0.0278611450702,0.0278611450702,0.0278611450702,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/02  24:00:00,0.603644180013,1.93629056817,0.0,1.49686342935,0.0,0.0293250381119,0.0293250381119,0.0293250381119,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/03  01:00:00,0.469934891683,1.96297461148,0.0,1.67715925371,0.0,0.0328572120009,0.0328572120009,0.0328572120009,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/03  02:00:00,0.413439019282,1.94344575217,0.0,1.72468356701,0.0,0.0337882603995,0.0337882603995,0.0337882603995,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/03  03:00:00,0.396839467984,1.96271963505,0.0,1.76700926871,0.0,0.0346174628444,0.0346174628444,0.0346174628444,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/03  04:00:00,0.391040215468,1.94201802068,0.0,1.74049860616,0.0,0.0340980926907,0.0340980926907,0.0340980926907,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/03  05:00:00,0.38184054284,2.05206341262,0.0,1.79110157067,0.0,0.0350894549177,0.0350894549177,0.0350894549177,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/03  06:00:00,0.423763529851,2.72412805353,0.0,2.21483550841,0.0,0.0433908227177,0.0433908227177,0.0433908227177,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/03  07:00:00,0.531302389146,3.94424412589,0.0,2.95886225944,0.0,0.05796704417,0.05796704417,0.05796704417,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/03  08:00:00,0.644863398408,3.8453437736,0.0,2.72057182,0.0,0.0532986982933,0.0532986982933,0.0532986982933,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/03  09:00:00,0.574699642962,3.83263232893,0.0,2.76664194267,0.0,0.0542012576564,0.0542012576564,0.0542012576564,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/03  10:00:00,0.466255840945,3.82093835916,0.0,2.86697534751,0.0,0.0561668884968,0.0561668884968,0.0561668884968,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/03  11:00:00,0.463594729776,4.05089619282,0.0,3.22256049211,0.0,0.0631331538976,0.0631331538976,0.0631331538976,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/03  12:00:00,0.465139713781,4.07730659049,0.0,3.32970760932,0.0,0.0652322721163,0.0652322721163,0.0652322721163,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/03  13:00:00,0.461489279848,3.99234507569,0.0,3.3045701896,0.0,0.0647398051506,0.0647398051506,0.0647398051506,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/03  14:00:00,0.465385905214,3.74230704559,0.0,3.12102285797,0.0,0.0611439310115,0.0611439310115,0.0611439310115,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/03  15:00:00,0.479070068292,3.58458727949,0.0,3.00640310021,0.0,0.0588984163581,0.0588984163581,0.0588984163581,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/03  16:00:00,0.514833373275,3.7131065544,0.0,3.09728834069,0.0,0.0606789482947,0.0606789482947,0.0606789482947,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/03  17:00:00,0.632944575417,3.86726799519,0.0,3.1167771014,0.0,0.0610607524323,0.0610607524323,0.0610607524323,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/03  18:00:00,0.860748626559,5.28578732918,0.0,4.28531765597,0.0,0.0839536200287,0.0839536200287,0.0839536200287,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/03  19:00:00,1.02237204655,4.19414700056,0.0,3.15771831563,0.0,0.0618628313956,0.0618628313956,0.0618628313956,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/03  20:00:00,1.01499973946,3.80863462014,0.0,2.87915085611,0.0,0.0564054187774,0.0564054187774,0.0564054187774,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/03  21:00:00,0.970419494941,3.64395546259,0.0,2.82672480856,0.0,0.0553783405468,0.0553783405468,0.0553783405468,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/03  22:00:00,0.899387296847,3.50892324236,0.0,2.78867547096,0.0,0.0546329163127,0.0546329163127,0.0546329163127,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/03  23:00:00,0.758105112396,3.45116343132,0.0,2.86892604597,0.0,0.056205104613,0.056205104613,0.056205104613,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/03  24:00:00,0.632832905541,3.42671426997,0.0,2.98676893693,0.0,0.0585137636401,0.0585137636401,0.0585137636401,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/04  01:00:00,0.498892114914,3.441303161,0.0,3.15524798814,0.0,0.0618144352318,0.0618144352318,0.0618144352318,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/04  02:00:00,0.443490279579,3.47749254091,0.0,3.25861618712,0.0,0.0638395206973,0.0638395206973,0.0638395206973,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/04  03:00:00,0.427241124127,3.5146218338,0.0,3.31882744879,0.0,0.0650191189882,0.0650191189882,0.0650191189882,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/04  04:00:00,0.421888152377,3.51671200515,0.0,3.31509668355,0.0,0.0649460295998,0.0649460295998,0.0649460295998,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/04  05:00:00,0.411027067385,3.54205420201,0.0,3.28089473156,0.0,0.0642759794629,0.0642759794629,0.0642759794629,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/04  06:00:00,0.443473858851,3.73087342191,0.0,3.22092697702,0.0,0.063101151718,0.063101151718,0.063101151718,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/04  07:00:00,0.533298154568,4.04761790528,0.0,3.06073384992,0.0,0.0599628095918,0.0599628095918,0.0599628095918,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/04  08:00:00,0.659394811129,4.58878182193,0.0,3.46231135999,0.0,0.0678301110146,0.0678301110146,0.0678301110146,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/04  09:00:00,0.580320672355,4.12113098192,0.0,3.05356103554,0.0,0.0598222870492,0.0598222870492,0.0598222870492,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/04  10:00:00,0.470898356708,4.05927461571,0.0,3.10394731801,0.0,0.0608094042602,0.0608094042602,0.0608094042602,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/04  11:00:00,0.461624743611,3.95148735714,0.0,3.12200477466,0.0,0.0611631677325,0.0611631677325,0.0611631677325,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/04  12:00:00,0.459997205963,3.81577686395,0.0,3.06721410945,0.0,0.0600897642984,0.0600897642984,0.0600897642984,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/04  13:00:00,0.457128032645,3.77055150357,0.0,3.0819552549,0.0,0.0603785579476,0.0603785579476,0.0603785579476,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/04  14:00:00,0.464362531589,3.69080314185,0.0,3.06878590784,0.0,0.0601205573867,0.0601205573867,0.0601205573867,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/04  15:00:00,0.479785974957,3.62178695071,0.0,3.04294574689,0.0,0.0596143230238,0.0596143230238,0.0596143230238,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/04  16:00:00,0.512315053343,3.58523724917,0.0,2.9687435458,0.0,0.058160628363,0.058160628363,0.058160628363,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/04  17:00:00,0.62637443546,3.53268683923,0.0,2.78141173243,0.0,0.0544906124759,0.0544906124759,0.0544906124759,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/04  18:00:00,0.826519314574,3.53960820396,0.0,2.53812110921,0.0,0.0497243080433,0.0497243080433,0.0497243080433,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/04  19:00:00,1.0048638977,3.3016710359,0.0,2.26403464394,0.0,0.0443546825437,0.0443546825437,0.0443546825437,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
