Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.505532717191,3.77423504694,0.0,3.477445241,0.0,0.0681265987427,0.0681265987427,0.0681265987427,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.450262227087,3.81820865547,0.0,3.59407237504,0.0,0.0704114398869,0.0704114398869,0.0704114398869,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.43739043436,4.03074658208,0.0,3.8307902486,0.0,0.0750489776393,0.0750489776393,0.0750489776393,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.434142368932,4.1416695985,0.0,3.93549836784,0.0,0.0771003134707,0.0771003134707,0.0771003134707,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.426073022196,4.31127424968,0.0,4.04068677238,0.0,0.0791610585672,0.0791610585672,0.0791610585672,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.459858564301,4.58062872709,0.0,4.04194626197,0.0,0.0791857332165,0.0791857332165,0.0791857332165,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.550829205458,4.97836788028,0.0,3.92494169371,0.0,0.0768934977619,0.0768934977619,0.0768934977619,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.681512112438,5.73671795581,0.0,4.5328507539,0.0,0.0888030387455,0.0888030387455,0.0888030387455,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.599051034927,5.05944971962,0.0,3.91500070836,0.0,0.0766987440064,0.0766987440064,0.0766987440064,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.478942220957,4.42783605741,0.0,3.4050220725,0.0,0.0667077570937,0.0667077570937,0.0667077570937,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.459600100023,3.8013972909,0.0,2.9156984915,0.0,0.0571214231767,0.0571214231767,0.0571214231767,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
