Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.484264548256,2.68862539944,0.0,2.3918355935,0.0,0.0468584298081,0.0468584298081,0.0468584298081,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.427662083475,2.66460986588,0.0,2.44047358545,0.0,0.0478112962752,0.0478112962752,0.0478112962752,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.411879230724,2.72855598792,0.0,2.52859968995,0.0,0.0495377740035,0.0495377740035,0.0495377740035,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.408547009353,2.83518339008,0.0,2.62901216418,0.0,0.0515049538917,0.0515049538917,0.0515049538917,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.39859957285,2.908923076,0.0,2.63833559908,0.0,0.0516876092218,0.0516876092218,0.0516876092218,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.434175518571,3.26966668293,0.0,2.73098421782,0.0,0.0535026874864,0.0535026874864,0.0535026874864,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.525156067225,3.66791155311,0.0,2.61448536655,0.0,0.0512203595287,0.0512203595287,0.0512203595287,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.65063207109,4.16048114362,0.0,2.95661394171,0.0,0.0579229973975,0.0579229973975,0.0579229973975,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.572051077156,3.68126738863,0.0,2.53681837737,0.0,0.0496987862354,0.0496987862354,0.0496987862354,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.451973410647,3.05124358571,0.0,2.02842962844,0.0,0.0397389467835,0.0397389467835,0.0397389467835,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.434825234367,2.53679226639,0.0,1.65109347288,0.0,0.0323465575208,0.0323465575208,0.0323465575208,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.425818265738,2.02671000023,0.0,1.23240419457,0.0,0.0241440195988,0.0241440195988,0.0241440195988,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
