Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.47631819565,2.28301281107,0.0,1.98622300513,0.0,0.0389120772021,0.0389120772021,0.0389120772021,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.425120007059,2.53485250598,0.0,2.31071616767,0.0,0.0452692198591,0.0452692198591,0.0452692198591,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.411067465156,2.68712037961,0.0,2.48716403394,0.0,0.0487260084356,0.0487260084356,0.0487260084356,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.407845922337,2.79939720067,0.0,2.59322596979,0.0,0.0508038668762,0.0508038668762,0.0508038668762,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.399627442436,2.96138962267,0.0,2.69080204044,0.0,0.0527154788072,0.0527154788072,0.0527154788072,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.434206597315,3.27125311908,0.0,2.73257059721,0.0,0.0535337662307,0.0535337662307,0.0535337662307,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.524255481174,3.62194215653,0.0,2.56851596933,0.0,0.0503197734773,0.0503197734773,0.0503197734773,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.652655538072,4.26376672902,0.0,3.05989952706,0.0,0.05994646438,0.05994646438,0.05994646438,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.572793705422,3.71917400922,0.0,2.57472499796,0.0,0.0504414145019,0.0504414145019,0.0504414145019,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.458117611531,3.3648673761,0.0,2.34205341884,0.0,0.0458831476677,0.0458831476677,0.0458831476677,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
