Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.472098339879,2.06761504223,0.0,1.77082523629,0.0,0.0346922214313,0.0346922214313,0.0346922214313,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.421024169514,2.32578512085,0.0,2.10164876901,0.0,0.0411733823143,0.0411733823143,0.0411733823143,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.407133635837,2.48632251052,0.0,2.28636616206,0.0,0.0447921791162,0.0447921791162,0.0447921791162,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.404543274154,2.63081725653,0.0,2.42464602569,0.0,0.0475012186929,0.0475012186929,0.0475012186929,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.397855463708,2.87094099067,0.0,2.60035338887,0.0,0.0509435000799,0.0509435000799,0.0509435000799,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.432869249062,3.20298967658,0.0,2.66430716701,0.0,0.0521964179777,0.0521964179777,0.0521964179777,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.52339549079,3.57804491873,0.0,2.52461873212,0.0,0.0494597830941,0.0494597830941,0.0494597830941,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.638425886479,3.53743024474,0.0,2.33356304283,0.0,0.045716812787,0.045716812787,0.045716812787,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.566968442048,3.42183002359,0.0,2.27738101232,0.0,0.0446161511277,0.0446161511277,0.0446161511277,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.458345981945,3.37652434606,0.0,2.35371032853,0.0,0.0461115180815,0.0461115180815,0.0461115180815,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.447616642525,3.18971525038,0.0,2.30401644638,0.0,0.0451379656791,0.0451379656791,0.0451379656791,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.442203304184,2.86306578859,0.0,2.06875996482,0.0,0.0405290580442,0.0405290580442,0.0405290580442,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.435455052607,2.62360578005,0.0,1.89572234213,0.0,0.0371390795194,0.0371390795194,0.0371390795194,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.429108054104,1.84803418873,0.0,1.19251334295,0.0,0.02336251828,0.02336251828,0.02336251828,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.4433804031,1.72874825482,0.0,1.11913758842,0.0,0.0219250145266,0.0219250145266,0.0219250145266,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.477369584531,1.77126290757,0.0,1.12357764562,0.0,0.0220119996475,0.0220119996475,0.0220119996475,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.595492433022,1.93253248061,0.0,1.14110331646,0.0,0.022355344909,0.022355344909,0.022355344909,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.806222937519,2.48430061432,0.0,1.43270167852,0.0,0.0280680458227,0.0280680458227,0.0280680458227,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.98837218535,2.43567281153,0.0,1.33081307172,0.0,0.0260719470345,0.0260719470345,0.0260719470345,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.976993449272,1.84068030158,0.0,0.833740745439,0.0,0.0163338075177,0.0163338075177,0.0163338075177,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.932281670376,1.67766194368,0.0,0.786603400428,0.0,0.0154103402115,0.0154103402115,0.0154103402115,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.861907146934,1.57897563271,0.0,0.797680933042,0.0,0.0156273600543,0.0156273600543,0.0156273600543,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.719345290199,1.46936767282,0.0,0.838051742679,0.0,0.0164182642263,0.0164182642263,0.0164182642263,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.593679361449,1.42713816217,0.0,0.956232161587,0.0,0.0187335357604,0.0187335357604,0.0187335357604,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.458663983146,1.38741951981,0.0,1.10184846501,0.0,0.0215863034639,0.0215863034639,0.0215863034639,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.403343987406,1.4280399326,0.0,1.2093940736,0.0,0.0236932285237,0.0236932285237,0.0236932285237,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.387213507932,1.47128777263,0.0,1.27566301648,0.0,0.0249915027934,0.0249915027934,0.0249915027934,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.383224939794,1.54299838004,0.0,1.34157669169,0.0,0.0262828170174,0.0262828170174,0.0262828170174,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.374936389185,1.69944734398,0.0,1.43868684995,0.0,0.028185301263,0.028185301263,0.028185301263,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.408124328722,1.92517638535,0.0,1.41655016108,0.0,0.0277516215885,0.0277516215885,0.0277516215885,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.497824445178,2.23386952445,0.0,1.25001844396,0.0,0.0244891002016,0.0244891002016,0.0244891002016,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.612950162867,2.21463780811,0.0,1.0915967779,0.0,0.0213854627529,0.0213854627529,0.0213854627529,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
