Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.527961249089,4.91907411565,0.0,4.62228430464,0.0,0.0905551306413,0.0905551306413,0.0905551306413,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.478763614326,5.27302975972,0.0,5.04889347641,0.0,0.0989128271258,0.0989128271258,0.0989128271258,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.464541223288,5.4166279191,0.0,5.21667158554,0.0,0.102199766567,0.102199766567,0.102199766567,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.461775532782,5.55217321819,0.0,5.34600198752,0.0,0.10473347732,0.10473347732,0.10473347732,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.453090788777,5.69036561129,0.0,5.41977813399,0.0,0.106178825149,0.106178825149,0.106178825149,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.48700106157,5.96608682568,0.0,5.42740436056,0.0,0.106328230486,0.106328230486,0.106328230486,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.577949472956,6.36269128531,0.0,5.30926509874,0.0,0.10401376526,0.10401376526,0.10401376526,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.694990712408,6.42471785873,0.0,5.22085065683,0.0,0.102281638716,0.102281638716,0.102281638716,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.620298242516,6.14398941895,0.0,4.99954040769,0.0,0.0979459515959,0.0979459515959,0.0979459515959,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.5041162169,5.71281420283,0.0,4.69000024557,0.0,0.0918817530369,0.0918817530369,0.0918817530369,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.488421285587,5.27254214149,0.0,4.38684333696,0.0,0.0859426087406,0.0859426087406,0.0859426087406,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.482101933763,4.89964623733,0.0,4.10534042108,0.0,0.0804276876229,0.0804276876229,0.0804276876229,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.474384212331,4.61070072284,0.0,3.88281730526,0.0,0.076068239243,0.076068239243,0.076068239243,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.477087927535,4.29711260174,0.0,3.64159175881,0.0,0.071342391711,0.071342391711,0.071342391711,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.488394491614,4.02644153118,0.0,3.41683086494,0.0,0.0669391030411,0.0669391030411,0.0669391030411,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.523107544284,4.10590537334,0.0,3.45822011144,0.0,0.0677499594008,0.0677499594008,0.0677499594008,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.644235768756,4.42058096692,0.0,3.62915180278,0.0,0.0710986806432,0.0710986806432,0.0710986806432,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.883282790124,6.41773377947,0.0,5.36613476719,0.0,0.105127898428,0.105127898428,0.105127898428,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.04292462402,5.22024039313,0.0,4.11538065236,0.0,0.0806243857046,0.0806243857046,0.0806243857046,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.03733421515,4.92070650346,0.0,3.91376694705,0.0,0.0766745733996,0.0766745733996,0.0766745733996,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.995091143085,4.88370049531,0.0,3.99264195205,0.0,0.07821981292,0.07821981292,0.07821981292,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.927140936056,4.90876067586,0.0,4.12746597619,0.0,0.0808611491761,0.0808611491761,0.0808611491761,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.787143870699,4.93006959337,0.0,4.29875366323,0.0,0.0842168447272,0.0842168447272,0.0842168447272,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.664805983812,5.05771621848,0.0,4.58681021789,0.0,0.0898601581238,0.0898601581238,0.0898601581238,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.532386876442,5.15052129177,0.0,4.86495023697,0.0,0.0953091967602,0.0953091967602,0.0953091967602,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.478077415877,5.24272333053,0.0,5.02407747152,0.0,0.0984266569949,0.0984266569949,0.0984266569949,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.463017724281,5.34062832764,0.0,5.14500357149,0.0,0.100795719142,0.100795719142,0.100795719142,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.461133930622,5.51977476963,0.0,5.31835308128,0.0,0.104191807845,0.104191807845,0.104191807845,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.454636765338,5.76766297304,0.0,5.50690247901,0.0,0.107885677416,0.107885677416,0.107885677416,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.489121481397,6.05958450645,0.0,5.55095828219,0.0,0.108748774264,0.108748774264,0.108748774264,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.601187364733,7.5099129725,0.0,6.52606185925,0.0,0.127852019757,0.127852019757,0.127852019757,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.702741907983,6.79795618624,0.0,5.67491493109,0.0,0.111177207868,0.111177207868,0.111177207868,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.626932817841,6.49720620739,0.0,5.43282532415,0.0,0.106434432535,0.106434432535,0.106434432535,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.511546962,6.1313822563,0.0,5.178809437,0.0,0.101458009552,0.101458009552,0.101458009552,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.495533316164,5.67999657525,0.0,4.85282953955,0.0,0.095071740285,0.095071740285,0.095071740285,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.490534164916,5.37255556099,0.0,4.62593866848,0.0,0.0906267232508,0.0906267232508,0.0906267232508,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.485146205163,5.19904911859,0.0,4.51211120697,0.0,0.0883967304661,0.0883967304661,0.0883967304661,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.492880782619,5.14500501026,0.0,4.52446780235,0.0,0.0886388084163,0.0886388084163,0.0886388084163,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.50986079509,5.15559561854,0.0,4.57808095214,0.0,0.0896891431562,0.0896891431562,0.0896891431562,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.545800630243,5.29310686038,0.0,4.67797697563,0.0,0.0916462052626,0.0916462052626,0.0916462052626,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.667225714973,5.61631090289,0.0,4.86661912797,0.0,0.0953418919889,0.0953418919889,0.0953418919889,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.908939728485,7.74461064933,0.0,6.74517799164,0.0,0.132144721955,0.132144721955,0.132144721955,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,1.06745670462,6.49421161777,0.0,5.45901373511,0.0,0.106947489461,0.106947489461,0.106947489461,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,1.05878803903,6.04251218564,0.0,5.11427512133,0.0,0.100193718349,0.100193718349,0.100193718349,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,1.01428519357,5.88190041262,0.0,5.06579982104,0.0,0.0992440391727,0.0992440391727,0.0992440391727,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
