Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.56466619199,1.0949434302,0.0,1.05874825491,0.0,0.0183718728843,0.0183718728843,0.0183718728843,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.465231475851,1.3200107236,0.0,1.28551229596,0.0,0.0223067838678,0.0223067838678,0.0223067838678,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125664676
 01/01  03:00:00,0.439590023166,1.44602038718,0.0,1.41915530285,0.0,0.0246258170496,0.0246258170496,0.0246258170496,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442594281
 01/01  04:00:00,0.441382798779,1.60410707594,0.0,1.57751621345,0.0,0.0273737663435,0.0273737663435,0.0273737663435,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418991792
 01/01  05:00:00,0.472738005787,1.78336608216,0.0,1.75009593987,0.0,0.030368446884,0.030368446884,0.030368446884,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253854
 01/01  06:00:00,0.679067490196,1.84042716019,0.0,1.79763075224,0.0,0.0311932921919,0.0311932921919,0.0311932921919,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992897
 01/01  07:00:00,1.09955523904,2.37112330942,0.0,2.29552355089,0.0,0.0398329505473,0.0398329505473,0.0398329505473,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801277009
 01/01  08:00:00,1.28121140627,1.93813663762,0.0,1.82406350752,0.0,0.0316519651746,0.0316519651746,0.0316519651746,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988375232
 01/01  09:00:00,1.16803179044,1.83527305815,0.0,1.71772939477,0.0,0.0298068081284,0.0298068081284,0.0298068081284,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106686372
 01/01  10:00:00,0.975879004457,1.64678996109,0.0,1.52797868104,0.0,0.0265141689423,0.0265141689423,0.0265141689423,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191958578
 01/01  11:00:00,0.880873825703,1.52580173272,0.0,1.41840133415,0.0,0.0246127338479,0.0246127338479,0.0246127338479,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438499947
 01/01  12:00:00,0.807318973043,1.41829269034,0.0,1.29609784622,0.0,0.0224904690666,0.0224904690666,0.0224904690666,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.388811313355
 01/01  13:00:00,0.747664845646,1.28595913577,0.0,1.14928977158,0.0,0.0199429897455,0.0199429897455,0.0199429897455,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009556445
 01/01  14:00:00,0.718929442617,1.12363322053,0.0,1.00852327601,0.0,0.0175003466044,0.0175003466044,0.0175003466044,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394968172
 01/01  15:00:00,0.702409239644,0.911665370879,0.0,0.799921631785,0.0,0.0138805976477,0.0138805976477,0.0138805976477,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085705937
 01/01  16:00:00,0.740794481715,0.844835411643,0.0,0.705349560595,0.0,0.0122395408032,0.0122395408032,0.0122395408032,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279996986669
 01/01  17:00:00,0.894196560378,0.604741175719,0.0,0.387423073499,0.0,0.00672273831458,0.00672273831458,0.00672273831458,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826362352
 01/01  18:00:00,1.18061518341,0.593875490887,0.0,0.249880422483,0.0,0.00433603676498,0.00433603676498,0.00433603676498,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412832216764
 01/01  19:00:00,1.43758817061,0.373524268137,0.0,0.0964332271918,0.0,0.0016733524552,0.0016733524552,0.0016733524552,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493309277949
 01/01  20:00:00,1.44713102128,0.197905849645,0.0,0.0381038950194,0.0,0.000661195815386,0.000661195815386,0.000661195815386,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.506522490455
 01/01  21:00:00,1.36261241141,0.215147940383,0.0,0.105945852856,0.0,0.00183841978701,0.00183841978701,0.00183841978701,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.462780990073
 01/01  22:00:00,1.23826908962,0.313322205324,0.0,0.22713634102,0.0,0.00394137129887,0.00394137129887,0.00394137129887,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.404753623084
 01/01  23:00:00,1.01670072479,0.422039079456,0.0,0.359730599929,0.0,0.00624220613715,0.00624220613715,0.00624220613715,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.320819219602
 01/01  24:00:00,0.796855478391,0.530548152085,0.0,0.482495825457,0.0,0.00837248319551,0.00837248319551,0.00837248319551,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223650748028
 01/02  01:00:00,0.548509977254,0.611897735369,0.0,0.575702560078,0.0,0.00998984810968,0.00998984810968,0.00998984810968,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108165202001
 01/02  02:00:00,0.449663267788,0.643807953703,0.0,0.60930952607,0.0,0.0105730112029,0.0105730112029,0.0105730112029,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0646781593878
 01/02  03:00:00,0.423316763233,0.680729001688,0.0,0.653863917351,0.0,0.0113461389122,0.0113461389122,0.0113461389122,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0544701292136
 01/02  04:00:00,0.422637013008,0.711125411872,0.0,0.684534549379,0.0,0.0118783494261,0.0118783494261,0.0118783494261,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0584914630101
 01/02  05:00:00,0.447667091798,0.72331184723,0.0,0.690041704941,0.0,0.0119739120506,0.0119739120506,0.0119739120506,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0934937504053
 01/02  06:00:00,0.638765850702,0.685636729573,0.0,0.642840321621,0.0,0.0111548525525,0.0111548525525,0.0111548525525,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.252153916994
 01/02  07:00:00,1.02437288649,0.736582118161,0.0,0.660982359624,0.0,0.0114696613038,0.0114696613038,0.0114696613038,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.546582576428
 01/02  08:00:00,1.20526313352,0.717735436837,0.0,0.603662306733,0.0,0.0104750181291,0.0104750181291,0.0104750181291,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.613361423106
 01/02  09:00:00,1.09125931589,0.576251837282,0.0,0.458708173902,0.0,0.00795970923479,0.00795970923479,0.00795970923479,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.572035216338
 01/02  10:00:00,0.909316924502,0.614254179043,0.0,0.495442898992,0.0,0.00859714660167,0.00859714660167,0.00859714660167,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.496692412379
 01/02  11:00:00,0.823951627609,0.592459661788,0.0,0.485059263219,0.0,0.0084169651132,0.0084169651132,0.0084169651132,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.420729171555
 01/02  12:00:00,0.760447273769,0.635375013931,0.0,0.513180169808,0.0,0.00890493165184,0.00890493165184,0.00890493165184,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.357291955969
 01/02  13:00:00,0.708066224035,0.653212357598,0.0,0.516542993405,0.0,0.00896328486977,0.00896328486977,0.00896328486977,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.3079571381
 01/02  14:00:00,0.68543491258,0.612143918802,0.0,0.497033974286,0.0,0.00862475565125,0.00862475565125,0.00862475565125,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.278279590708
 01/02  15:00:00,0.674444756651,0.596487777103,0.0,0.484744038009,0.0,0.00841149518447,0.00841149518447,0.00841149518447,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.251874062046
 01/02  16:00:00,0.713139853595,0.561075582022,0.0,0.421589730973,0.0,0.0073156134245,0.0073156134245,0.0073156134245,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.25846944583
 01/02  17:00:00,0.86422376988,0.542059013896,0.0,0.324740911675,0.0,0.00563504942933,0.00563504942933,0.00563504942933,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.296194525867
 01/02  18:00:00,1.14219734188,0.451349004982,0.0,0.107353936578,0.0,0.00186285348505,0.00186285348505,0.00186285348505,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.378247443683
 01/02  19:00:00,1.3901534064,0.409009938361,0.0,0.131918897416,0.0,0.00228911566383,0.00228911566383,0.00228911566383,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.447049773682
 01/02  20:00:00,1.39204400534,0.159801954626,0.0,0.0,0.0,0.0,0.0,0.0,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.454161991405
 01/02  21:00:00,1.30894827281,0.109202087527,0.0,0.0,0.0,0.0,0.0,0.0,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.41278544703
 01/02  22:00:00,1.19136716248,0.0861858643041,0.0,0.0,0.0,0.0,0.0,0.0,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.363318473595
 01/02  23:00:00,0.976035917679,0.0623084795269,0.0,0.0,0.0,0.0,0.0,0.0,0.164718627801,0.0295933730176,0.0502967902808,0.433473489764,0.287423636815
 01/02  24:00:00,0.766715145876,0.0480523266279,0.0,0.0,0.0,0.0,0.0,0.0,0.113090388878,0.0203178359816,0.0435869416981,0.376680396822,0.202509582496
 01/03  01:00:00,0.538479370696,0.0361951752915,0.0,0.0,0.0,0.0,0.0,0.0,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108124443553
 01/03  02:00:00,0.43908331573,0.0344984276322,0.0,0.0,0.0,0.0,0.0,0.0,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0646712185327
 01/03  03:00:00,0.411978364745,0.0268650843367,0.0,0.0,0.0,0.0,0.0,0.0,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0544778696379
 01/03  04:00:00,0.410788023839,0.0265908624928,0.0,0.0,0.0,0.0,0.0,0.0,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0585208232676
 01/03  05:00:00,0.436451603928,0.0692187084531,0.0,0.0359485661636,0.0,0.000623795585842,0.000623795585842,0.000623795585842,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0936283789997
 01/03  06:00:00,0.628063489833,0.0427964079525,0.0,0.0,0.0,0.0,0.0,0.0,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.252606408677
 01/03  07:00:00,1.01390723303,0.0755997585371,0.0,0.0,0.0,0.0,0.0,0.0,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.547586584272
 01/03  08:00:00,1.19578148579,0.114073130104,0.0,0.0,0.0,0.0,0.0,0.0,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.614354793509
 01/03  09:00:00,1.0841464076,0.11754366338,0.0,0.0,0.0,0.0,0.0,0.0,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.572882017283
 01/03  10:00:00,0.901420577435,0.118811280051,0.0,0.0,0.0,0.0,0.0,0.0,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.497393211913
 01/03  11:00:00,0.815849724046,0.107400398569,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.421044233105
 01/03  12:00:00,0.751749488409,0.122194844123,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.357499102262
 01/03  13:00:00,0.699230313862,0.136669364193,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.308084512797
 01/03  14:00:00,0.676841949929,0.115109944515,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.278311383709
 01/03  15:00:00,0.666016180995,0.111743739095,0.0,0.0,0.0,0.0,0.0,0.0,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.251856981575
 01/03  16:00:00,0.705813692949,0.139485851048,0.0,0.0,0.0,0.0,0.0,0.0,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.258458898609
 01/03  17:00:00,0.858615176427,0.217318102221,0.0,0.0,0.0,0.0,0.0,0.0,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.296220981844
 01/03  18:00:00,1.1403143391,0.343995068403,0.0,0.0,0.0,0.0,0.0,0.0,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.378227294379
 01/03  19:00:00,1.38776763416,0.277091040945,0.0,0.0,0.0,0.0,0.0,0.0,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.446953117109
 01/03  20:00:00,1.39195585739,0.159801954626,0.0,0.0,0.0,0.0,0.0,0.0,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.454073843461
 01/03  21:00:00,1.30885148118,0.109202087527,0.0,0.0,0.0,0.0,0.0,0.0,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.412688655396
 01/03  22:00:00,1.19122653986,0.0861858643041,0.0,0.0,0.0,0.0,0.0,0.0,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.363177850973
 01/03  23:00:00,0.975835060079,0.0623084795269,0.0,0.0,0.0,0.0,0.0,0.0,0.164718627801,0.0295933730176,0.0502967902808,0.433473489764,0.287222779214
 01/03  24:00:00,0.766335371154,0.0480523266279,0.0,0.0,0.0,0.0,0.0,0.0,0.113090388878,0.0203178359816,0.0435869416981,0.376680396822,0.202129807775
 01/04  01:00:00,0.537978194081,0.0361951752915,0.0,0.0,0.0,0.0,0.0,0.0,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.107623266938
 01/04  02:00:00,0.438462019632,0.0344984276322,0.0,0.0,0.0,0.0,0.0,0.0,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0640499224348
 01/04  03:00:00,0.411629552268,0.0268650843367,0.0,0.0,0.0,0.0,0.0,0.0,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0541290571611
 01/04  04:00:00,0.410622679033,0.0265908624928,0.0,0.0,0.0,0.0,0.0,0.0,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0583554784609
 01/04  05:00:00,0.436016972237,0.0423610254097,0.0,0.00909088312014,0.0,0.000157749066707,0.000157749066707,0.000157749066707,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0936597938283
 01/04  06:00:00,0.628884718094,0.0662746127748,0.0,0.0234782048223,0.0,0.000407404302721,0.000407404302721,0.000407404302721,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.253020232636
 01/04  07:00:00,1.02076175265,0.410686041777,0.0,0.33508628324,0.0,0.00581456694018,0.00581456694018,0.00581456694018,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.548626536952
 01/04  08:00:00,1.20115774411,0.347849294106,0.0,0.233776164002,0.0,0.00405658847465,0.00405658847465,0.00405658847465,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.61567446335
 01/04  09:00:00,1.09215983949,0.504188184718,0.0,0.386644521338,0.0,0.00670922852954,0.00670922852954,0.00670922852954,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.574186220638
 01/04  10:00:00,0.91126613424,0.619520738094,0.0,0.500709458043,0.0,0.00868853428801,0.00868853428801,0.00868853428801,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.49855023443
 01/04  11:00:00,0.826324122416,0.639180675875,0.0,0.531780277306,0.0,0.00922768902972,0.00922768902972,0.00922768902972,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.422290942445
 01/04  12:00:00,0.76305181772,0.709838000471,0.0,0.587643156348,0.0,0.0101970466725,0.0101970466725,0.0101970466725,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.358604384899
 01/04  13:00:00,0.709882448937,0.693421635435,0.0,0.556752271242,0.0,0.00966101422873,0.00966101422873,0.00966101422873,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.309075633643
 01/04  14:00:00,0.687489204561,0.673003486137,0.0,0.557893541622,0.0,0.0096808180624,0.0096808180624,0.0096808180624,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.279277820278
 01/04  15:00:00,0.675996765615,0.634367328877,0.0,0.522623589782,0.0,0.00906879809559,0.00906879809559,0.00906879809559,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.2527687681
 01/04  16:00:00,0.713949364546,0.55471683495,0.0,0.415230983902,0.0,0.00720527360353,0.00720527360353,0.00720527360353,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.259389296603
 01/04  17:00:00,0.863635918014,0.446639879549,0.0,0.229321777328,0.0,0.00397929396639,0.00397929396639,0.00397929396639,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.297262429464
 01/04  18:00:00,1.14166235843,0.343995068403,0.0,0.0,0.0,0.0,0.0,0.0,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.379575313712
 01/04  19:00:00,1.38906959045,0.277091040945,0.0,0.0,0.0,0.0,0.0,0.0,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.448255073399
 01/04  20:00:00,1.39357726248,0.159801954626,0.0,0.0,0.0,0.0,0.0,0.0,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.455695248542
 01/04  21:00:00,1.31054895053,0.109202087527,0.0,0.0,0.0,0.0,0.0,0.0,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.414386124756
 01/04  22:00:00,1.1928293235,0.0861858643041,0.0,0.0,0.0,0.0,0.0,0.0,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.364780634614
 01/04  23:00:00,0.977703799102,0.0830595051148,0.0,0.0207510255878,0.0,0.00036008106984,0.00036008106984,0.00036008106984,0.164718627801,0.0295933730176,0.0502967902808,0.433473489764,0.288731437168
 01/04  24:00:00,0.772085676662,0.304699702277,0.0,0.256647375649,0.0,0.00445345996053,0.00445345996053,0.00445345996053,0.113090388878,0.0203178359816,0.0435869416981,0.376680396822,0.203426653322
