Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.539954132533,5.53123729204,0.0,5.23444748654,0.0,0.102548014085,0.102548014085,0.102548014085,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.497422268245,6.22543965945,0.0,6.00130337904,0.0,0.117571481045,0.117571481045,0.117571481045,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.487226360296,6.5745651005,0.0,6.37460876701,0.0,0.124884903576,0.124884903576,0.124884903576,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.483011613325,6.63614503878,0.0,6.42997371935,0.0,0.125969557864,0.125969557864,0.125969557864,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.474397171258,6.77792585346,0.0,6.50733834877,0.0,0.12748520763,0.12748520763,0.12748520763,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.509590972226,7.11916329043,0.0,6.5804808205,0.0,0.128918141142,0.128918141142,0.128918141142,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.615839002511,8.29671950175,0.0,7.24329331485,0.0,0.141903294815,0.141903294815,0.141903294815,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.713342881082,7.36148356839,0.0,6.15761636647,0.0,0.120633807389,0.120633807389,0.120633807389,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.625803268917,6.4249872702,0.0,5.28053825893,0.0,0.103450977997,0.103450977997,0.103450977997,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.504905697439,5.75311234473,0.0,4.73029838746,0.0,0.0926712335759,0.0926712335759,0.0926712335759,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.488422788981,5.27261886954,0.0,4.38692007603,0.0,0.085944112135,0.085944112135,0.085944112135,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.476859714131,4.63206306868,0.0,3.83775724434,0.0,0.0751854679909,0.0751854679909,0.0751854679909,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.468214246356,4.29576178364,0.0,3.56787836492,0.0,0.0698982732679,0.0698982732679,0.0698982732679,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.471427171753,4.00816572033,0.0,3.35264487734,0.0,0.0656816359299,0.0656816359299,0.0656816359299,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.491933365776,4.20707936336,0.0,3.59746869711,0.0,0.0704779772023,0.0704779772023,0.0704779772023,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
