Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.515675057997,4.29193937125,0.0,3.99514956531,0.0,0.0782689395491,0.0782689395491,0.0782689395491,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.453533661476,3.98519527024,0.0,3.76105904629,0.0,0.073682874276,0.073682874276,0.073682874276,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.433495462311,3.83193207312,0.0,3.63197580219,0.0,0.0711540055906,0.0711540055906,0.0711540055906,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.426067320006,3.72948779495,0.0,3.52331662128,0.0,0.0690252645451,0.0690252645451,0.0690252645451,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.413813966014,3.68552456585,0.0,3.41493710391,0.0,0.0669020023857,0.0669020023857,0.0669020023857,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.445644264144,3.85507583896,0.0,3.31639337444,0.0,0.0649714330595,0.0649714330595,0.0649714330595,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.535180791039,4.17961225099,0.0,3.12618606443,0.0,0.0612450833432,0.0612450833432,0.0612450833432,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.662929051687,4.78816662106,0.0,3.58429941915,0.0,0.0702199779951,0.0702199779951,0.0702199779951,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.587484908056,4.46906984471,0.0,3.32462083345,0.0,0.0651326171357,0.0651326171357,0.0651326171357,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.473410792282,4.14549050428,0.0,3.12267654702,0.0,0.0611763284189,0.0611763284189,0.0611763284189,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.456169268758,3.62627438041,0.0,2.7405755869,0.0,0.0536905919125,0.0536905919125,0.0536905919125,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.456961093152,3.61636043016,0.0,2.8220546245,0.0,0.0552868470124,0.0552868470124,0.0552868470124,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.452613842704,3.49945680569,0.0,2.77157339099,0.0,0.0542978696164,0.0542978696164,0.0542978696164,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.458242171322,3.33515227397,0.0,2.67963143109,0.0,0.0524966354989,0.0524966354989,0.0524966354989,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.47981560754,3.58854208883,0.0,2.97893142259,0.0,0.0583602189664,0.0583602189664,0.0583602189664,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.524664038176,4.18535484504,0.0,3.53766958314,0.0,0.0693064532932,0.0693064532932,0.0693064532932,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.65139944209,4.78624262204,0.0,3.99481341224,0.0,0.0782623539772,0.0782623539772,0.0782623539772,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.894933740287,7.0124434553,0.0,5.96084435121,0.0,0.116778848591,0.116778848591,0.116778848591,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.05106390542,5.63570086099,0.0,4.53084107281,0.0,0.0887636671011,0.0887636671011,0.0887636671011,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.04615500715,5.37095386331,0.0,4.36401430575,0.0,0.0854953653935,0.0854953653935,0.0854953653935,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,1.00496400153,5.38764946471,0.0,4.49659085365,0.0,0.0880926713627,0.0880926713627,0.0880926713627,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
