Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.516490636506,4.33356965455,0.0,4.03677984861,0.0,0.0790845180583,0.0790845180583,0.0790845180583,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.471079273966,4.8807912965,0.0,4.65665500703,0.0,0.0912284867656,0.0912284867656,0.0912284867656,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.46446560404,5.41276804834,0.0,5.2128116865,0.0,0.10212414732,0.10212414732,0.10212414732,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.465835155781,5.75939209259,0.0,5.55322085564,0.0,0.10879310032,0.10879310032,0.10879310032,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.457352434317,5.90789649202,0.0,5.63730901436,0.0,0.110440470689,0.110440470689,0.110440470689,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.486661927868,5.94877612912,0.0,5.41009366398,0.0,0.105989096783,0.105989096783,0.105989096783,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.589119406292,6.93284790901,0.0,5.87942172244,0.0,0.115183698596,0.115183698596,0.115183698596,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.693704337158,6.35905632868,0.0,5.15518908597,0.0,0.100995263466,0.100995263466,0.100995263466,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.619420067401,6.09916398561,0.0,4.9547149514,0.0,0.097067776481,0.097067776481,0.097067776481,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.506491523179,5.83405902805,0.0,4.81124507017,0.0,0.0942570593157,0.0942570593157,0.0942570593157,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.492653254025,5.48855817677,0.0,4.60285938324,0.0,0.0901745771793,0.0901745771793,0.0901745771793,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.480592043354,4.82257559079,0.0,4.02826977155,0.0,0.0789177972145,0.0789177972145,0.0789177972145,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.477914594076,4.79090507136,0.0,4.06302165167,0.0,0.0795986209883,0.0795986209883,0.0795986209883,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.482626186233,4.57980675815,0.0,3.92428591514,0.0,0.0768806504098,0.0768806504098,0.0768806504098,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.484981489993,3.8522287489,0.0,3.2426180543,0.0,0.0635261014197,0.0635261014197,0.0635261014197,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.519438220604,3.91860890837,0.0,3.270923631,0.0,0.0640806357207,0.0640806357207,0.0640806357207,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.640248202996,4.21704017969,0.0,3.42561101504,0.0,0.0671111148836,0.0671111148836,0.0671111148836,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.879331779519,6.21605892841,0.0,5.16445989602,0.0,0.101176887823,0.101176887823,0.101176887823,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.0399792716,5.06989821476,0.0,3.96503846661,0.0,0.0776790332826,0.0776790332826,0.0776790332826,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.03255162322,4.67658450348,0.0,3.66964494695,0.0,0.07189198147,0.07189198147,0.07189198147,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.986975248977,4.46943385262,0.0,3.57837530935,0.0,0.0701039188128,0.0701039188128,0.0701039188128,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.916723665118,4.37702285368,0.0,3.59572815401,0.0,0.0704438782379,0.0704438782379,0.0704438782379,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.774088553408,4.2636756764,0.0,3.63235974626,0.0,0.0711615274354,0.0711615274354,0.0711615274354,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.647059360029,4.15185986342,0.0,3.68095386284,0.0,0.0721135343405,0.0721135343405,0.0721135343405,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.511408423544,4.07969980307,0.0,3.79412881716,0.0,0.0743307438626,0.0743307438626,0.0743307438626,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.454985147915,4.06400457143,0.0,3.84535875062,0.0,0.0753343890327,0.0753343890327,0.0753343890327,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.438242705413,4.07601548775,0.0,3.88039073231,0.0,0.0760207002738,0.0760207002738,0.0760207002738,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.433837462578,4.12645740679,0.0,3.92503571853,0.0,0.0768953398013,0.0768953398013,0.0768953398013,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.424145067367,4.21124870965,0.0,3.95048821563,0.0,0.0773939794452,0.0773939794452,0.0773939794452,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.457928114365,4.46735433885,0.0,3.95872811459,0.0,0.0775554072324,0.0775554072324,0.0775554072324,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.548163959156,4.80339312533,0.0,3.81954204484,0.0,0.0748286141796,0.0748286141796,0.0748286141796,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.678848521851,5.5783450688,0.0,4.45530403859,0.0,0.0872838217364,0.0872838217364,0.0872838217364,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.596442348266,4.94085451885,0.0,3.87647376285,0.0,0.0759439629601,0.0759439629601,0.0759439629601,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.481968684897,4.62159250358,0.0,3.66901970954,0.0,0.0718797324495,0.0718797324495,0.0718797324495,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
