Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.516631187099,4.34074390072,0.0,4.04395409479,0.0,0.0792250686513,0.0792250686513,0.0792250686513,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.460932598398,4.36286570017,0.0,4.13872941974,0.0,0.0810818111983,0.0810818111983,0.0810818111983,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.44502483288,4.4204358267,0.0,4.22047949322,0.0,0.0826833761597,0.0826833761597,0.0826833761597,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.441817679872,4.53344717133,0.0,4.32727594067,0.0,0.0847756244105,0.0847756244105,0.0847756244105,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.433823628087,4.70689516823,0.0,4.43630769093,0.0,0.0869116644586,0.0869116644586,0.0869116644586,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.469069622031,5.05079674518,0.0,4.51211429411,0.0,0.0883967909463,0.0883967909463,0.0883967909463,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.559100277347,5.40055539706,0.0,4.34712921089,0.0,0.0851645696505,0.0851645696505,0.0851645696505,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.677808291922,5.54766062336,0.0,4.34379342148,0.0,0.0850992182299,0.0850992182299,0.0850992182299,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.609546379366,5.59517271545,0.0,4.45072370419,0.0,0.087194088446,0.087194088446,0.087194088446,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.500397892183,5.52301659854,0.0,4.50020256255,0.0,0.0881634283195,0.0881634283195,0.0881634283195,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.487077759571,5.20396337917,0.0,4.31826456986,0.0,0.0845990827252,0.0845990827252,0.0845990827252,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.484154021421,5.0043927224,0.0,4.21008691649,0.0,0.0824797752816,0.0824797752816,0.0824797752816,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.478833965642,4.83783334896,0.0,4.10994993425,0.0,0.0805179925544,0.0805179925544,0.0805179925544,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.484942457869,4.69803822597,0.0,4.04251738309,0.0,0.0791969220452,0.0791969220452,0.0791969220452,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.498847607004,4.56000899287,0.0,3.95039832662,0.0,0.0773922184305,0.0773922184305,0.0773922184305,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.527680248143,4.33931387408,0.0,3.69162861218,0.0,0.0723226632598,0.0723226632598,0.0723226632598,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.646278686394,4.52485938898,0.0,3.73343022484,0.0,0.0731415982811,0.0731415982811,0.0731415982811,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.883367128133,6.42203873792,0.0,5.37043970554,0.0,0.105212236436,0.105212236436,0.105212236436,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.04210759603,5.1785361302,0.0,4.07367638205,0.0,0.0798073577164,0.0798073577164,0.0798073577164,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.03623907078,4.86480609691,0.0,3.85786654037,0.0,0.0755794290303,0.0755794290303,0.0755794290303,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.993958933446,4.82590813383,0.0,3.93484959057,0.0,0.077087603281,0.077087603281,0.077087603281,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.925095891625,4.80437369402,0.0,4.02307899434,0.0,0.0788161047445,0.0788161047445,0.0788161047445,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.786713305093,4.90809185861,0.0,4.27677592847,0.0,0.0837862791212,0.0837862791212,0.0837862791212,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.661667632318,4.89752261323,0.0,4.42661661264,0.0,0.0867218066302,0.0867218066302,0.0867218066302,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.530861392061,5.07265466554,0.0,4.78708361074,0.0,0.0937837123792,0.0937837123792,0.0937837123792,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.472304993217,4.94807653943,0.0,4.72943068042,0.0,0.0926542343349,0.0926542343349,0.0926542343349,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.451240129365,4.73945437614,0.0,4.54382954919,0.0,0.0890181242262,0.0890181242262,0.0890181242262,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.445245661019,4.70877609688,0.0,4.50735431521,0.0,0.0883035382421,0.0883035382421,0.0883035382421,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.434042364806,4.71644509339,0.0,4.45568457818,0.0,0.0872912768841,0.0872912768841,0.0872912768841,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.466316291839,4.89551938104,0.0,4.38689315402,0.0,0.0859435847062,0.0859435847062,0.0859435847062,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.556031164846,5.20496574919,0.0,4.22111466834,0.0,0.0826958198699,0.0826958198699,0.0826958198699,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.688043137151,6.04767381574,0.0,4.92463278549,0.0,0.0964784370366,0.0964784370366,0.0964784370366,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.606174300775,5.43761103635,0.0,4.37323028034,0.0,0.0856759154696,0.0856759154696,0.0856759154696,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.491279751314,5.0968653661,0.0,4.14429257206,0.0,0.0811907988658,0.0811907988658,0.0811907988658,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.47161550406,4.4591388706,0.0,3.63197185092,0.0,0.0711539281812,0.0711539281812,0.0711539281812,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.466506266242,4.14607864535,0.0,3.3994617353,0.0,0.0665988245771,0.0665988245771,0.0665988245771,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.458209279763,3.82408420811,0.0,3.13714629208,0.0,0.0614598050654,0.0614598050654,0.0614598050654,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.465721278316,3.75867880701,0.0,3.13814159895,0.0,0.0614793041135,0.0614793041135,0.0614793041135,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.475525853049,3.40300738444,0.0,2.82549263854,0.0,0.055354201115,0.055354201115,0.055354201115,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.508598287895,3.39415535186,0.0,2.77902545389,0.0,0.0544438629143,0.0544438629143,0.0544438629143,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.629529653194,3.6921580311,0.0,2.94246625584,0.0,0.0576458302095,0.0576458302095,0.0576458302095,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.866859121367,5.59665361548,0.0,4.59722095779,0.0,0.0900641148364,0.0900641148364,0.0900641148364,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,1.02911770859,4.53724089371,0.0,3.50204301104,0.0,0.0686084934365,0.0686084934365,0.0686084934365,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,1.02389490541,4.26143161363,0.0,3.33319454932,0.0,0.0653005847268,0.0653005847268,0.0653005847268,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.980324574049,4.14841896922,0.0,3.33231837764,0.0,0.0652834196554,0.0652834196554,0.0652834196554,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.911292745231,4.11563367749,0.0,3.39637562903,0.0,0.0665383646967,0.0665383646967,0.0665383646967,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/02  23:00:00,0.774187456711,4.27130025043,0.0,3.68983113645,0.0,0.0722874489286,0.0722874489286,0.0722874489286,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/02  24:00:00,0.6503787688,4.32180483671,0.0,3.8823776979,0.0,0.076059626899,0.076059626899,0.076059626899,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/03  01:00:00,0.517118878304,4.37142788458,0.0,4.08561252682,0.0,0.0800411986222,0.0800411986222,0.0800411986222,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/03  02:00:00,0.465419738804,4.59674283529,0.0,4.37798065013,0.0,0.0857689799218,0.0857689799218,0.0857689799218,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/03  03:00:00,0.450062264973,4.67941715876,0.0,4.48370679241,0.0,0.0878402598337,0.0878402598337,0.0878402598337,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/03  04:00:00,0.445935162632,4.74406856035,0.0,4.54254914584,0.0,0.0889930398555,0.0889930398555,0.0889930398555,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/03  05:00:00,0.4396613396,5.00346063833,0.0,4.74249879638,0.0,0.0929102516783,0.0929102516783,0.0929102516783,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/03  06:00:00,0.473029531917,5.23885545207,0.0,4.72956290696,0.0,0.0926568247838,0.0926568247838,0.0926568247838,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/03  07:00:00,0.583788802821,6.62335377325,0.0,5.63797192908,0.0,0.110453457845,0.110453457845,0.110453457845,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/03  08:00:00,0.704114977652,6.8697736094,0.0,5.74500172063,0.0,0.112550277538,0.112550277538,0.112550277538,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/03  09:00:00,0.622561765517,6.27570026121,0.0,5.20970989814,0.0,0.102063380211,0.102063380211,0.102063380211,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/03  10:00:00,0.497933749398,5.43790139604,0.0,4.4839383844,0.0,0.0878447969503,0.0878447969503,0.0878447969503,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/03  11:00:00,0.477897554261,4.78096769902,0.0,3.95263200391,0.0,0.0774359783824,0.0774359783824,0.0774359783824,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/03  12:00:00,0.471826239286,4.41861272229,0.0,3.67101374705,0.0,0.0719187976206,0.0719187976206,0.0719187976206,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/03  13:00:00,0.46473351797,4.15794354297,0.0,3.47016865815,0.0,0.067984043273,0.067984043273,0.067984043273,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/03  14:00:00,0.467055251742,3.8275169525,0.0,3.2062327649,0.0,0.0628132775391,0.0628132775391,0.0628132775391,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/03  15:00:00,0.480745093851,3.67008706614,0.0,3.09190288686,0.0,0.0605734419168,0.0605734419168,0.0605734419168,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/03  16:00:00,0.511474983274,3.54168133222,0.0,2.92586311851,0.0,0.0573205582939,0.0573205582939,0.0573205582939,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/03  17:00:00,0.624975159162,3.46047814894,0.0,2.70998725516,0.0,0.0530913361778,0.0530913361778,0.0530913361778,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/03  18:00:00,0.847090625549,4.58862997639,0.0,3.5881604297,0.0,0.0702956190184,0.0702956190184,0.0702956190184,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/03  19:00:00,1.01464768578,3.79986566516,0.0,2.76343704951,0.0,0.054138470623,0.054138470623,0.054138470623,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/03  20:00:00,1.01292844908,3.70290790435,0.0,2.77342417962,0.0,0.0543341283998,0.0543341283998,0.0543341283998,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/03  21:00:00,0.971324004697,3.69012511071,0.0,2.87289448686,0.0,0.0562828503031,0.0562828503031,0.0562828503031,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
