Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.545937004285,5.83662621771,0.0,5.53983641368,0.0,0.108530885837,0.108530885837,0.108530885837,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.490749068479,5.8848137187,0.0,5.66067743856,0.0,0.110898281279,0.110898281279,0.110898281279,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.482308757232,6.32355160956,0.0,6.12359527612,0.0,0.119967300511,0.119967300511,0.119967300511,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.48026226528,6.49580758617,0.0,6.28963635552,0.0,0.123220209819,0.123220209819,0.123220209819,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.47249160638,6.68065842039,0.0,6.41007094309,0.0,0.125579642751,0.125579642751,0.125579642751,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.505879668817,6.92972399732,0.0,6.3910415322,0.0,0.125206837732,0.125206837732,0.125206837732,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.596585319674,7.31393702015,0.0,6.26051083358,0.0,0.122649611978,0.122649611978,0.122649611978,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.714208679833,7.40567728719,0.0,6.20181008529,0.0,0.121499606141,0.121499606141,0.121499606141,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.645536727045,7.43225933901,0.0,6.28781032774,0.0,0.123184436125,0.123184436125,0.123184436125,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.531735925153,7.12263099675,0.0,6.09981703949,0.0,0.119501461289,0.119501461289,0.119501461289,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.516208991189,6.69093418736,0.0,5.80523536574,0.0,0.113730314343,0.113730314343,0.113730314343,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.505038706358,6.0704278959,0.0,5.2761220567,0.0,0.103364460218,0.103364460218,0.103364460218,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.487567128966,5.28360782407,0.0,4.55572438653,0.0,0.0892511558785,0.0892511558785,0.0892511558785,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.488805505441,4.89522314325,0.0,4.23970228066,0.0,0.0830599696173,0.0830599696173,0.0830599696173,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.501506455085,4.69572688833,0.0,4.08611622209,0.0,0.0800510665118,0.0800510665118,0.0800510665118,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.539191778777,4.92690694575,0.0,4.27922168386,0.0,0.0838341938933,0.0838341938933,0.0838341938933,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.666016889634,5.53237366666,0.0,4.74094450252,0.0,0.092879801521,0.092879801521,0.092879801521,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.912565913374,7.9124577124,0.0,6.86085869982,0.0,0.134411021678,0.134411021678,0.134411021678,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
