Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.545457449172,5.81214787087,0.0,5.51535806493,0.0,0.108051330725,0.108051330725,0.108051330725,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.489855209367,5.83918769081,0.0,5.61505141038,0.0,0.110004422167,0.110004422167,0.110004422167,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.482481577845,6.33237304248,0.0,6.13241670899,0.0,0.120140121124,0.120140121124,0.120140121124,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.484857283506,6.73035513043,0.0,6.52418386789,0.0,0.127815228045,0.127815228045,0.127815228045,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.47733102623,6.92768113905,0.0,6.65709366019,0.0,0.130419062602,0.130419062602,0.130419062602,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.515328999268,7.41205439138,0.0,6.87337192615,0.0,0.134656168184,0.134656168184,0.134656168184,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.632029061515,9.12312275728,0.0,8.06969657986,0.0,0.158093353819,0.158093353819,0.158093353819,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.756717436335,9.57548872184,0.0,8.37162152054,0.0,0.164008362643,0.164008362643,0.164008362643,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.668028599813,8.58033156569,0.0,7.43588255447,0.0,0.145676308893,0.145676308893,0.145676308893,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.548546971742,7.98073187127,0.0,6.95791791401,0.0,0.136312507879,0.136312507879,0.136312507879,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.524317190063,7.10480800749,0.0,6.21910921397,0.0,0.121838513217,0.121838513217,0.121838513217,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.514568314503,6.55685596019,0.0,5.7625501348,0.0,0.112894068364,0.112894068364,0.112894068364,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.511272545185,6.4936239875,0.0,5.76574056724,0.0,0.112956572097,0.112956572097,0.112956572097,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.517548685835,6.36238628365,0.0,5.70686544041,0.0,0.111803150012,0.111803150012,0.111803150012,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.528861232103,6.09202056683,0.0,5.48240990058,0.0,0.10740584353,0.10740584353,0.10740584353,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.56010113058,5.99420117828,0.0,5.34651591638,0.0,0.104743545696,0.104743545696,0.104743545696,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.682051655029,6.35085014488,0.0,5.55942098074,0.0,0.108914566916,0.108914566916,0.108914566916,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.930558344302,8.83086101157,0.0,7.77926200277,0.0,0.152403452606,0.152403452606,0.152403452606,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.0831365219,7.27281126964,0.0,6.16795153499,0.0,0.120836283584,0.120836283584,0.120836283584,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.07325056528,6.75401600508,0.0,5.7470764491,0.0,0.112590923525,0.112590923525,0.112590923525,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,1.02630290678,6.47686969971,0.0,5.58581115648,0.0,0.109431576614,0.109431576614,0.109431576614,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.955523196815,6.35750110071,0.0,5.57620640104,0.0,0.109243409935,0.109243409935,0.109243409935,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.812318609938,6.21508570713,0.0,5.58376977699,0.0,0.109391583966,0.109391583966,0.109391583966,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.685920736589,6.13549491159,0.0,5.664588911,0.0,0.110974910901,0.110974910901,0.110974910901,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.549640443388,6.03121011776,0.0,5.74563906296,0.0,0.112562763706,0.112562763706,0.112562763706,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.493216069114,6.0154587764,0.0,5.7968129174,0.0,0.113565310232,0.113565310232,0.113565310232,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
