Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.545194454254,5.79872359246,0.0,5.50193378654,0.0,0.107788335806,0.107788335806,0.107788335806,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.490014715033,5.84732947724,0.0,5.62319319682,0.0,0.110163927833,0.110163927833,0.110163927833,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.482600457438,6.33844111695,0.0,6.13848478346,0.0,0.120259000717,0.120259000717,0.120259000717,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.479439068396,6.45378843155,0.0,6.24761720089,0.0,0.122397012935,0.122397012935,0.122397012935,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.47017770964,6.56254817631,0.0,6.29196069901,0.0,0.123265746012,0.123265746012,0.123265746012,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.504075266924,6.83762034193,0.0,6.2989378768,0.0,0.12340243584,0.12340243584,0.12340243584,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.616451214878,8.32796918981,0.0,7.27454300324,0.0,0.142515507182,0.142515507182,0.142515507182,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.739355096809,8.68924772303,0.0,7.48538052113,0.0,0.146646023117,0.146646023117,0.146646023117,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.651313465924,7.7271264466,0.0,6.58267743534,0.0,0.128961175003,0.128961175003,0.128961175003,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.532819568212,7.17794433204,0.0,6.15513037478,0.0,0.120585104348,0.120585104348,0.120585104348,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.513313177183,6.54312060596,0.0,5.65742181244,0.0,0.110834500337,0.110834500337,0.110834500337,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.502932858526,5.9629372619,0.0,5.168631434,0.0,0.101258612386,0.101258612386,0.101258612386,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.491409870214,5.47975620997,0.0,4.75187277073,0.0,0.0930938971262,0.0930938971262,0.0930938971262,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.495627812703,5.24346009441,0.0,4.58793924476,0.0,0.0898822768791,0.0898822768791,0.0898822768791,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.511482328911,5.20493409413,0.0,4.59532342754,0.0,0.0900269403382,0.0900269403382,0.0900269403382,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.544938563037,5.22024505376,0.0,4.57255979185,0.0,0.0895809781542,0.0895809781542,0.0895809781542,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.6651189307,5.48653836767,0.0,4.69510920352,0.0,0.0919818425867,0.0919818425867,0.0919818425867,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.903771506134,7.46355715344,0.0,6.41195812106,0.0,0.125616614438,0.125616614438,0.125616614438,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.06253784994,6.221375352,0.0,5.11651560385,0.0,0.100237611622,0.100237611622,0.100237611622,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.05318670488,5.72987883922,0.0,4.72293936994,0.0,0.0925270631292,0.0925270631292,0.0925270631292,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
