Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.55026878854,6.05773725145,0.0,5.76094744551,0.0,0.112862670092,0.112862670092,0.112862670092,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.50743884152,6.73672432228,0.0,6.51258804186,0.0,0.12758805432,0.12758805432,0.12758805432,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.496946754409,7.07073163266,0.0,6.87077529918,0.0,0.134605297688,0.134605297688,0.134605297688,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.494652709814,7.23035156437,0.0,7.02418033371,0.0,0.137610654353,0.137610654353,0.137610654353,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.487071152564,7.42485495524,0.0,7.15426740132,0.0,0.140159188936,0.140159188936,0.140159188936,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.521333160321,7.7185300317,0.0,7.17984754159,0.0,0.140660329236,0.140660329236,0.140660329236,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.637782765156,9.41681406908,0.0,8.36338787979,0.0,0.16384705746,0.16384705746,0.16384705746,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.74017826343,8.73126545881,0.0,7.52739813103,0.0,0.147469189738,0.147469189738,0.147469189738,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.667743220125,8.56576472514,0.0,7.42131567081,0.0,0.145390929205,0.145390929205,0.145390929205,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.540626422537,7.57643638984,0.0,6.55362243107,0.0,0.128391958674,0.128391958674,0.128391958674,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.516159159066,6.68839056692,0.0,5.80269174136,0.0,0.11368048222,0.11368048222,0.11368048222,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.502085399377,5.91967968366,0.0,5.12537383947,0.0,0.100411153237,0.100411153237,0.100411153237,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.488332337777,5.3226670497,0.0,4.59478360547,0.0,0.0900163646888,0.0900163646888,0.0900163646888,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.493133495337,5.11614048759,0.0,4.46061963372,0.0,0.0873879595133,0.0873879595133,0.0873879595133,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.513611473614,5.31361387897,0.0,4.7040032127,0.0,0.0921560850412,0.0921560850412,0.0921560850412,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.54791212923,5.37202737952,0.0,4.72434211762,0.0,0.0925545443463,0.0925545443463,0.0925545443463,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.667603903508,5.61338099635,0.0,4.82195183221,0.0,0.0944668153955,0.0944668153955,0.0944668153955,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.911664380984,7.8664400302,0.0,6.81484099782,0.0,0.133509489288,0.133509489288,0.133509489288,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.0663047484,6.41365242674,0.0,5.30879267859,0.0,0.104004510081,0.104004510081,0.104004510081,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.0575872675,5.95450067181,0.0,4.94756111528,0.0,0.0969276257413,0.0969276257413,0.0969276257413,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,1.01187446318,5.74038610248,0.0,4.84932755921,0.0,0.0950031330193,0.0950031330193,0.0950031330193,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.941405968111,5.63690311579,0.0,4.85560841612,0.0,0.0951261812311,0.0951261812311,0.0951261812311,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.801687069121,5.67241072113,0.0,5.04109479098,0.0,0.0987600431489,0.0987600431489,0.0987600431489,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.677357921872,5.69841571146,0.0,5.22750971087,0.0,0.102412096184,0.102412096184,0.102412096184,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.544027661951,5.74471203251,0.0,5.45914097771,0.0,0.10694998227,0.10694998227,0.10694998227,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.48812846167,5.75576760404,0.0,5.53712174504,0.0,0.108477702788,0.108477702788,0.108477702788,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.472563369982,5.8278750246,0.0,5.63225026845,0.0,0.110341364842,0.110341364842,0.110341364842,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.468708823504,5.9064266162,0.0,5.70500492785,0.0,0.111766700727,0.111766700727,0.111766700727,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.461306552238,6.10811470764,0.0,5.84735421361,0.0,0.114555464316,0.114555464316,0.114555464316,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.49374671206,6.29567417853,0.0,5.78704795427,0.0,0.113374004927,0.113374004927,0.113374004927,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.582542742315,6.55821925927,0.0,5.57436817877,0.0,0.109207397339,0.109207397339,0.109207397339,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.697309138222,6.5206463686,0.0,5.39760533839,0.0,0.105744438108,0.105744438108,0.105744438108,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.626024218992,6.45082754961,0.0,5.38644692274,0.0,0.105525833686,0.105525833686,0.105525833686,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.504194312144,5.75607450214,0.0,4.80350173453,0.0,0.0941053596962,0.0941053596962,0.0941053596962,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.494186130995,5.61123100418,0.0,4.78406399511,0.0,0.0937245551163,0.0937245551163,0.0937245551163,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.491779679213,5.43613142429,0.0,4.6895145382,0.0,0.0918722375483,0.0918722375483,0.0918722375483,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.478495316746,4.85956203554,0.0,4.17262412405,0.0,0.0817458420486,0.0817458420486,0.0817458420486,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.482452328971,4.61269637931,0.0,3.9921591714,0.0,0.0782103547685,0.0782103547685,0.0782103547685,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.49737478794,4.51826149437,0.0,3.94074682796,0.0,0.0772031360062,0.0772031360062,0.0772031360062,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.534198974521,4.70091341979,0.0,4.08578357068,0.0,0.080044549541,0.080044549541,0.080044549541,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.653009772767,4.89067413302,0.0,4.14098242387,0.0,0.0811259497822,0.0811259497822,0.0811259497822,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.890510509391,6.8039119734,0.0,5.80447933038,0.0,0.113715502861,0.113715502861,0.113715502861,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,1.04830963142,5.51687090431,0.0,4.48167302248,0.0,0.087800416265,0.087800416265,0.087800416265,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,1.04096290513,5.13264837043,0.0,4.20441130614,0.0,0.0823685844498,0.0823685844498,0.0823685844498,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.997104444435,5.00492848966,0.0,4.18882789808,0.0,0.0820632900412,0.0820632900412,0.0820632900412,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.928210017319,4.9791567125,0.0,4.25989866405,0.0,0.0834556367843,0.0834556367843,0.0834556367843,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
