Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.530291325464,5.03801023797,0.0,4.7412204199,0.0,0.092885207016,0.092885207016,0.092885207016,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.474180515485,5.03909065654,0.0,4.81495437558,0.0,0.094329728285,0.094329728285,0.094329728285,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.456822612123,5.02264013517,0.0,4.82268380167,0.0,0.0944811554027,0.0944811554027,0.0944811554027,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.451689385101,5.03733720846,0.0,4.8311659778,0.0,0.0946473296398,0.0946473296398,0.0946473296398,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.442191597721,5.13402872133,0.0,4.86344124403,0.0,0.0952796340929,0.0952796340929,0.0952796340929,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.473560523268,5.2800296633,0.0,4.74134727247,0.0,0.0928876921836,0.0928876921836,0.0928876921836,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.563807456606,5.64082802567,0.0,4.58740185648,0.0,0.0898717489101,0.0898717489101,0.0898717489101,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.681014284039,5.71130686658,0.0,4.50743966593,0.0,0.0883052103472,0.0883052103472,0.0883052103472,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.610907393997,5.66464416914,0.0,4.52019515791,0.0,0.0885551030771,0.0885551030771,0.0885551030771,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.501803960877,5.59478770726,0.0,4.57197375,0.0,0.0895694970135,0.0895694970135,0.0895694970135,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.490758348386,5.39183485987,0.0,4.50613606635,0.0,0.0882796715396,0.0882796715396,0.0882796715396,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.487636229715,5.18213810915,0.0,4.3878323035,0.0,0.0859619835752,0.0859619835752,0.0859619835752,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.483083735101,5.05475802821,0.0,4.32687461351,0.0,0.0847677620137,0.0847677620137,0.0847677620137,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.486279426852,4.76628231138,0.0,4.11076145391,0.0,0.0805338910288,0.0805338910288,0.0805338910288,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.497951314729,4.51425880204,0.0,3.9046481004,0.0,0.076495926156,0.076495926156,0.076495926156,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.532091714175,4.56449219183,0.0,3.91680691028,0.0,0.0767341292921,0.0767341292921,0.0767341292921,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.656209922454,5.03178811047,0.0,4.24035894597,0.0,0.0830728343414,0.0830728343414,0.0830728343414,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
