Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.527432271277,4.89207303596,0.0,4.59528323003,0.0,0.0900261528291,0.0900261528291,0.0900261528291,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.479029086222,5.28658046979,0.0,5.06244418936,0.0,0.0991782990223,0.0991782990223,0.0991782990223,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.465200942682,5.45030254994,0.0,5.25034621645,0.0,0.102859485961,0.102859485961,0.102859485961,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.463353271377,5.63270710173,0.0,5.42653587107,0.0,0.106311215916,0.106311215916,0.106311215916,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.454131149485,5.74346964789,0.0,5.47288217059,0.0,0.107219185857,0.107219185857,0.107219185857,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.487292898422,5.98098330796,0.0,5.44230084284,0.0,0.106620067337,0.106620067337,0.106620067337,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.599069173366,7.44072252478,0.0,6.38729633822,0.0,0.12513346567,0.12513346567,0.12513346567,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.70995398106,7.18850099665,0.0,5.98463379474,0.0,0.117244907367,0.117244907367,0.117244907367,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.640144823967,7.15703580358,0.0,6.01258672864,0.0,0.117792533047,0.117792533047,0.117792533047,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.530368660917,7.05284053938,0.0,6.03002658179,0.0,0.118134197054,0.118134197054,0.118134197054,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.512448780847,6.49899847188,0.0,5.61329967835,0.0,0.109970104001,0.109970104001,0.109970104001,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.511148189493,6.38227952449,0.0,5.58797371883,0.0,0.109473943353,0.109473943353,0.109473943353,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.504646344063,6.15539703411,0.0,5.42751361941,0.0,0.106330370975,0.106330370975,0.106330370975,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.509620509194,5.95770146651,0.0,5.30218062363,0.0,0.103874973371,0.103874973371,0.103874973371,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.5218462002,5.7339462555,0.0,5.12433552493,0.0,0.100390811626,0.100390811626,0.100390811626,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.554153410299,5.69060652036,0.0,5.04292125635,0.0,0.0987958254157,0.0987958254157,0.0987958254157,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.672474543606,5.86199731576,0.0,5.07056815154,0.0,0.0993374554931,0.0993374554931,0.0993374554931,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.910303785702,7.79698998166,0.0,6.74539094927,0.0,0.132148894006,0.132148894006,0.132148894006,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.06593466487,6.39476193144,0.0,5.28990218329,0.0,0.103634426555,0.103634426555,0.103634426555,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.05630529425,5.88906379642,0.0,4.88212423989,0.0,0.0956456524984,0.0956456524984,0.0956456524984,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,1.00683398723,5.48310070397,0.0,4.59204216071,0.0,0.0899626570689,0.0899626570689,0.0899626570689,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.935165880074,5.31838487404,0.0,4.53709017437,0.0,0.088886093194,0.088886093194,0.088886093194,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.792806200108,5.21909679887,0.0,4.58778086873,0.0,0.0898791741358,0.0898791741358,0.0898791741358,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.666752059471,5.1570514512,0.0,4.68614545062,0.0,0.0918062337833,0.0918062337833,0.0918062337833,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.535284134411,5.29840855055,0.0,5.01283749575,0.0,0.0982064547297,0.0982064547297,0.0982064547297,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.479926921318,5.33712924559,0.0,5.11848338659,0.0,0.100276162436,0.100276162436,0.100276162436,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.468070244656,5.59852852017,0.0,5.40290376402,0.0,0.105848239517,0.105848239517,0.105848239517,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.468449831837,5.89320674904,0.0,5.69178499091,0.0,0.11150770906,0.11150770906,0.11150770906,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
