Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.526677025202,4.8535223536,0.0,4.55673254766,0.0,0.0892709067542,0.0892709067542,0.0892709067542,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.480539261759,5.36366567338,0.0,5.13952939295,0.0,0.100688474559,0.100688474559,0.100688474559,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.470112516919,5.70100833937,0.0,5.50105197268,0.0,0.107771060199,0.107771060199,0.107771060199,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.471123886549,6.02934937882,0.0,5.82317814075,0.0,0.114081831088,0.114081831088,0.114081831088,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.467745772658,6.4384127016,0.0,6.16782522416,0.0,0.120833809029,0.120833809029,0.120833809029,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.506441744713,6.95841452624,0.0,6.41973206111,0.0,0.125768913628,0.125768913628,0.125768913628,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.620970369669,8.55864440732,0.0,7.5052181523,0.0,0.147034661973,0.147034661973,0.147034661973,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.743895509337,8.92100794991,0.0,7.71714074739,0.0,0.151186435645,0.151186435645,0.151186435645,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.661951937102,8.27015518509,0.0,7.12570617376,0.0,0.139599646181,0.139599646181,0.139599646181,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.542755355639,7.68510537255,0.0,6.66229141529,0.0,0.130520891776,0.130520891776,0.130520891776,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.523083411964,7.04183119876,0.0,6.15613240524,0.0,0.120604735118,0.120604735118,0.120604735118,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.518486412125,6.75685089882,0.0,5.96254499994,0.0,0.116812165985,0.116812165985,0.116812165985,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.508996567259,6.37744927799,0.0,5.64956584614,0.0,0.110680594171,0.110680594171,0.110680594171,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
