Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.558464059171,0.737522205927,0.0,0.701327030635,0.0,0.0121697400656,0.0121697400656,0.0121697400656,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.458355337635,0.923747554379,0.0,0.889249126747,0.0,0.0154306482616,0.0154306482616,0.0154306482616,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638584
 01/01  03:00:00,0.431806205422,0.997448782382,0.0,0.970583698045,0.0,0.016842002092,0.016842002092,0.016842002092,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442566418
 01/01  04:00:00,0.431620619269,1.04152432026,0.0,1.01493345777,0.0,0.0176115789431,0.0176115789431,0.0176115789431,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616419070699
 01/01  05:00:00,0.460544292986,1.08065661503,0.0,1.04738647274,0.0,0.0181747181625,0.0181747181625,0.0181747181625,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009269774
 01/01  06:00:00,0.664760742275,1.01594695281,0.0,0.97315054486,0.0,0.0168865431651,0.0168865431651,0.0168865431651,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116994003
 01/01  07:00:00,1.07431658595,0.916651211257,0.0,0.84105145272,0.0,0.0145943006819,0.0145943006819,0.0145943006819,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.59280127379
 01/01  08:00:00,1.26925249995,1.24895979331,0.0,1.1348866632,0.0,0.019693060572,0.019693060572,0.019693060572,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373517
 01/01  09:00:00,1.15380796436,1.01557182225,0.0,0.898028158873,0.0,0.0155829859505,0.0155829859505,0.0155829859505,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.964659124679,1.00020224152,0.0,0.881390961466,0.0,0.0152942898658,0.0152942898658,0.0152942898658,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
 01/01  11:00:00,0.870039500583,0.901433121617,0.0,0.794032723049,0.0,0.0137784106715,0.0137784106715,0.0137784106715,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438498003
 01/01  12:00:00,0.798358899629,0.901934919802,0.0,0.779740075679,0.0,0.0135303982668,0.0135303982668,0.0135303982668,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.38881131074
 01/01  13:00:00,0.73984607606,0.835373237484,0.0,0.698703873291,0.0,0.0121242218671,0.0121242218671,0.0121242218671,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009554737
 01/01  14:00:00,0.712562003571,0.756685669339,0.0,0.641575724823,0.0,0.0111329087037,0.0111329087037,0.0111329087037,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394967026
 01/01  15:00:00,0.698351009779,0.677794641252,0.0,0.566050902158,0.0,0.00982236822802,0.00982236822802,0.00982236822802,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085705492
 01/01  16:00:00,0.736631115422,0.6049057788,0.0,0.465419927752,0.0,0.00807617458715,0.00807617458715,0.00807617458715,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279996986592
 01/01  17:00:00,0.894602797521,0.62815211859,0.0,0.41083401637,0.0,0.00712897545786,0.00712897545786,0.00712897545786,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826362352
 01/01  18:00:00,1.18955565633,1.10910386009,0.0,0.765108791684,0.0,0.013276509688,0.013276509688,0.013276509688,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412832216764
 01/01  19:00:00,1.43961961908,0.490594124146,0.0,0.213503083201,0.0,0.00370480091635,0.00370480091635,0.00370480091635,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493309277949
 01/01  20:00:00,1.4488160465,0.295011763961,0.0,0.135209809335,0.0,0.00234622103819,0.00234622103819,0.00234622103819,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.506522490455
 01/01  21:00:00,1.36307241206,0.241657207384,0.0,0.132455119856,0.0,0.00229842043526,0.00229842043526,0.00229842043526,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.462780990073
 01/01  22:00:00,1.23715953118,0.249379728595,0.0,0.163193864291,0.0,0.00283181286614,0.00283181286614,0.00283181286614,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.404753623084
 01/01  23:00:00,1.01433992835,0.285989307737,0.0,0.22368082821,0.0,0.00388140969628,0.00388140969628,0.00388140969628,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.320819219602
 01/01  24:00:00,0.794520039227,0.395959688766,0.0,0.347907362138,0.0,0.00603704403109,0.00603704403109,0.00603704403109,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223650748028
 01/02  01:00:00,0.54750804478,0.55415760923,0.0,0.517962433938,0.0,0.00898791563627,0.00898791563627,0.00898791563627,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108165202001
 01/02  02:00:00,0.448390876967,0.570481648352,0.0,0.53598322072,0.0,0.00930062038217,0.00930062038217,0.00930062038217,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0646781593878
 01/02  03:00:00,0.421896916706,0.598905006813,0.0,0.572039922476,0.0,0.00992629238514,0.00992629238514,0.00992629238514,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0544701292136
 01/02  04:00:00,0.421222729166,0.629621987643,0.0,0.60303112515,0.0,0.0104640655842,0.0104640655842,0.0104640655842,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0584914630101
 01/02  05:00:00,0.446131531286,0.634819398874,0.0,0.601549256585,0.0,0.0104383515386,0.0104383515386,0.0104383515386,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0934937504053
 01/02  06:00:00,0.637249014816,0.598223358224,0.0,0.555426950272,0.0,0.00963801666695,0.00963801666695,0.00963801666695,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.252153916994
 01/02  07:00:00,1.01994959134,0.481673103316,0.0,0.406073344779,0.0,0.00704636615683,0.00704636615683,0.00704636615683,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.546582576428
 01/02  08:00:00,1.20391161269,0.639848967313,0.0,0.525775837209,0.0,0.0091234973017,0.0091234973017,0.0091234973017,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.613361423106
 01/02  09:00:00,1.08945988893,0.472553092371,0.0,0.355009428991,0.0,0.00616028226909,0.00616028226909,0.00616028226909,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.572035216338
 01/02  10:00:00,0.906627106304,0.45924329139,0.0,0.340432011339,0.0,0.00590732840321,0.00590732840321,0.00590732840321,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.496692412379
 01/02  11:00:00,0.821332459592,0.441520256503,0.0,0.334119857934,0.0,0.00579779709637,0.00579779709637,0.00579779709637,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.420729171555
 01/02  12:00:00,0.75556524063,0.354029497442,0.0,0.231834653319,0.0,0.00402289851361,0.00402289851361,0.00402289851361,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.357291955969
 01/02  13:00:00,0.702399085812,0.326622208561,0.0,0.189952844368,0.0,0.0032961466473,0.0032961466473,0.0032961466473,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.3079571381
 01/02  14:00:00,0.679776574841,0.286060930726,0.0,0.170950986211,0.0,0.00296641791243,0.00296641791243,0.00296641791243,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.278279590708
 01/02  15:00:00,0.668715980119,0.266345488762,0.0,0.154601749667,0.0,0.00268271865329,0.00268271865329,0.00268271865329,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.251874062046
 01/02  16:00:00,0.708131734105,0.272463865438,0.0,0.13297801439,0.0,0.00230749393489,0.00230749393489,0.00230749393489,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.25846944583
 01/02  17:00:00,0.8596765807,0.280010139582,0.0,0.0626920373615,0.0,0.00108786024999,0.00108786024999,0.00108786024999,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.296194525867
 01/02  18:00:00,1.14126525567,0.397634031883,0.0,0.0536389634801,0.0,0.000930767266094,0.000930767266094,0.000930767266094,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.378247443683
 01/02  19:00:00,1.38786429073,0.277091040945,0.0,0.0,0.0,0.0,0.0,0.0,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.447049773682
 01/02  20:00:00,1.39194906778,0.159801954626,0.0,0.0,0.0,0.0,0.0,0.0,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.45406705385
 01/02  21:00:00,1.30878548743,0.109202087527,0.0,0.0,0.0,0.0,0.0,0.0,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.412622661652
 01/02  22:00:00,1.19125496256,0.0861858643041,0.0,0.0,0.0,0.0,0.0,0.0,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.363206273674
 01/02  23:00:00,0.975945233606,0.0623084795269,0.0,0.0,0.0,0.0,0.0,0.0,0.164718627801,0.0295933730176,0.0502967902808,0.433473489764,0.287332952742
 01/02  24:00:00,0.766585755967,0.0480523266279,0.0,0.0,0.0,0.0,0.0,0.0,0.113090388878,0.0203178359816,0.0435869416981,0.376680396822,0.202380192587
 01/03  01:00:00,0.538415652684,0.0361951752915,0.0,0.0,0.0,0.0,0.0,0.0,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108060725541
 01/03  02:00:00,0.439022748188,0.0344984276322,0.0,0.0,0.0,0.0,0.0,0.0,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0646106509905
 01/03  03:00:00,0.412129602915,0.0360480125754,0.0,0.0091829282387,0.0,0.00015934627474,0.00015934627474,0.00015934627474,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.054469761533
 01/03  04:00:00,0.411857611159,0.0860955253895,0.0,0.0595046628967,0.0,0.00103255150381,0.00103255150381,0.00103255150381,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0585578590829
 01/03  05:00:00,0.43712367622,0.10782481062,0.0,0.0745546683303,0.0,0.00129370592409,0.00129370592409,0.00129370592409,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0936305409535
