Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.551486127444,0.337298599098,0.0,0.301103423806,0.0,0.005224881176,0.005224881176,0.005224881176,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115577880358
 01/01  02:00:00,0.451086474873,0.504851751081,0.0,0.470353323449,0.0,0.00816178107406,0.00816178107406,0.00816178107406,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125682834
 01/01  03:00:00,0.424960216248,0.602922849938,0.0,0.576057765601,0.0,0.00999601179467,0.00999601179467,0.00999601179467,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442577647
 01/01  04:00:00,0.426687197738,0.757217589645,0.0,0.730626727153,0.0,0.0126781614939,0.0126781614939,0.0126781614939,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616419029883
 01/01  05:00:00,0.45611255663,0.825261893893,0.0,0.791991751603,0.0,0.0137429948228,0.0137429948228,0.0137429948228,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009256759
 01/01  06:00:00,0.662018765333,0.857929383633,0.0,0.815132975681,0.0,0.0141445516851,0.0141445516851,0.0141445516851,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.27211700854
 01/01  07:00:00,1.07203372512,0.785092725558,0.0,0.709492967021,0.0,0.0123114390432,0.0123114390432,0.0123114390432,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801274593
 01/01  08:00:00,1.26667727893,1.10055299761,0.0,0.986479867505,0.0,0.0171178395286,0.0171178395286,0.0171178395286,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373539
 01/01  09:00:00,1.15193641134,0.907716542117,0.0,0.790172878737,0.0,0.013711432928,0.013711432928,0.013711432928,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682478
 01/01  10:00:00,0.962484992293,0.874909687839,0.0,0.756098407788,0.0,0.0131201574798,0.0131201574798,0.0131201574798,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
