Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.57942613673,1.94554073832,0.0,1.90934556302,0.0,0.0331318175151,0.0331318175151,0.0331318175151,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953305
 01/01  02:00:00,0.480455074042,2.19732795952,0.0,2.16282953189,0.0,0.0375303846274,0.0375303846274,0.0375303846274,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638991
 01/01  03:00:00,0.454621751239,2.31228039859,0.0,2.28541531425,0.0,0.0396575479078,0.0396575479078,0.0396575479078,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.057344256643
 01/01  04:00:00,0.453937390856,2.3276128296,0.0,2.30102196711,0.0,0.0399283615229,0.0399283615229,0.0399283615229,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418960767
 01/01  05:00:00,0.483097092686,2.38034745288,0.0,2.34707731059,0.0,0.0407275344255,0.0407275344255,0.0407275344255,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253211
 01/01  06:00:00,0.68819252456,2.3662915767,0.0,2.32349516874,0.0,0.0403183265612,0.0403183265612,0.0403183265612,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992891
 01/01  07:00:00,1.09798499891,2.28063250612,0.0,2.20503274758,0.0,0.0382627136871,0.0382627136871,0.0382627136871,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.29767706639,2.88703231325,0.0,2.77295918314,0.0,0.0481176270089,0.0481176270089,0.0481176270089,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.17764929903,2.38951837795,0.0,2.27197471457,0.0,0.0394243206153,0.0394243206153,0.0394243206153,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.980222614863,1.8971068835,0.0,1.77829560345,0.0,0.030857780049,0.030857780049,0.030857780049,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
 01/01  11:00:00,0.88416330239,1.71537019853,0.0,1.60796979996,0.0,0.0279022105866,0.0279022105866,0.0279022105866,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438499896
 01/01  12:00:00,0.807556720764,1.43199383662,0.0,1.3097989925,0.0,0.0227282174801,0.0227282174801,0.0227282174801,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.388811312661
 01/01  13:00:00,0.746713347607,1.23112548026,0.0,1.09445611607,0.0,0.0189914916494,0.0189914916494,0.0189914916494,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009556502
 01/01  14:00:00,0.715479822928,0.924835901174,0.0,0.809725956659,0.0,0.0140507266745,0.0140507266745,0.0140507266745,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394968413
 01/01  15:00:00,0.701324387379,0.849146666655,0.0,0.73740292756,0.0,0.0127957451517,0.0127957451517,0.0127957451517,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085706168
