Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.545919488069,5.83573212418,0.0,5.53894231824,0.0,0.108513369621,0.108513369621,0.108513369621,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.491230059746,5.90936537464,0.0,5.68522909421,0.0,0.111379272546,0.111379272546,0.111379272546,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.482338149802,6.32505192013,0.0,6.12509558665,0.0,0.119996693082,0.119996693082,0.119996693082,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.481250954465,6.54627410825,0.0,6.34010287759,0.0,0.124208899003,0.124208899003,0.124208899003,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.474911609089,6.80418472379,0.0,6.53359724649,0.0,0.127999645461,0.127999645461,0.127999645461,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.50841118404,7.05894233094,0.0,6.52025986582,0.0,0.127738352955,0.127738352955,0.127738352955,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.599202865236,7.44754667518,0.0,6.39412048861,0.0,0.12526715754,0.12526715754,0.12526715754,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.717205586195,7.55865098552,0.0,6.35478378362,0.0,0.124496512503,0.124496512503,0.124496512503,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.650394315061,7.6802095408,0.0,6.53576041832,0.0,0.128042024141,0.128042024141,0.128042024141,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.53628436327,7.35480090339,0.0,6.3319869229,0.0,0.124049899407,0.124049899407,0.124049899407,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.519699998301,6.86912869144,0.0,5.98342987851,0.0,0.117221321455,0.117221321455,0.117221321455,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.511561700388,6.40338672901,0.0,5.60908091513,0.0,0.109887454248,0.109887454248,0.109887454248,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.500604433333,5.9490822526,0.0,5.22119885408,0.0,0.102288460245,0.102288460245,0.102288460245,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.496655134622,5.29589855218,0.0,4.64037773115,0.0,0.090909598799,0.090909598799,0.090909598799,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.506288938233,4.93984332986,0.0,4.33023266956,0.0,0.0848335496598,0.0848335496598,0.0848335496598,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.532864122489,4.60391888147,0.0,3.95623361974,0.0,0.077506537606,0.077506537606,0.077506537606,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.657104174711,5.07743420594,0.0,4.2860050418,0.0,0.0839670865982,0.0839670865982,0.0839670865982,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.903654020152,7.45756019222,0.0,6.40596118185,0.0,0.125499128456,0.125499128456,0.125499128456,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.0678111601,6.49054558996,0.0,5.38568576157,0.0,0.105510921784,0.105510921784,0.105510921784,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.05970233641,6.06246198169,0.0,5.0555224176,0.0,0.0990426946535,0.0990426946535,0.0990426946535,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,1.02018255138,6.16446306831,0.0,5.27340453185,0.0,0.103311221213,0.103311221213,0.103311221213,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.950728675825,6.11277019262,0.0,5.33147549549,0.0,0.104448888944,0.104448888944,0.104448888944,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.813213108513,6.26074437588,0.0,5.62942844581,0.0,0.11028608254,0.11028608254,0.11028608254,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.691674937684,6.42921160347,0.0,5.95830560289,0.0,0.116729111995,0.116729111995,0.116729111995,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.560979619863,6.61000566107,0.0,6.32443451144,0.0,0.123901940182,0.123901940182,0.123901940182,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.511267122762,6.93685457275,0.0,6.71820855081,0.0,0.13161636388,0.13161636388,0.13161636388,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.496532092982,7.05133140941,0.0,6.85570664627,0.0,0.134310087843,0.134310087843,0.134310087843,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.493758092607,7.18503824978,0.0,6.98361656032,0.0,0.13681596983,0.13681596983,0.13681596983,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.486020601628,7.3696154288,0.0,7.10885493467,0.0,0.139269513706,0.139269513706,0.139269513706,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.518113768561,7.53946303972,0.0,7.03083681546,0.0,0.137741061428,0.137741061428,0.137741061428,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.630736742175,9.01822751669,0.0,8.0343764362,0.0,0.157401397199,0.157401397199,0.157401397199,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.731384902016,8.26000522148,0.0,7.13696419126,0.0,0.139820201902,0.139820201902,0.139820201902,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.651800222831,7.76653466455,0.0,6.70215390854,0.0,0.131301837526,0.131301837526,0.131301837526,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.521728409875,6.65108273145,0.0,5.69850993741,0.0,0.111639457427,0.111639457427,0.111639457427,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.493955608863,5.59946426902,0.0,4.7722972534,0.0,0.0934940329843,0.0934940329843,0.0934940329843,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.487001556358,5.19223752373,0.0,4.44562065693,0.0,0.0870941146926,0.0870941146926,0.0870941146926,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.47703348665,4.784944533,0.0,4.09800665886,0.0,0.0802840119525,0.0802840119525,0.0802840119525,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.479229729038,4.44820236786,0.0,3.82766519977,0.0,0.0749877548356,0.0749877548356,0.0749877548356,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.481042424062,3.68459440392,0.0,3.1070797715,0.0,0.0608707721286,0.0608707721286,0.0608707721286,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.510968832439,3.51515709379,0.0,2.90002722116,0.0,0.0568144074591,0.0568144074591,0.0568144074591,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.632594919102,3.84862106471,0.0,3.09892929,0.0,0.060711096118,0.060711096118,0.060711096118,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.856467845853,5.06624270035,0.0,4.06681004267,0.0,0.0796728393227,0.0796728393227,0.0796728393227,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,1.02088038499,4.1167757782,0.0,3.08157813724,0.0,0.060371169839,0.060371169839,0.060371169839,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,1.0156027638,3.83816857405,0.0,2.90993155225,0.0,0.0570084431212,0.0570084431212,0.0570084431212,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.973540297672,3.80212320792,0.0,2.98602265708,0.0,0.0584991432783,0.0584991432783,0.0584991432783,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.905956545135,3.84325336334,0.0,3.12399532573,0.0,0.0612021646008,0.0612021646008,0.0612021646008,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
