Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.546268377178,5.85354077447,0.0,5.55675096853,0.0,0.10886225873,0.10886225873,0.10886225873,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.50310875941,6.51570020999,0.0,6.2915638941,0.0,0.12325797221,0.12325797221,0.12325797221,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.492703416558,6.85413525768,0.0,6.6541789141,0.0,0.130361959837,0.130361959837,0.130361959837,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.491497690862,7.06930718798,0.0,6.86313595684,0.0,0.1344556354,0.1344556354,0.1344556354,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.484127557951,7.27460241824,0.0,7.0040149409,0.0,0.137215594322,0.137215594322,0.137215594322,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.518914354731,7.5950649433,0.0,7.05638234384,0.0,0.138241523647,0.138241523647,0.138241523647,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.610589861606,8.02878307842,0.0,6.97535684956,0.0,0.13665415391,0.13665415391,0.13665415391,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.724611363019,7.93667049689,0.0,6.73280329214,0.0,0.131902289327,0.131902289327,0.131902289327,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.654556578691,7.89266747266,0.0,6.74821846138,0.0,0.13220428777,0.13220428777,0.13220428777,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.543132895216,7.7043764536,0.0,6.68156249634,0.0,0.130898431353,0.130898431353,0.130898431353,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
