Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.554255564552,0.499705840482,0.0,0.46351066519,0.0,0.00804304420992,0.00804304420992,0.00804304420992,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115529154433
 01/01  02:00:00,0.456562200838,0.820413437404,0.0,0.785915009771,0.0,0.0136375484828,0.0136375484828,0.0136375484828,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125268396
 01/01  03:00:00,0.428971524954,0.8340902064,0.0,0.807225122063,0.0,0.014007331075,0.014007331075,0.014007331075,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.05734424719
 01/01  04:00:00,0.431658212213,1.04369139083,0.0,1.01710052834,0.0,0.0176491829201,0.0176491829201,0.0176491829201,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418960364
 01/01  05:00:00,0.463101800499,1.22804355649,0.0,1.1947734142,0.0,0.0207322422393,0.0207322422393,0.0207322422393,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253211
 01/01  06:00:00,0.670434201696,1.34290147169,0.0,1.30010506374,0.0,0.022560004096,0.022560004096,0.022560004096,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992492
 01/01  07:00:00,1.09268585244,1.97524927315,0.0,1.89964951461,0.0,0.0329635673498,0.0329635673498,0.0329635673498,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273609
 01/01  08:00:00,1.27273116915,1.44943118622,0.0,1.33535805611,0.0,0.0231717297745,0.0231717297745,0.0231717297745,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373514
 01/01  09:00:00,1.15824128116,1.2710583724,0.0,1.15351470902,0.0,0.0200163027482,0.0200163027482,0.0200163027482,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.961403013688,0.812556602387,0.0,0.693745322336,0.0,0.0120381788749,0.0120381788749,0.0120381788749,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
 01/01  11:00:00,0.860483724799,0.350745611058,0.0,0.243345212489,0.0,0.00422263488051,0.00422263488051,0.00422263488051,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.45943849801
 01/01  12:00:00,0.784700948969,0.122194844123,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.388683758346
 01/01  13:00:00,0.727306504722,0.136669364193,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.334594205266
 01/01  14:00:00,0.70085077081,0.115109944515,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.300816642968
 01/01  15:00:00,0.687744181245,0.111743739095,0.0,0.0,0.0,0.0,0.0,0.0,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.272301245185
 01/01  16:00:00,0.727769685151,0.139485851048,0.0,0.0,0.0,0.0,0.0,0.0,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279211730908
 01/01  17:00:00,0.886679211376,0.217318102221,0.0,0.0,0.0,0.0,0.0,0.0,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323031751665
 01/01  18:00:00,1.17582946022,0.343995068403,0.0,0.0,0.0,0.0,0.0,0.0,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412382530335
 01/01  19:00:00,1.43522248102,0.277091040945,0.0,0.0,0.0,0.0,0.0,0.0,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.492616940807
 01/01  20:00:00,1.44554513675,0.159801954626,0.0,0.0,0.0,0.0,0.0,0.0,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.505597801744
 01/01  21:00:00,1.35992018248,0.109202087527,0.0,0.0,0.0,0.0,0.0,0.0,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.461927180931
 01/01  22:00:00,1.23353531946,0.0861858643041,0.0,0.0,0.0,0.0,0.0,0.0,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.403961224229
 01/01  23:00:00,1.00978139971,0.0623084795269,0.0,0.0,0.0,0.0,0.0,0.0,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.320142100658
 01/01  24:00:00,0.78794300876,0.0480523266279,0.0,0.0,0.0,0.0,0.0,0.0,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223110761592
 01/02  01:00:00,0.538307465015,0.0361951752915,0.0,0.0,0.0,0.0,0.0,0.0,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.107952537872
