Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.467818584265,1.8491597541,0.0,1.55236994765,0.0,0.0304124658173,0.0304124658173,0.0304124658173,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.418127339666,2.17791964363,0.0,1.9537833632,0.0,0.038276552466,0.038276552466,0.038276552466,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.402254831439,2.23728943871,0.0,2.03733310523,0.0,0.039913374718,0.039913374718,0.039913374718,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.400674271589,2.43332839289,0.0,2.22715716223,0.0,0.043632216128,0.043632216128,0.043632216128,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.392536192364,2.59942467188,0.0,2.32883719458,0.0,0.0456242287359,0.0456242287359,0.0456242287359,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.428467268186,2.97829549309,0.0,2.43961302797,0.0,0.0477944371013,0.0477944371013,0.0477944371013,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.519027661165,3.35509399167,0.0,2.3016678051,0.0,0.0450919534687,0.0450919534687,0.0450919534687,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.646826237119,3.96621664967,0.0,2.76234944777,0.0,0.0541171634269,0.0541171634269,0.0541171634269,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.571628757569,3.65971056257,0.0,2.51526155131,0.0,0.0492764666482,0.0492764666482,0.0492764666482,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.446355288281,2.76447287876,0.0,1.74165892149,0.0,0.0341208244179,0.0341208244179,0.0341208244179,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.422592942347,1.91240874662,0.0,1.02670995081,0.0,0.0201142655014,0.0201142655014,0.0201142655014,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.409322635422,1.18470919237,0.0,0.39040338726,0.0,0.00764838928247,0.00764838928247,0.00764838928247,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.398315973088,0.727751216325,0.0,0.0,0.0,0.0,0.0,0.0,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.405745535823,0.653991862412,0.0,0.0,0.0,0.0,0.0,0.0,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.421455388573,0.607027144609,0.0,0.0,0.0,0.0,0.0,0.0,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.455357584883,0.644963580912,0.0,0.0,0.0,0.0,0.0,0.0,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.573137088113,0.789541939626,0.0,0.0,0.0,0.0,0.0,0.0,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.78376152967,1.3374138924,0.0,0.286184499168,0.0,0.00560663797415,0.00560663797415,0.00560663797415,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.962657018273,1.12307117237,0.0,0.0182114297377,0.0,0.000356779957782,0.000356779957782,0.000356779957782,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.966645212376,1.31246624161,0.0,0.305526687941,0.0,0.00598557062212,0.00598557062212,0.00598557062212,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.927453586327,1.43121784554,0.0,0.540159306518,0.0,0.0105822561628,0.0105822561628,0.0105822561628,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.861731074837,1.56998823036,0.0,0.788693531803,0.0,0.0154512879566,0.0154512879566,0.0154512879566,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.722388133894,1.62468619017,0.0,0.993370260314,0.0,0.0194611079218,0.0194611079218,0.0194611079218,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.600175322004,1.75871712944,0.0,1.28781112688,0.0,0.0252294963162,0.0252294963162,0.0252294963162,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.467876987692,1.85768692604,0.0,1.57211587021,0.0,0.0307993080103,0.0307993080103,0.0307993080103,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.415529975395,2.05005991778,0.0,1.83141405875,0.0,0.0358792165126,0.0358792165126,0.0358792165126,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.403951543813,2.325661898,0.0,2.13003714185,0.0,0.0417295386736,0.0417295386736,0.0417295386736,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.40196710092,2.49967081363,0.0,2.29824912528,0.0,0.0450249781428,0.0450249781428,0.0450249781428,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.392794440203,2.61099137632,0.0,2.35023088229,0.0,0.0460433522814,0.0460433522814,0.0460433522814,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.427605358016,2.91956350959,0.0,2.41093728533,0.0,0.0472326508827,0.0472326508827,0.0472326508827,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.518890553668,3.30916522491,0.0,2.32531414442,0.0,0.0455552086916,0.0455552086916,0.0455552086916,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.637677704364,3.4768272185,0.0,2.35378618829,0.0,0.0461130042495,0.0461130042495,0.0461130042495,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.567883878633,3.48311971121,0.0,2.41873895521,0.0,0.0473854933277,0.0473854933277,0.0473854933277,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.451058018208,3.04379245545,0.0,2.0912196614,0.0,0.04096906576,0.04096906576,0.04096906576,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.435416011328,2.61137667802,0.0,1.7842096545,0.0,0.0349544354493,0.0349544354493,0.0349544354493,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.429555044289,2.25994526463,0.0,1.51332837033,0.0,0.0296476026238,0.0296476026238,0.0296476026238,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.422447168143,1.99864763227,0.0,1.31170972026,0.0,0.0256976934462,0.0256976934462,0.0256976934462,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.420674323932,1.45930792662,0.0,0.838770721251,0.0,0.0164323497291,0.0164323497291,0.0164323497291,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.432911935953,1.22782806252,0.0,0.650313399602,0.0,0.0127402840192,0.0127402840192,0.0127402840192,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.467465439753,1.29457558977,0.0,0.679445705911,0.0,0.0133110147727,0.0133110147727,0.0133110147727,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.588038758271,1.57430218944,0.0,0.824610414521,0.0,0.0161549352861,0.0161549352861,0.0161549352861,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.805623041561,2.47092711169,0.0,1.47149446873,0.0,0.0288280350303,0.0288280350303,0.0288280350303,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,0.979252234122,1.99191410777,0.0,0.956716221111,0.0,0.0187430189663,0.0187430189663,0.0187430189663,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,0.976727069939,1.85380274899,0.0,0.92556569354,0.0,0.0181327492581,0.0181327492581,0.0181327492581,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.936602862257,1.91669359096,0.0,1.10059301034,0.0,0.0215617078626,0.0215617078626,0.0215617078626,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.869127000451,1.96333088566,0.0,1.24407283945,0.0,0.0243726199167,0.0243726199167,0.0243726199167,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/02  23:00:00,0.730307482935,2.03149657901,0.0,1.45002746505,0.0,0.0284074751524,0.0284074751524,0.0284074751524,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/02  24:00:00,0.607935556248,2.15533902371,0.0,1.7159118795,0.0,0.0336164143477,0.0336164143477,0.0336164143477,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/03  01:00:00,0.47526182914,2.23488211671,0.0,1.94906675609,0.0,0.0381841494581,0.0381841494581,0.0381841494581,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/03  02:00:00,0.421142661536,2.33666948214,0.0,2.1179072798,0.0,0.0414919026544,0.0414919026544,0.0414919026544,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/03  03:00:00,0.407235166609,2.49335636598,0.0,2.29764595658,0.0,0.04501316147,0.04501316147,0.04501316147,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/03  04:00:00,0.403037857576,2.55442410879,0.0,2.3529046887,0.0,0.046095734799,0.046095734799,0.046095734799,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/03  05:00:00,0.401883705862,3.07514401784,0.0,2.81418217579,0.0,0.0551326179399,0.0551326179399,0.0551326179399,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/03  06:00:00,0.440760684333,3.5917287221,0.0,3.08243604997,0.0,0.0603879771997,0.0603879771997,0.0603879771997,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/03  07:00:00,0.532789145003,4.02013387624,0.0,3.03475203195,0.0,0.0594538000272,0.0594538000272,0.0594538000272,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/03  08:00:00,0.660111773222,4.62367976854,0.0,3.49890787976,0.0,0.0685470731074,0.0685470731074,0.0685470731074,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/03  09:00:00,0.583646999488,4.28934000798,0.0,3.22334964491,0.0,0.0631486141829,0.0631486141829,0.0631486141829,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/03  10:00:00,0.47530172523,4.2826755395,0.0,3.32871228784,0.0,0.065212772782,0.065212772782,0.065212772782,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/03  11:00:00,0.467623965198,4.25656455557,0.0,3.42822826066,0.0,0.0671623893193,0.0671623893193,0.0671623893193,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/03  12:00:00,0.46796905116,4.22172702554,0.0,3.47412793831,0.0,0.0680616094952,0.0680616094952,0.0680616094952,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/03  13:00:00,0.464488698759,4.1454470303,0.0,3.45767213819,0.0,0.0677392240617,0.0677392240617,0.0677392240617,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/03  14:00:00,0.47097378717,4.02753416521,0.0,3.4062499774,0.0,0.0667318129677,0.0667318129677,0.0667318129677,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/03  15:00:00,0.484978400112,3.88617140006,0.0,3.30798722077,0.0,0.0648067481778,0.0648067481778,0.0648067481778,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/03  16:00:00,0.517632030972,3.85596087371,0.0,3.24014266,0.0,0.063477605992,0.063477605992,0.063477605992,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/03  17:00:00,0.634558337892,3.949640677,0.0,3.19914978321,0.0,0.062674514908,0.062674514908,0.062674514908,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/03  18:00:00,0.866428166022,5.57569287592,0.0,4.57522332923,0.0,0.0896331594913,0.0896331594913,0.0896331594913,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/03  19:00:00,1.02945517305,4.55569711859,0.0,3.51926850294,0.0,0.0689459578949,0.0689459578949,0.0689459578949,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/03  20:00:00,1.02335573557,4.2351569591,0.0,3.30567323436,0.0,0.0647614148907,0.0647614148907,0.0647614148907,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/03  21:00:00,0.979187156284,4.09149082098,0.0,3.27426017323,0.0,0.0641460018898,0.0641460018898,0.0641460018898,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/03  22:00:00,0.909764749511,4.03862858516,0.0,3.31838081432,0.0,0.0650103689764,0.0650103689764,0.0650103689764,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/03  23:00:00,0.769293923306,4.02228363941,0.0,3.44004625411,0.0,0.0673939155237,0.0673939155237,0.0673939155237,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/03  24:00:00,0.645331198381,4.06467550332,0.0,3.62473017029,0.0,0.0710120564805,0.0710120564805,0.0710120564805,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/04  01:00:00,0.512965477755,4.15966239691,0.0,3.87360688969,0.0,0.0758877980735,0.0758877980735,0.0758877980735,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/04  02:00:00,0.457838640624,4.20988848073,0.0,3.99101206116,0.0,0.078187881742,0.078187881742,0.078187881742,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/04  03:00:00,0.442465112266,4.29171311087,0.0,4.09591871828,0.0,0.0802431071274,0.0802431071274,0.0802431071274,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/04  04:00:00,0.438426270633,4.36088156223,0.0,4.15926623974,0.0,0.081484147856,0.081484147856,0.081484147856,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/04  05:00:00,0.429249628673,4.47220421661,0.0,4.21104477865,0.0,0.0824985407506,0.0824985407506,0.0824985407506,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/04  06:00:00,0.461063342148,4.62870871268,0.0,4.11876227354,0.0,0.080690635015,0.080690635015,0.080690635015,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/04  07:00:00,0.550872085305,4.94465933837,0.0,3.95777528359,0.0,0.0775367403287,0.0775367403287,0.0775367403287,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/04  08:00:00,0.682051330112,5.74525822856,0.0,4.61878776667,0.0,0.0904866299971,0.0904866299971,0.0904866299971,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/04  09:00:00,0.601147442888,5.18420994686,0.0,4.11664000049,0.0,0.0806490575826,0.0806490575826,0.0806490575826,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/04  10:00:00,0.484660854821,4.76176577851,0.0,3.80643848081,0.0,0.0745719023735,0.0745719023735,0.0745719023735,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/04  11:00:00,0.472284983843,4.49562727232,0.0,3.66614468983,0.0,0.071823407964,0.071823407964,0.071823407964,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/04  12:00:00,0.468059337285,4.22729929756,0.0,3.4787364915,0.0,0.0681518956198,0.0681518956198,0.0681518956198,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/04  13:00:00,0.46138801028,3.98799731266,0.0,3.29940099894,0.0,0.0646385355823,0.0646385355823,0.0646385355823,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/04  14:00:00,0.465665299789,3.75730148615,0.0,3.13528423831,0.0,0.0614233255866,0.0614233255866,0.0614233255866,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/04  15:00:00,0.475884279484,3.42262931483,0.0,2.84378811086,0.0,0.0557126275502,0.0557126275502,0.0557126275502,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/04  16:00:00,0.506961510809,3.3119717207,0.0,2.69547801733,0.0,0.0528070858287,0.0528070858287,0.0528070858287,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/04  17:00:00,0.620608717252,3.23838226929,0.0,2.48710716249,0.0,0.0487248942677,0.0487248942677,0.0487248942677,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/04  18:00:00,0.842578878799,4.35935042581,0.0,3.35786341571,0.0,0.0657838722685,0.0657838722685,0.0657838722685,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/04  19:00:00,1.00727608156,3.42479826819,0.0,2.38716184309,0.0,0.0467668664054,0.0467668664054,0.0467668664054,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/04  20:00:00,1.00098296436,3.09438755592,0.0,2.1636804118,0.0,0.0423886436757,0.0423886436757,0.0423886436757,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/04  21:00:00,0.955798898765,2.89877262506,0.0,2.0804329999,0.0,0.0407577443706,0.0407577443706,0.0407577443706,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/04  22:00:00,0.888193842658,2.93853728397,0.0,2.21731825191,0.0,0.0434394621234,0.0434394621234,0.0434394621234,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/04  23:00:00,0.748045005153,2.93841056712,0.0,2.35541924097,0.0,0.0461449973701,0.0461449973701,0.0461449973701,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/04  24:00:00,0.623482195218,2.94992635746,0.0,2.50947249601,0.0,0.0491630533174,0.0491630533174,0.0491630533174,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/05  01:00:00,0.489672815388,2.97094969187,0.0,2.68465926286,0.0,0.0525951357064,0.0525951357064,0.0525951357064,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/05  02:00:00,0.434293486558,3.00816461198,0.0,2.78917628088,0.0,0.0546427276755,0.0546427276755,0.0546427276755,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/05  03:00:00,0.417885276331,3.0371455586,0.0,2.84126877133,0.0,0.0556632711918,0.0556632711918,0.0556632711918,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/05  04:00:00,0.413256549726,3.07621566228,0.0,2.87450628108,0.0,0.0563144269492,0.0563144269492,0.0563144269492,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/05  05:00:00,0.40351151811,3.1586252356,0.0,2.89727201234,0.0,0.0567604301876,0.0567604301876,0.0567604301876,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/05  06:00:00,0.436312727432,3.36598282941,0.0,2.85539511675,0.0,0.0559400202991,0.0559400202991,0.0559400202991,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/05  07:00:00,0.538510648118,4.31515695987,0.0,3.32679969238,0.0,0.0651753031415,0.0651753031415,0.0651753031415,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/05  08:00:00,0.657411952904,4.48923484928,0.0,3.36109860276,0.0,0.0658472527892,0.0658472527892,0.0658472527892,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/05  09:00:00,0.576727630865,3.93927733144,0.0,2.87015829331,0.0,0.0562292455597,0.0562292455597,0.0562292455597,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/05  10:00:00,0.465629190334,3.79165392349,0.0,2.83498867528,0.0,0.0555402378861,0.0555402378861,0.0555402378861,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/05  11:00:00,0.455708386727,3.65061834911,0.0,2.82001102372,0.0,0.0552468108477,0.0552468108477,0.0552468108477,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/05  12:00:00,0.45438047515,3.53002235629,0.0,2.78051443269,0.0,0.0544730334847,0.0544730334847,0.0544730334847,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/05  13:00:00,0.450398386812,3.42784982503,0.0,2.73844808871,0.0,0.0536489121144,0.0536489121144,0.0536489121144,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/05  14:00:00,0.457437660199,3.33804979314,0.0,2.71531367374,0.0,0.0531956859968,0.0531956859968,0.0531956859968,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/05  15:00:00,0.471898398972,3.21981888989,0.0,2.6403333447,0.0,0.0517267470385,0.0517267470385,0.0517267470385,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/05  16:00:00,0.50498280233,3.21163323292,0.0,2.59447707923,0.0,0.05082837735,0.05082837735,0.05082837735,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/05  17:00:00,0.620209714658,3.21878470772,0.0,2.46674052599,0.0,0.0483258916733,0.0483258916733,0.0483258916733,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
