Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.523543873858,4.69359418374,0.0,4.39680437817,0.0,0.0861377554102,0.0861377554102,0.0861377554102,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.476472461457,5.15608044795,0.0,4.93194416753,0.0,0.0966216742571,0.0966216742571,0.0966216742571,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.461873319182,5.28044776901,0.0,5.08049143553,0.0,0.0995318624613,0.0995318624613,0.0995318624613,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.458912448637,5.40603032369,0.0,5.19985909303,0.0,0.101870393176,0.101870393176,0.101870393176,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.450832517116,5.57509468645,0.0,5.30450720915,0.0,0.103920553487,0.103920553487,0.103920553487,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.486631443816,5.94722010514,0.0,5.40853764002,0.0,0.105958612732,0.105958612732,0.105958612732,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.601236138848,7.55133282884,0.0,6.49790664227,0.0,0.127300431152,0.127300431152,0.127300431152,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.706940637166,7.03468826305,0.0,5.83082106115,0.0,0.114231563474,0.114231563474,0.114231563474,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.634310005451,6.85920402285,0.0,5.71475501158,0.0,0.11195771453,0.11195771453,0.11195771453,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.503990709216,5.70640780496,0.0,4.68359384769,0.0,0.0917562453532,0.0917562453532,0.0917562453532,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.477431751308,4.71159377846,0.0,3.8258949793,0.0,0.074953074462,0.074953074462,0.074953074462,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.466234315934,4.08970162386,0.0,3.29539580144,0.0,0.0645600697938,0.0645600697938,0.0645600697938,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.455221120583,3.63254238266,0.0,2.90465894375,0.0,0.0569051474951,0.0569051474951,0.0569051474951,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
