Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.577038161088,1.80792466926,0.0,1.77172949396,0.0,0.0307438419828,0.0307438419828,0.0307438419828,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.475555643656,1.91497986355,0.0,1.88048143592,0.0,0.0326309542819,0.0326309542819,0.0326309542819,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638584
 01/01  03:00:00,0.449336061983,2.0076726806,0.0,1.98080759626,0.0,0.0343718586529,0.0343718586529,0.0343718586529,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442566418
 01/01  04:00:00,0.449426196491,2.06763917408,0.0,2.04104831159,0.0,0.0354171824674,0.0354171824674,0.0354171824674,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418807677
 01/01  05:00:00,0.478808491486,2.13320078745,0.0,2.09993064516,0.0,0.0364389350348,0.0364389350348,0.0364389350348,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009251403
 01/01  06:00:00,0.682798182276,2.05542232681,0.0,2.01262591886,0.0,0.0349239844065,0.0349239844065,0.0349239844065,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992762
 01/01  07:00:00,1.09225550136,1.95044866683,0.0,1.87484890829,0.0,0.0325332161453,0.0325332161453,0.0325332161453,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.59280127374
 01/01  08:00:00,1.2904854662,2.47258931159,0.0,2.35851618149,0.0,0.0409260268255,0.0409260268255,0.0409260268255,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.16804923055,1.83627833448,0.0,1.7187346711,0.0,0.0298242521326,0.0298242521326,0.0298242521326,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.971960991281,1.42099976014,0.0,1.30218848009,0.0,0.0225961564675,0.0225961564675,0.0225961564675,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
 01/01  11:00:00,0.871912982868,1.00939958273,0.0,0.901999184165,0.0,0.015651892956,0.015651892956,0.015651892956,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438498003
 01/01  12:00:00,0.79568959836,0.748106361658,0.0,0.625911517535,0.0,0.0108610963784,0.0108610963784,0.0108610963784,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.388811311359
 01/01  13:00:00,0.734860583457,0.548065452161,0.0,0.411396087969,0.0,0.00713872877544,0.00713872877544,0.00713872877544,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009555226
 01/01  14:00:00,0.707191537963,0.447192377005,0.0,0.332082432489,0.0,0.0057624427795,0.0057624427795,0.0057624427795,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394967342
