Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.488738993104,2.88854459341,0.0,2.59175480466,0.0,0.0513328746557,0.0513328746557,0.0513328746557,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.435739267357,3.05023276303,0.0,2.82609651717,0.0,0.0558884801567,0.0558884801567,0.0558884801567,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.423630872911,3.30181400651,0.0,3.10185768285,0.0,0.0612894161908,0.0612894161908,0.0612894161908,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.422241362699,3.51472685136,0.0,3.30855556862,0.0,0.0651993072376,0.0651993072376,0.0651993072376,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.415908838035,3.7813467309,0.0,3.51075918126,0.0,0.068996874406,0.068996874406,0.068996874406,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.450821748492,4.11482279945,0.0,3.57614029511,0.0,0.0701489174073,0.0701489174073,0.0701489174073,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.541144442578,4.4840201046,0.0,3.43059391752,0.0,0.0672087348817,0.0672087348817,0.0672087348817,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.657110397465,4.49115999215,0.0,3.28729279022,0.0,0.0644013237731,0.0644013237731,0.0644013237731,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.576464504766,3.90654581324,0.0,2.76209680198,0.0,0.0541122138455,0.0541122138455,0.0541122138455,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.453927929462,3.15100979965,0.0,2.12819583251,0.0,0.0416934655988,0.0416934655988,0.0416934655988,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.434814073,2.53622255088,0.0,1.65052375354,0.0,0.0323353961543,0.0323353961543,0.0323353961543,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.425606168973,2.01291648793,0.0,1.21861068209,0.0,0.0239319228337,0.0239319228337,0.0239319228337,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.417276501291,1.68391451417,0.0,0.95603110144,0.0,0.0189605282034,0.0189605282034,0.0189605282034,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.422434519863,1.4885949309,0.0,0.833074088415,0.0,0.0166889840395,0.0166889840395,0.0166889840395,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.44280968099,1.66556903615,0.0,1.05595836991,0.0,0.0213542924163,0.0213542924163,0.0213542924163,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.483571501081,2.03301529751,0.0,1.38533003561,0.0,0.0282139161979,0.0282139161979,0.0282139161979,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.604620357876,2.34082586103,0.0,1.54939670091,0.0,0.031483269763,0.031483269763,0.031483269763,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.827456778619,3.47855987707,0.0,2.42696086372,0.0,0.0493018869233,0.0493018869233,0.0493018869233,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.998789933059,2.93243355874,0.0,1.82757380526,0.0,0.0364896947435,0.0364896947435,0.0364896947435,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.995034639619,2.73658114039,0.0,1.72964158275,0.0,0.0343749978648,0.0343749978648,0.0343749978648,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.953595206209,2.73771469038,0.0,1.84665615905,0.0,0.0367238760444,0.0367238760444,0.0367238760444,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.88604584046,2.78210688854,0.0,2.00081219304,0.0,0.0397660535802,0.0397660535802,0.0397660535802,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.746939184078,2.84775245518,0.0,2.21643652514,0.0,0.0440121581062,0.0440121581062,0.0440121581062,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.624264598757,2.95667620554,0.0,2.48577018088,0.0,0.0493187730687,0.0493187730687,0.0493187730687,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.491061150736,3.00743788716,0.0,2.7218668293,0.0,0.0539834710544,0.0539834710544,0.0539834710544,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.437692903328,3.15255428115,0.0,2.93390842201,0.0,0.0580421444459,0.0580421444459,0.0580421444459,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.422698557939,3.25482858617,0.0,3.05920383001,0.0,0.0604765527998,0.0604765527998,0.0604765527998,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.421155267161,3.45700100465,0.0,3.2555793163,0.0,0.0642131443838,0.0642131443838,0.0642131443838,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.412568545354,3.59772909689,0.0,3.33696860286,0.0,0.065817457432,0.065817457432,0.065817457432,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.445904775442,3.84038468289,0.0,3.33175845863,0.0,0.0655320683084,0.0655320683084,0.0655320683084,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.550030631635,4.87429914725,0.0,3.89044806676,0.0,0.0766952866585,0.0766952866585,0.0766952866585,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.669204642156,5.05294975523,0.0,3.92990872502,0.0,0.0776399420418,0.0776399420418,0.0776399420418,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.583755788656,4.29219506364,0.0,3.22781430764,0.0,0.0632574033503,0.0632574033503,0.0632574033503,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.465987948405,3.80587386961,0.0,2.85330107557,0.0,0.0558989959571,0.0558989959571,0.0558989959571,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.44272940978,2.98468085462,0.0,2.15751381339,0.0,0.042267833901,0.042267833901,0.042267833901,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.430698359115,2.31830449434,0.0,1.57168758354,0.0,0.03079091745,0.03079091745,0.03079091745,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.41989577515,1.86012832068,0.0,1.17319039328,0.0,0.0231463004527,0.0231463004527,0.0231463004527,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.422974525632,1.56059764669,0.0,0.940060423659,0.0,0.0187325514299,0.0187325514299,0.0187325514299,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.437644380695,1.45273991564,0.0,0.875225249236,0.0,0.0174727287612,0.0174727287612,0.0174727287612,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.475939323942,1.68981067642,0.0,1.07468079167,0.0,0.0217848989614,0.0217848989614,0.0217848989614,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.603666115687,2.31039296792,0.0,1.56070118821,0.0,0.0317822927028,0.0317822927028,0.0317822927028,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.832031452476,3.71323504392,0.0,2.71380238319,0.0,0.0552364459454,0.0552364459454,0.0552364459454,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,1.00061052547,3.05158789681,0.0,2.01638996632,0.0,0.0401013103181,0.0401013103181,0.0401013103181,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,0.998083813335,2.92193835398,0.0,1.99370128581,0.0,0.0394894926541,0.0394894926541,0.0394894926541,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.955225981378,2.84856965178,0.0,2.0324690592,0.0,0.0401848269842,0.0401848269842,0.0401848269842,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.895332187106,3.26769293064,0.0,2.54843488218,0.0,0.0505778065717,0.0505778065717,0.0505778065717,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/02  23:00:00,0.757943709014,3.42134472674,0.0,2.83987561276,0.0,0.0560437012312,0.0560437012312,0.0560437012312,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/02  24:00:00,0.635933682162,3.57456290096,0.0,3.13513576214,0.0,0.0616145402609,0.0616145402609,0.0616145402609,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/03  01:00:00,0.504292467212,3.71344662014,0.0,3.42763126237,0.0,0.0672147875303,0.0672147875303,0.0672147875303,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/03  02:00:00,0.449687897616,3.79372878084,0.0,3.57496659569,0.0,0.0700371387337,0.0700371387337,0.0700371387337,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/03  03:00:00,0.436342329708,3.97909856849,0.0,3.78338820214,0.0,0.0741203245694,0.0741203245694,0.0741203245694,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/03  04:00:00,0.434634549431,4.16724153064,0.0,3.96572211613,0.0,0.0776924266543,0.0776924266543,0.0776924266543,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/03  05:00:00,0.429473515946,4.48343469345,0.0,4.2224728515,0.0,0.0827224280241,0.0827224280241,0.0827224280241,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/03  06:00:00,0.464250487951,4.79073907431,0.0,4.28144652919,0.0,0.0838777808183,0.0838777808183,0.0838777808183,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/03  07:00:00,0.555950641766,5.20238630288,0.0,4.21700445872,0.0,0.0826152967897,0.0826152967897,0.0826152967897,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/03  08:00:00,0.66795146631,5.02384804236,0.0,3.89907615358,0.0,0.0763867661956,0.0763867661956,0.0763867661956,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/03  09:00:00,0.581705152034,4.19022059919,0.0,3.12423023612,0.0,0.0612067667282,0.0612067667282,0.0612067667282,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/03  10:00:00,0.458614916089,3.43091602292,0.0,2.47695297349,0.0,0.0485259636414,0.0485259636414,0.0485259636414,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/03  11:00:00,0.439785091608,2.83556016049,0.0,2.00722441976,0.0,0.039323515729,0.039323515729,0.039323515729,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/03  12:00:00,0.430207395174,2.29422589397,0.0,1.54662688401,0.0,0.0302999535088,0.0302999535088,0.0302999535088,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
