Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.482911534668,2.61956235397,0.0,2.32277254398,0.0,0.0455054162201,0.0455054162201,0.0455054162201,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.427955083205,2.67956570604,0.0,2.45542942552,0.0,0.0481042960048,0.0481042960048,0.0481042960048,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.41352924787,2.81277918489,0.0,2.61282295041,0.0,0.0511877911489,0.0511877911489,0.0511877911489,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.40977784937,2.8980101043,0.0,2.69183900187,0.0,0.0527357939093,0.0527357939093,0.0527357939093,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.400610366009,3.01156173955,0.0,2.74097426342,0.0,0.0536984023808,0.0536984023808,0.0536984023808,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.435800839553,3.35262935546,0.0,2.8139468905,0.0,0.0551280084679,0.0551280084679,0.0551280084679,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.537242144756,4.28483171134,0.0,3.2314055353,0.0,0.0633064370598,0.0633064370598,0.0633064370598,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.645717728873,3.90963409333,0.0,2.70576689709,0.0,0.0530086551806,0.0530086551806,0.0530086551806,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.571701255749,3.66341113728,0.0,2.51896213901,0.0,0.0493489648289,0.0493489648289,0.0493489648289,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.450455733782,2.97377548294,0.0,1.95096152807,0.0,0.038221269919,0.038221269919,0.038221269919,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.431281294055,2.35589585366,0.0,1.47019704479,0.0,0.0288026172093,0.0288026172093,0.0288026172093,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.4283512518,2.15600342954,0.0,1.3616976055,0.0,0.0266770056607,0.0266770056607,0.0266770056607,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.421440343302,1.90824076253,0.0,1.18035734406,0.0,0.023124370214,0.023124370214,0.023124370214,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.426601847524,1.72010770338,0.0,1.06458686046,0.0,0.020856311701,0.020856311701,0.020856311701,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.447158332295,1.92158838089,0.0,1.31197771464,0.0,0.0257029437218,0.0257029437218,0.0257029437218,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.484986128369,2.16004078005,0.0,1.51235551815,0.0,0.0296285434855,0.0296285434855,0.0296285434855,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.609537380259,2.64944093973,0.0,1.85801177558,0.0,0.0364002921461,0.0364002921461,0.0364002921461,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.837905851235,4.1015192357,0.0,3.04992020341,0.0,0.0597509595392,0.0597509595392,0.0597509595392,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.00499564937,3.28419875431,0.0,2.1793390062,0.0,0.042695411059,0.042695411059,0.042695411059,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.999939883083,3.01195502711,0.0,2.00501552689,0.0,0.0392802413286,0.0392802413286,0.0392802413286,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.956566059312,2.91723110263,0.0,2.02617258918,0.0,0.0396947291474,0.0396947291474,0.0396947291474,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.8875919696,2.89002837836,0.0,2.10873367886,0.0,0.04131218272,0.04131218272,0.04131218272,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.745118502859,2.78493218602,0.0,2.15361625588,0.0,0.0421914768867,0.0421914768867,0.0421914768867,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.622319362898,2.88903470193,0.0,2.4181286687,0.0,0.0473735372102,0.0473735372102,0.0473735372102,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.489357616588,2.95414143662,0.0,2.6685702963,0.0,0.0522799369057,0.0522799369057,0.0522799369057,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.435616729771,3.07536560618,0.0,2.85671973527,0.0,0.0559659708888,0.0559659708888,0.0559659708888,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.419166311026,3.10228249631,0.0,2.90665773962,0.0,0.0569443058872,0.0569443058872,0.0569443058872,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.414832256838,3.15635815821,0.0,2.95493646985,0.0,0.0578901340612,0.0578901340612,0.0578901340612,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.405048638697,3.23649308963,0.0,2.9757325956,0.0,0.0582975507754,0.0582975507754,0.0582975507754,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.43771520489,3.43560921788,0.0,2.92698299362,0.0,0.0573424977572,0.0573424977572,0.0573424977572,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.529773338565,3.86466468104,0.0,2.88081360054,0.0,0.0564379935887,0.0564379935887,0.0564379935887,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.655266021062,4.37460296728,0.0,3.25156193707,0.0,0.0637013209473,0.0637013209473,0.0637013209473,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.576000288819,3.89741269655,0.0,2.83303194055,0.0,0.0555019035134,0.0555019035134,0.0555019035134,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.462342748962,3.61980878361,0.0,2.66723598957,0.0,0.0522537965145,0.0522537965145,0.0522537965145,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.450060957908,3.3589114217,0.0,2.53174440201,0.0,0.0495993820295,0.0495993820295,0.0495993820295,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.448530319622,3.22851674423,0.0,2.48189985522,0.0,0.0486228779572,0.0486228779572,0.0486228779572,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.445463726233,3.17350182782,0.0,2.48656391628,0.0,0.0487142515358,0.0487142515358,0.0487142515358,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.449497287436,2.93054352761,0.0,2.3100063197,0.0,0.0452553132339,0.0452553132339,0.0452553132339,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.465829190585,2.90805212794,0.0,2.33053746154,0.0,0.0456575386508,0.0456575386508,0.0456575386508,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.500713885635,2.99170493569,0.0,2.37657505094,0.0,0.0465594606548,0.0465594606548,0.0465594606548,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.619770235744,3.1939995964,0.0,2.44430782148,0.0,0.0478864127591,0.0478864127591,0.0478864127591,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.845866924872,4.5251306693,0.0,3.52569801162,0.0,0.0690719183421,0.0690719183421,0.0690719183421,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,1.01275069921,3.70180539677,0.0,2.6666075141,0.0,0.0522414840572,0.0522414840572,0.0522414840572,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,1.00727132158,3.4128995479,0.0,2.48466249975,0.0,0.0486770009016,0.0486770009016,0.0486770009016,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.964918612599,3.36203907198,0.0,2.54593848612,0.0,0.0498774582048,0.0498774582048,0.0498774582048,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.896335067731,3.3521359334,0.0,2.63287788512,0.0,0.0515806871963,0.0515806871963,0.0515806871963,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/02  23:00:00,0.756758319497,3.38164963847,0.0,2.80018052449,0.0,0.0548583117141,0.0548583117141,0.0548583117141,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/02  24:00:00,0.633438368882,3.45710126772,0.0,3.0176741289,0.0,0.0591192269808,0.0591192269808,0.0591192269808,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/03  01:00:00,0.501770034833,3.58796361369,0.0,3.30214815803,0.0,0.0646923551517,0.0646923551517,0.0646923551517,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/03  02:00:00,0.446929332752,3.65292097112,0.0,3.43415876976,0.0,0.0672785738701,0.0672785738701,0.0672785738701,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/03  03:00:00,0.431739705706,3.74416282942,0.0,3.5484524615,0.0,0.069517700567,0.069517700567,0.069517700567,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/03  04:00:00,0.430324509792,3.94724042823,0.0,3.74572101363,0.0,0.0733823870147,0.0733823870147,0.0733823870147,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/03  05:00:00,0.421000304842,4.05092920847,0.0,3.78996736652,0.0,0.0742492169202,0.0742492169202,0.0742492169202,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/03  06:00:00,0.454097424384,4.27248741876,0.0,3.76319487364,0.0,0.0737247172506,0.0737247172506,0.0737247172506,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/03  07:00:00,0.544091884336,4.5970694318,0.0,3.61168758763,0.0,0.0707565393599,0.0707565393599,0.0707565393599,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/03  08:00:00,0.658010469207,4.51642107981,0.0,3.39164919103,0.0,0.066445769092,0.066445769092,0.066445769092,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/03  09:00:00,0.583776741105,4.29596252218,0.0,3.22997215911,0.0,0.0632783557997,0.0632783557997,0.0632783557997,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/03  10:00:00,0.471056949328,4.06600551067,0.0,3.11204249904,0.0,0.0609679968797,0.0609679968797,0.0609679968797,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/03  11:00:00,0.460109475651,3.87299533478,0.0,3.04465963408,0.0,0.0596478997723,0.0596478997723,0.0596478997723,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/03  12:00:00,0.458182937498,3.72220580716,0.0,2.97460682599,0.0,0.0582754958331,0.0582754958331,0.0582754958331,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/03  13:00:00,0.453271900676,3.57289824258,0.0,2.88512335649,0.0,0.0565224259791,0.0565224259791,0.0565224259791,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/03  14:00:00,0.458197048415,3.37535997461,0.0,2.754075787,0.0,0.0539550742124,0.0539550742124,0.0539550742124,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/03  15:00:00,0.472898918048,3.26958788947,0.0,2.69140371019,0.0,0.052727266114,0.052727266114,0.052727266114,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/03  16:00:00,0.505966485699,3.26050629883,0.0,2.64468808512,0.0,0.0518120607192,0.0518120607192,0.0518120607192,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/03  17:00:00,0.623937735586,3.40752403489,0.0,2.65703314111,0.0,0.0520539126011,0.0520539126011,0.0520539126011,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/03  18:00:00,0.844998679442,4.48184895152,0.0,3.48137940483,0.0,0.0682036729112,0.0682036729112,0.0682036729112,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/03  19:00:00,1.0294311877,4.55447281368,0.0,3.51804419803,0.0,0.0689219725482,0.0689219725482,0.0689219725482,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/03  20:00:00,1.00865253031,3.48464846328,0.0,2.55516473854,0.0,0.0500582096339,0.0500582096339,0.0500582096339,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/03  21:00:00,0.961910194455,3.20960775196,0.0,2.39237718186,0.0,0.0468690400609,0.0468690400609,0.0468690400609,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/03  22:00:00,0.890934514609,3.07746051539,0.0,2.35721275435,0.0,0.0461801340746,0.0461801340746,0.0461801340746,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/03  23:00:00,0.747895077743,2.9300037507,0.0,2.34776636578,0.0,0.0459950699603,0.0459950699603,0.0459950699603,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/03  24:00:00,0.622437840775,2.89610993675,0.0,2.45616460372,0.0,0.0481186988743,0.0481186988743,0.0481186988743,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/04  01:00:00,0.488987536354,2.93573514186,0.0,2.64967996901,0.0,0.0519098566721,0.0519098566721,0.0519098566721,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/04  02:00:00,0.432013861701,2.89169176012,0.0,2.67281540633,0.0,0.0523631028186,0.0523631028186,0.0523631028186,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/04  03:00:00,0.41525762282,2.90293755247,0.0,2.70714316746,0.0,0.0530356176811,0.0530356176811,0.0530356176811,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/04  04:00:00,0.409741291348,2.89668921147,0.0,2.69507388987,0.0,0.0527991685713,0.0527991685713,0.0527991685713,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/04  05:00:00,0.398704866553,2.91308135363,0.0,2.65192191577,0.0,0.0519537786311,0.0519537786311,0.0519537786311,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/04  06:00:00,0.428713407125,2.97744283902,0.0,2.46749639989,0.0,0.0483406999921,0.0483406999921,0.0483406999921,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/04  07:00:00,0.519018621181,3.31873526066,0.0,2.33185120588,0.0,0.0456832762044,0.0456832762044,0.0456832762044,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/04  08:00:00,0.64349738584,3.77731571414,0.0,2.65084525226,0.0,0.0519326857258,0.0519326857258,0.0519326857258,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/04  09:00:00,0.565836891711,3.38182276749,0.0,2.31425282112,0.0,0.0453385064055,0.0453385064055,0.0453385064055,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/04  10:00:00,0.453244252388,3.15814077439,0.0,2.20281351441,0.0,0.0431552999403,0.0431552999403,0.0431552999403,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/04  11:00:00,0.439191737053,2.80641988303,0.0,1.97693730706,0.0,0.0387301611739,0.0387301611739,0.0387301611739,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/04  12:00:00,0.436761425795,2.62973272461,0.0,1.88116997017,0.0,0.0368539841299,0.0368539841299,0.0368539841299,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/04  13:00:00,0.431520037669,2.46342028965,0.0,1.77482409169,0.0,0.0347705629718,0.0347705629718,0.0347705629718,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/04  14:00:00,0.439779709935,2.43600076563,0.0,1.81398355826,0.0,0.0355377357327,0.0355377357327,0.0355377357327,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/04  15:00:00,0.45534295988,2.37412086971,0.0,1.79527966602,0.0,0.0351713079463,0.0351713079463,0.0351713079463,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/04  16:00:00,0.48738690075,2.31280787204,0.0,1.69631416868,0.0,0.0332324757694,0.0332324757694,0.0332324757694,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/04  17:00:00,0.604918601029,2.43749801852,0.0,1.68622291172,0.0,0.0330347780442,0.0330347780442,0.0330347780442,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/04  18:00:00,0.82169927446,3.29357470362,0.0,2.29208760887,0.0,0.0449042679297,0.0449042679297,0.0449042679297,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/04  19:00:00,0.992480005538,2.66954925592,0.0,1.63191286397,0.0,0.0319707903826,0.0319707903826,0.0319707903826,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/04  20:00:00,0.986489541639,2.35458716,0.0,1.42388002861,0.0,0.027895220958,0.027895220958,0.027895220958,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/04  21:00:00,0.943705376073,2.28147242652,0.0,1.46313280137,0.0,0.0286642216794,0.0286642216794,0.0286642216794,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/04  22:00:00,0.874962897702,2.26317865136,0.0,1.5419596193,0.0,0.0302085171674,0.0302085171674,0.0302085171674,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/04  23:00:00,0.734671966309,2.25579874415,0.0,1.67280758646,0.0,0.0327719585266,0.0327719585266,0.0327719585266,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/04  24:00:00,0.61158879205,2.34284076331,0.0,1.90238717237,0.0,0.0372696501492,0.0372696501492,0.0372696501492,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/05  01:00:00,0.478113561309,2.38092039552,0.0,2.09463020181,0.0,0.0410358816267,0.0410358816267,0.0410358816267,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/05  02:00:00,0.423029467779,2.43320547659,0.0,2.21421717214,0.0,0.0433787088972,0.0433787088972,0.0433787088972,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/05  03:00:00,0.408587940711,2.56257356812,0.0,2.36669678182,0.0,0.0463659355723,0.0463659355723,0.0463659355723,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/05  04:00:00,0.4053151805,2.67085734187,0.0,2.4691480637,0.0,0.0483730577232,0.0483730577232,0.0483730577232,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/05  05:00:00,0.396063120876,2.77843020301,0.0,2.51707699321,0.0,0.0493120329542,0.0493120329542,0.0493120329542,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/05  06:00:00,0.42919808182,3.00282378359,0.0,2.49223607195,0.0,0.0488253746871,0.0488253746871,0.0488253746871,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/05  07:00:00,0.519560908186,3.34788890063,0.0,2.35953163322,0.0,0.0462255632099,0.0462255632099,0.0462255632099,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/05  08:00:00,0.645064274168,3.85896154268,0.0,2.73082529616,0.0,0.0534995740535,0.0534995740535,0.0534995740535,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/05  09:00:00,0.572553989589,3.72623852925,0.0,2.65711949113,0.0,0.0520556042836,0.0520556042836,0.0520556042836,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/05  10:00:00,0.464111073782,3.71416337979,0.0,2.75749813158,0.0,0.0540221213346,0.0540221213346,0.0540221213346,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/05  11:00:00,0.453702365129,3.54822324373,0.0,2.71761591834,0.0,0.0532407892503,0.0532407892503,0.0532407892503,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/05  12:00:00,0.452644442008,3.44140859855,0.0,2.69190058291,0.0,0.0527370003429,0.0527370003429,0.0527370003429,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/05  13:00:00,0.448370765256,3.32435222891,0.0,2.63495043788,0.0,0.0516212905588,0.0516212905588,0.0516212905588,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/05  14:00:00,0.456196175085,3.27467959916,0.0,2.65194346911,0.0,0.0519542008824,0.0519542008824,0.0519542008824,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/05  15:00:00,0.469323983717,3.08841077288,0.0,2.50892522741,0.0,0.0491523317831,0.0491523317831,0.0491523317831,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/05  16:00:00,0.503008474167,3.11085603777,0.0,2.49369972937,0.0,0.0488540491866,0.0488540491866,0.0488540491866,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/05  17:00:00,0.625385638881,3.48298393912,0.0,2.73093972852,0.0,0.0535018158969,0.0535018158969,0.0535018158969,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/05  18:00:00,0.861351747547,5.31858831687,0.0,4.3161032852,0.0,0.0845567410166,0.0845567410166,0.0845567410166,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/05  19:00:00,1.02709829107,4.43778516075,0.0,3.39896412557,0.0,0.0665890759093,0.0665890759093,0.0665890759093,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/05  20:00:00,1.02277147462,4.20775729313,0.0,3.27585029421,0.0,0.0641771539358,0.0641771539358,0.0641771539358,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/05  21:00:00,0.980822186928,4.17714570057,0.0,3.35771846468,0.0,0.0657810325342,0.0657810325342,0.0657810325342,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/05  22:00:00,0.914285598258,4.27131398491,0.0,3.54914242948,0.0,0.0695312177237,0.0695312177237,0.0695312177237,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/05  23:00:00,0.776677391606,4.40065776276,0.0,3.81692704919,0.0,0.0747773838232,0.0747773838232,0.0747773838232,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/05  24:00:00,0.655004465422,4.55944372782,0.0,4.11849115434,0.0,0.0806853235211,0.0806853235211,0.0806853235211,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/06  01:00:00,0.523970138786,4.72184873358,0.0,4.43532737529,0.0,0.0868924591037,0.0868924591037,0.0868924591037,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/06  02:00:00,0.471126386476,4.88836859388,0.0,4.66927003132,0.0,0.0914756275941,0.0914756275941,0.0914756275941,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/06  03:00:00,0.455009494038,4.93219016188,0.0,4.73623250905,0.0,0.0927874888989,0.0927874888989,0.0927874888989,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/06  04:00:00,0.451137770136,5.00991194472,0.0,4.80811036623,0.0,0.0941956473587,0.0941956473587,0.0941956473587,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/06  05:00:00,0.44208953139,5.12798624452,0.0,4.86644310212,0.0,0.0953384434681,0.0953384434681,0.0953384434681,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/06  06:00:00,0.476487348902,5.41727944324,0.0,4.90606326721,0.0,0.0961146417694,0.0961146417694,0.0961146417694,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/06  07:00:00,0.586088087493,6.74513736269,0.0,5.75533631668,0.0,0.112752742517,0.112752742517,0.112752742517,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/06  08:00:00,0.685336313775,5.91623479472,0.0,4.78646604533,0.0,0.0937716136607,0.0937716136607,0.0937716136607,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/06  09:00:00,0.598512008907,5.05275447202,0.0,3.98211725131,0.0,0.0780136236015,0.0780136236015,0.0780136236015,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/06  10:00:00,0.472497441846,4.14354734263,0.0,3.18557081169,0.0,0.0624084893978,0.0624084893978,0.0624084893978,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/06  11:00:00,0.451896283894,3.4571361877,0.0,2.62542654282,0.0,0.0514347080156,0.0514347080156,0.0514347080156,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/06  12:00:00,0.443955483663,2.99881677196,0.0,2.24838252383,0.0,0.044048041998,0.044048041998,0.044048041998,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
