Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.569374073853,1.36625282464,0.0,1.33005764935,0.0,0.0230797547476,0.0230797547476,0.0230797547476,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.466013671218,1.36508782314,0.0,1.33058939551,0.0,0.0230889818446,0.0230889818446,0.0230889818446,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638584
 01/01  03:00:00,0.438671309655,1.39307622722,0.0,1.36621114289,0.0,0.0237071063248,0.0237071063248,0.0237071063248,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442566418
 01/01  04:00:00,0.438423618163,1.4335734268,0.0,1.4069825643,0.0,0.0244145902503,0.0244145902503,0.0244145902503,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418946562
 01/01  05:00:00,0.467226943234,1.4657704244,0.0,1.43250028211,0.0,0.0248573850938,0.0248573850938,0.0248573850938,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253092
 01/01  06:00:00,0.67164504569,1.41268088714,0.0,1.36988447919,0.0,0.023770847698,0.023770847698,0.023770847698,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992885
 01/01  07:00:00,1.08991351337,1.81548280235,0.0,1.73988304381,0.0,0.0301912281472,0.0301912281472,0.0301912281472,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.27811457347,1.75967010194,0.0,1.64559697184,0.0,0.028555134089,0.028555134089,0.028555134089,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.15843933262,1.28247183211,0.0,1.16492816873,0.0,0.0202143542019,0.0202143542019,0.0202143542019,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.972180596842,1.4336553563,0.0,1.31484407625,0.0,0.0228157620279,0.0228157620279,0.0228157620279,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
