Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.559988584484,0.82537870947,0.0,0.789183534178,0.0,0.013694265379,0.013694265379,0.013694265379,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.460130427909,1.0260438059,0.0,0.99154537827,0.0,0.0172057385352,0.0172057385352,0.0172057385352,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638584
 01/01  03:00:00,0.435677238718,1.2205319595,0.0,1.19366687517,0.0,0.0207130410795,0.0207130410795,0.0207130410795,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.05734425095
 01/01  04:00:00,0.43672750064,1.33582821962,0.0,1.30923735712,0.0,0.022718471732,0.022718471732,0.022718471732,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418956515
 01/01  05:00:00,0.466791441695,1.44067300494,0.0,1.40740286265,0.0,0.024421883455,0.024421883455,0.024421883455,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253191
 01/01  06:00:00,0.674338419019,1.56789665222,0.0,1.52510024427,0.0,0.026464221021,0.026464221021,0.026464221021,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992891
 01/01  07:00:00,1.09352305956,2.02349647325,0.0,1.94789671471,0.0,0.0338007743281,0.0338007743281,0.0338007743281,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.28425279288,2.1134080757,0.0,1.99933494559,0.0,0.0346933534986,0.0346933534986,0.0346933534986,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.16173973033,1.47266965991,0.0,1.35512599653,0.0,0.0235147519112,0.0235147519112,0.0235147519112,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.965353920091,1.0402424396,0.0,0.921431159545,0.0,0.0159890852772,0.0159890852772,0.0159890852772,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
 01/01  11:00:00,0.864791246327,0.598982702759,0.0,0.491582304191,0.0,0.00853015583535,0.00853015583535,0.00853015583535,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438498583
 01/01  12:00:00,0.785591685142,0.16617617636,0.0,0.0439813322368,0.0,0.000763183732668,0.000763183732668,0.000763183732668,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.388811310787
