Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.442332420661,1.14917247182,0.0,0.872642403985,0.0277089829278,0.0277089829278,0.0277089829278,0.0535946394262,0.00915354295514,0.0389770129118,0.302884242441
 01/01  02:00:00,0.39419554799,1.22490210326,0.0,1.01086671281,0.0320980144439,0.0320980144439,0.0320980144439,0.0312635512159,0.00533956869658,0.0366038093052,0.278876604329
 01/01  03:00:00,0.382277127798,1.32402870567,0.0,1.13174758035,0.0359363402915,0.0359363402915,0.0359363402915,0.0223311048432,0.00381397662586,0.0345384536427,0.275643252395
 01/01  04:00:00,0.38070798901,1.44180486753,0.0,1.24425302997,0.0395087217947,0.0395087217947,0.0395087217947,0.0223311048432,0.00381397662586,0.0332769556732,0.271763230073
 01/01  05:00:00,0.372973422583,1.56018563193,0.0,1.30654008669,0.0414865204706,0.0414865204706,0.0414865204706,0.0223311048432,0.00381397662586,0.0338304829616,0.261497337682
 01/01  06:00:00,0.405384725095,1.78747536836,0.0,1.30288310915,0.0413704005942,0.0413704005942,0.0413704005942,0.0223311048432,0.00381397662586,0.0360452309657,0.291810012066
 01/01  07:00:00,0.48853403543,2.13841860939,0.0,1.20840285043,0.0383703723308,0.0383703723308,0.0383703723308,0.0513615444659,0.00877214789658,0.0428581977933,0.337157772944
 01/01  08:00:00,0.609086159651,2.66177363332,0.0,1.59776283406,0.0507337059136,0.0507337059136,0.0507337059136,0.104956183892,0.0179256908517,0.0522011846794,0.358255394315
 01/01  09:00:00,0.528836650145,2.20343546371,0.0,1.18972762205,0.0377773784744,0.0377773784744,0.0377773784744,0.10048996625,0.017162896,0.0605081669804,0.302884242441
 01/01  10:00:00,0.413932344258,1.6100913097,0.0,0.70040527347,0.0222399435055,0.0222399435055,0.0222399435055,0.0513615444659,0.00877214789658,0.0637657254319,0.257778982958
 01/01  11:00:00,0.399553692329,1.30203932362,0.0,0.511536012341,0.0162427846368,0.0162427846368,0.0162427846368,0.0424290814603,0.00724655345856,0.0597797549385,0.263841517835
 01/01  12:00:00,0.388225007341,0.894590789736,0.0,0.180197965895,0.00572181954236,0.00572181954236,0.00572181954236,0.0424290814603,0.00724655345856,0.0588912012469,0.263922351633
 01/01  13:00:00,0.379325820023,0.658989448783,0.0,0.0,0.0,0.0,0.0,0.0424290814603,0.00724655345856,0.0601596923813,0.259476492723
 01/01  14:00:00,0.386390283019,0.593850213576,0.0,0.0,0.0,0.0,0.0,0.0424290814603,0.00724655345856,0.0582516037592,0.268449044341
 01/01  15:00:00,0.401079838943,0.554205723329,0.0,0.0,0.0,0.0,0.0,0.0446622041421,0.00762795325171,0.0552107169154,0.283564964633
 01/01  16:00:00,0.43342974778,0.626455998867,0.0,0.0351266658944,0.00111537576118,0.00111537576118,0.00111537576118,0.0558277621079,0.00953494274829,0.0576101118494,0.299327555313
 01/01  17:00:00,0.550476362362,1.02476683394,0.0,0.299140277255,0.00949859048521,0.00949859048521,0.00949859048521,0.0937906259262,0.0160187013551,0.0671024077954,0.3540520368
 01/01  18:00:00,0.760224624936,1.97169210744,0.0,1.00505120684,0.0319133548916,0.0319133548916,0.0319133548916,0.174182598926,0.0297490181551,0.08424901191,0.430116641053
 01/01  19:00:00,0.908238402229,1.40246001154,0.0,0.399374097532,0.0126813113823,0.0126813113823,0.0126813113823,0.259040789568,0.0442421298068,0.0852833183682,0.466976853104
 01/01  20:00:00,0.898725940528,1.16274977614,0.0,0.260070814671,0.00825801924227,0.00825801924227,0.00825801924227,0.274672565176,0.0469119094205,0.076857507091,0.482011939598
 01/01  21:00:00,0.861283135627,1.06001268316,0.0,0.264178602154,0.00838845367076,0.00838845367076,0.00838845367076,0.236709701358,0.0404281508137,0.0671599615243,0.498582868261
 01/01  22:00:00,0.80015392506,1.02854207325,0.0,0.330294374071,0.010487825403,0.010487825403,0.010487825403,0.19874683754,0.0339443922068,0.0600180686125,0.486942801298
 01/01  23:00:00,0.672590974735,1.02927167601,0.0,0.462777057561,0.0146945432961,0.0146945432961,0.0146945432961,0.149618388034,0.0255536441034,0.0513238084703,0.421386590831
 01/01  24:00:00,0.561709783725,1.08982102522,0.0,0.662542852683,0.0210376994174,0.0210376994174,0.0210376994174,0.10272306121,0.0175442910586,0.0442136254855,0.366177106553
 01/02  01:00:00,0.442586295346,1.15783009958,0.0,0.890981273037,0.0282912963785,0.0282912963785,0.0282912963785,0.0535946394262,0.00915354295514,0.0386485741458,0.302884242441
