Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.487224660564,2.56296930061,0.0,2.28643923119,0.0726012228299,0.0726012228299,0.0726012228299,0.0535946394262,0.00915354295514,0.0389770129118,0.302884242441
 01/01  02:00:00,0.440544297243,2.68456895843,0.0,2.47053356796,0.0784467636968,0.0784467636968,0.0784467636968,0.0312635512159,0.00533956869658,0.0366038093052,0.278876604329
 01/01  03:00:00,0.431989990767,2.88964200746,0.0,2.69736088214,0.0856492032612,0.0856492032612,0.0856492032612,0.0223311048432,0.00381397662586,0.0345384536427,0.275643252395
 01/01  04:00:00,0.430940902324,3.02379617871,0.0,2.82624434115,0.0897416351086,0.0897416351086,0.0897416351086,0.0223311048432,0.00381397662586,0.0332769556732,0.271763230073
 01/01  05:00:00,0.424793821281,3.19217181534,0.0,2.9385262701,0.0933069191677,0.0933069191677,0.0933069191677,0.0223311048432,0.00381397662586,0.0338304829616,0.261497337682
 01/01  06:00:00,0.460155401661,3.51237501519,0.0,3.02778275599,0.0961410771601,0.0961410771601,0.0961410771601,0.0223311048432,0.00381397662586,0.0360452309657,0.291810012066
 01/01  07:00:00,0.566709252821,4.60040032159,0.0,3.67038457721,0.116545589721,0.116545589721,0.116545589721,0.0513615444659,0.00877214789658,0.0428581977933,0.337157772944
 01/01  08:00:00,0.680543671912,4.91219384413,0.0,3.84818304777,0.122191218175,0.122191218175,0.122191218175,0.104956183892,0.0179256908517,0.0522011846794,0.358255394315
 01/01  09:00:00,0.587462597831,4.04974963753,0.0,3.03604179595,0.0964033261597,0.0964033261597,0.0964033261597,0.10048996625,0.017162896,0.0605081669804,0.302884242441
 01/01  10:00:00,0.467712224067,3.30378767254,0.0,2.39410163631,0.0760198233149,0.0760198233149,0.0760198233149,0.0513615444659,0.00877214789658,0.0637657254319,0.257778982958
