Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.48739107325,2.84821533436,0.0,2.55142552843,0.0,0.0499849548018,0.0499849548018,0.0499849548018,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.434114099648,2.99394574281,0.0,2.76980945938,0.0,0.0542633124479,0.0542633124479,0.0542633124479,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.418396515572,3.06122346357,0.0,2.86126712962,0.0,0.056055058851,0.056055058851,0.056055058851,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.414362463577,3.13202668352,0.0,2.92585545282,0.0,0.0573204081155,0.0573204081155,0.0573204081155,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.40485485935,3.22821710646,0.0,2.95762962915,0.0,0.0579428957211,0.0579428957211,0.0579428957211,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.437988142702,3.46427777297,0.0,2.92559530785,0.0,0.0573153116177,0.0573153116177,0.0573153116177,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.528449809896,3.83603692542,0.0,2.78261073885,0.0,0.0545141022,0.0545141022,0.0545141022,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.657262829852,4.49894073103,0.0,3.29507352913,0.0,0.0645537561598,0.0645537561598,0.0645537561598,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.578659049018,4.01856384447,0.0,2.8741148332,0.0,0.0563067580975,0.0563067580975,0.0563067580975,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.46737194987,3.83724461805,0.0,2.81443066079,0.0,0.0551374860073,0.0551374860073,0.0551374860073,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
