Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.489676916438,2.96489361663,0.0,2.66810381069,0.0,0.0522707979903,0.0522707979903,0.0522707979903,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.43969748162,3.27894317685,0.0,3.05480688218,0.0,0.0598466944196,0.0598466944196,0.0598466944196,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.428136300317,3.55837978938,0.0,3.35842343476,0.0,0.0657948435969,0.0657948435969,0.0657948435969,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.426546665466,3.75395550374,0.0,3.54778426855,0.0,0.0695046100049,0.0695046100049,0.0695046100049,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.418661271939,3.93294983415,0.0,3.66236235674,0.0,0.0717493083101,0.0717493083101,0.0717493083101,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.454067084495,4.28500923572,0.0,3.74632672037,0.0,0.0733942534102,0.0733942534102,0.0733942534102,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.561466720858,5.5213478603,0.0,4.46792164551,0.0,0.0875310131613,0.0875310131613,0.0875310131613,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.66771327464,5.03237203538,0.0,3.82850467297,0.0,0.0750042009475,0.0750042009475,0.0750042009475,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.589568275262,4.57541300717,0.0,3.430963958,0.0,0.0672159843415,0.0672159843415,0.0672159843415,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.467584777644,3.84810817167,0.0,2.82529421396,0.0,0.0553503137807,0.0553503137807,0.0553503137807,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.449972546686,3.30996971871,0.0,2.42427091181,0.0,0.0474938698401,0.0474938698401,0.0474938698401,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.445132386778,3.01257749212,0.0,2.2182716756,0.0,0.0434581406385,0.0434581406385,0.0434581406385,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.433943349325,2.54644257332,0.0,1.81855915652,0.0,0.0356273762373,0.0356273762373,0.0356273762373,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.437929839107,2.29833223399,0.0,1.64281138869,0.0,0.0321843032833,0.0321843032833,0.0321843032833,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.458801281158,2.51588954844,0.0,1.90627888135,0.0,0.0373458925852,0.0373458925852,0.0373458925852,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.493834603919,2.61170121463,0.0,1.96401595271,0.0,0.038477019036,0.038477019036,0.038477019036,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.611645456013,2.75704528418,0.0,1.96561612004,0.0,0.0385083678999,0.0385083678999,0.0385083678999,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.83505961045,3.95623609154,0.0,2.90463705916,0.0,0.0569047187543,0.0569047187543,0.0569047187543,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.00231612896,3.14742566313,0.0,2.04256591499,0.0,0.0400158906473,0.0400158906473,0.0400158906473,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.997050822901,2.86448623268,0.0,1.85754671491,0.0,0.0363911811466,0.0363911811466,0.0363911811466,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.953712312855,2.77156485604,0.0,1.88050632637,0.0,0.0368409826902,0.0368409826902,0.0368409826902,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.884002563933,2.70681122273,0.0,1.92551652307,0.0,0.0377227770527,0.0377227770527,0.0377227770527,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.742833778172,2.6683109964,0.0,2.03699506625,0.0,0.0399067521994,0.0399067521994,0.0399067521994,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.616581760848,2.59616525684,0.0,2.12525925625,0.0,0.0416359351594,0.0416359351594,0.0416359351594,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.482889315778,2.6239742463,0.0,2.3384031915,0.0,0.0458116360964,0.0458116360964,0.0458116360964,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.426993516969,2.63520344213,0.0,2.41655758313,0.0,0.0473427580867,0.0473427580867,0.0473427580867,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.410260351468,2.647687855,0.0,2.45206309885,0.0,0.0480383463289,0.0480383463289,0.0480383463289,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.409689189422,2.89383609425,0.0,2.6924144059,0.0,0.0527470666446,0.0527470666446,0.0527470666446,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.404287318041,3.19763233711,0.0,2.93687184308,0.0,0.057536230119,0.057536230119,0.057536230119,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.437534486344,3.42638464393,0.0,2.91775841967,0.0,0.0571617792112,0.0571617792112,0.0571617792112,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.526409195167,3.69294578322,0.0,2.70909470272,0.0,0.053073850191,0.053073850191,0.053073850191,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.654334562482,4.32705771676,0.0,3.20401668655,0.0,0.0627698623678,0.0627698623678,0.0627698623678,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.570603103976,3.62191949578,0.0,2.55753873978,0.0,0.0501047186709,0.0501047186709,0.0501047186709,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.450076780027,2.99370626142,0.0,2.04113346738,0.0,0.039987827579,0.039987827579,0.039987827579,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.438093604531,2.74805138717,0.0,1.92088437352,0.0,0.0376320286523,0.0376320286523,0.0376320286523,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.430605282687,2.31355348042,0.0,1.56693660245,0.0,0.0306978410218,0.0306978410218,0.0306978410218,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.426151864206,2.18774964341,0.0,1.50081174401,0.0,0.029402389509,0.029402389509,0.029402389509,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.436424707782,2.26326847285,0.0,1.64273126495,0.0,0.0321827335797,0.0321827335797,0.0321827335797,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.452782473413,2.24209719438,0.0,1.66458252798,0.0,0.0326108214791,0.0326108214791,0.0326108214791,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.483587179352,2.11749156884,0.0,1.50236168409,0.0,0.0294327543715,0.0294327543715,0.0294327543715,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.603604143386,2.3688196818,0.0,1.61912790688,0.0,0.031720320402,0.031720320402,0.031720320402,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.8245012767,3.43454526601,0.0,2.43511264656,0.0,0.0477062701692,0.0477062701692,0.0477062701692,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,0.991139688487,2.59869575745,0.0,1.56349789482,0.0,0.0306304733314,0.0306304733314,0.0306304733314,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,0.985739438551,2.31382892829,0.0,1.38559186423,0.0,0.0271451178706,0.0271451178706,0.0271451178706,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.943323725169,2.25975242792,0.0,1.44365186226,0.0,0.0282825707748,0.0282825707748,0.0282825707748,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.874628011751,2.24412377929,0.0,1.52486574441,0.0,0.0298736312168,0.0298736312168,0.0298736312168,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/02  23:00:00,0.735392485874,2.29105480712,0.0,1.70958569337,0.0,0.0334924780914,0.0334924780914,0.0334924780914,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/02  24:00:00,0.612987978764,2.4132342104,0.0,1.97380707694,0.0,0.0386688368636,0.0386688368636,0.0386688368636,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/03  01:00:00,0.481292997701,2.54273629595,0.0,2.2569209393,0.0,0.0442153180193,0.0442153180193,0.0442153180193,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/03  02:00:00,0.427862889999,2.67969596649,0.0,2.46093374695,0.0,0.0482121311169,0.0482121311169,0.0482121311169,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/03  03:00:00,0.413231379364,2.79942624502,0.0,2.60371586013,0.0,0.0510093742245,0.0510093742245,0.0510093742245,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/03  04:00:00,0.409825115855,2.90087211897,0.0,2.69935261709,0.0,0.0528829930782,0.0528829930782,0.0528829930782,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/03  05:00:00,0.401293460559,3.04501578182,0.0,2.78405377135,0.0,0.0545423726368,0.0545423726368,0.0545423726368,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/03  06:00:00,0.435074560501,3.30148698026,0.0,2.79219428501,0.0,0.0547018533676,0.0547018533676,0.0547018533676,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/03  07:00:00,0.525544207258,3.65032424015,0.0,2.66494237245,0.0,0.0522088622819,0.0522088622819,0.0522088622819,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
