Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.503844964414,3.68808561382,0.0,3.39129580789,0.0,0.0664388459659,0.0664388459659,0.0664388459659,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.453783705599,3.99795857332,0.0,3.77382226594,0.0,0.0739329183985,0.0739329183985,0.0739329183985,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.440645518684,4.19689869265,0.0,3.99694234927,0.0,0.0783040619636,0.0783040619636,0.0783040619636,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.43899921004,4.38958160738,0.0,4.18341033336,0.0,0.081957154579,0.081957154579,0.081957154579,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.431932271423,4.61035307393,0.0,4.33976552749,0.0,0.0850203077946,0.0850203077946,0.0850203077946,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.466517937138,4.92054892642,0.0,4.3818664225,0.0,0.0858451060537,0.0858451060537,0.0858451060537,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.55761049668,5.32451122784,0.0,4.27108504038,0.0,0.0836747889833,0.0836747889833,0.0836747889833,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.690343924047,6.18752779843,0.0,4.98366059641,0.0,0.0976348503546,0.0976348503546,0.0976348503546,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.606593953041,5.44446945032,0.0,4.30002043905,0.0,0.0842416621211,0.0842416621211,0.0842416621211,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.491623904823,5.07515825077,0.0,4.0523442935,0.0,0.0793894409596,0.0793894409596,0.0793894409596,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.478232142022,4.75244884601,0.0,3.86675001876,0.0,0.0757534651763,0.0757534651763,0.0757534651763,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.474189857593,4.49578324948,0.0,3.70147743467,0.0,0.0725156114534,0.0725156114534,0.0725156114534,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.469684770886,4.37082307366,0.0,3.6429396277,0.0,0.0713687977984,0.0713687977984,0.0713687977984,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.476802599469,4.28254835307,0.0,3.62702751014,0.0,0.0710570636451,0.0710570636451,0.0710570636451,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.490041600214,4.1105163282,0.0,3.50090566196,0.0,0.0685862116407,0.0685862116407,0.0685862116407,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.523214217076,4.11135036547,0.0,3.46366510358,0.0,0.0678566321932,0.0678566321932,0.0678566321932,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.640065491186,4.20771386128,0.0,3.41628469714,0.0,0.0669284030727,0.0669284030727,0.0669284030727,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.868292467635,5.6525697291,0.0,4.60097069672,0.0,0.0901375759384,0.0901375759384,0.0901375759384,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.05380485729,5.77560961152,0.0,4.67074986337,0.0,0.0915046189707,0.0915046189707,0.0915046189707,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.02761667974,4.4246858905,0.0,3.41774633396,0.0,0.0669570379867,0.0669570379867,0.0669570379867,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.977635307811,3.99268699506,0.0,3.10162856784,0.0,0.0607639776462,0.0607639776462,0.0607639776462,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.906177438065,3.83870259248,0.0,3.05740791267,0.0,0.0598976511848,0.0598976511848,0.0598976511848,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.762415780806,3.66785218874,0.0,3.03653626055,0.0,0.059488754834,0.059488754834,0.059488754834,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.636351004424,3.6052639532,0.0,3.1343579528,0.0,0.0614051787355,0.0614051787355,0.0614051787355,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.501899783746,3.5943420994,0.0,3.30877104462,0.0,0.0648221040638,0.0648221040638,0.0648221040638,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.446406455434,3.62611494698,0.0,3.40746908798,0.0,0.0667556965521,0.0667556965521,0.0667556965521,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.42978902842,3.64450710008,0.0,3.44888234393,0.0,0.0675670232806,0.0675670232806,0.0675670232806,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.424882664222,3.66936984484,0.0,3.4679481565,0.0,0.0679405414448,0.0679405414448,0.0679405414448,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.414454021155,3.71658020786,0.0,3.45581971383,0.0,0.0677029332326,0.0677029332326,0.0677029332326,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
