Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.500492426312,0.0353437826845,0.0,0.0,0.0,0.0,0.0,0.051298941822,0.00853938354461,0.0389770129118,0.299196969621,0.0926851184129
 01/01  02:00:00,0.414168032561,0.033714519307,0.0,0.0,0.0,0.0,0.0,0.0299243937853,0.00498130633154,0.0366038093052,0.275481597329,0.0573819258105
 01/01  03:00:00,0.556860484017,0.0260902648037,0.162998179953,0.0,0.00297446010042,0.165972640054,0.00297446010042,0.0213745639571,0.003558075888,0.0345384536427,0.272287607795,0.049334142681
 01/01  04:00:00,0.649361242203,0.0258269495104,0.255711789483,0.0,0.00466633747223,0.260378126955,0.00466633747223,0.0213745639571,0.003558075888,0.0332769556732,0.268454820353,0.052523699376
 01/01  05:00:00,0.822491092836,0.0325350862223,0.406990873549,0.0,0.00742694252752,0.414417816076,0.00742694252752,0.0213745639571,0.003558075888,0.0338304829616,0.258313903582,0.0812012503711
 01/01  06:00:00,1.07420696437,0.0419761444586,0.495823505875,0.0,0.00904799817701,0.504871504052,0.00904799817701,0.0213745639571,0.003558075888,0.0360452309657,0.288257555466,0.210305034042
 01/01  07:00:00,1.99803493234,0.074652024733,1.08448750142,0.0,0.0197901890887,1.10427769051,0.0197901890887,0.0491615002853,0.00818357405654,0.0428581977933,0.333053258684,0.450705711006
 01/01  08:00:00,1.59002196043,0.113066091931,0.526461850252,0.0,0.00960709971372,0.536068949966,0.00960709971372,0.100460442107,0.0167229531842,0.0522011846794,0.353894040395,0.505879390095
 01/01  09:00:00,0.955970668524,0.116692270773,0.0,0.0,0.0,0.0,0.0,0.0961855325,0.016011338625,0.0605081669804,0.299196969621,0.474273660798
 01/01  10:00:00,0.797609021198,0.118086676095,0.0,0.0,0.0,0.0,0.0,0.0491615002853,0.00818357405654,0.0637657254319,0.254640815618,0.412062405806
 01/01  11:00:00,0.72628600826,0.106658753127,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0597797549385,0.260629545995,0.348709681318
 01/01  12:00:00,0.672180017042,0.121452971462,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0588912012469,0.260709395733,0.295412394053
 01/01  13:00:00,0.628424300704,0.135939988621,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0601596923813,0.256317660123,0.254779922191
 01/01  14:00:00,0.610160327761,0.114355347545,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0582516037592,0.265180981081,0.229560716912
 01/01  15:00:00,0.603315607673,0.110946652021,0.0,0.0,0.0,0.0,0.0,0.0427491226073,0.00711615000923,0.0552107169154,0.280112882153,0.208331735988
 01/01  16:00:00,0.638936024248,0.138644456113,0.0,0.0,0.0,0.0,0.0,0.0534364098927,0.00889518861577,0.0576101118494,0.295683581133,0.213515732757
 01/01  17:00:00,0.777882614117,0.216322879477,0.0,0.0,0.0,0.0,0.0,0.089773154822,0.0149439189946,0.0671024077954,0.349741854,0.246526278505
 01/01  18:00:00,1.02792871523,0.342786031824,0.0,0.0,0.0,0.0,0.0,0.166721580822,0.0277529898946,0.08424901191,0.424880457793,0.31452967481
 01/01  19:00:00,1.25108122131,0.275778392135,0.0,0.0,0.0,0.0,0.0,0.247944942963,0.0412736753538,0.0852833183682,0.461291938484,0.375492346142
 01/01  20:00:00,1.25502967745,0.158447042932,0.0,0.0,0.0,0.0,0.0,0.262907113322,0.0437643285196,0.076857507091,0.476143989818,0.385561738702
 01/01  21:00:00,1.18635113084,0.107800595774,0.0,0.0,0.0,0.0,0.0,0.226570368393,0.0377156025577,0.0671599615243,0.492513186181,0.352597012189
 01/01  22:00:00,1.08158351429,0.0848170922024,0.0,0.0,0.0,0.0,0.0,0.190233623463,0.0316668721788,0.0600180686125,0.481014823858,0.308855126175
 01/01  23:00:00,0.890416495047,0.0611239826866,0.0,0.0,0.0,0.0,0.0,0.143209591249,0.0238391076104,0.0513238084703,0.416256686051,0.245992301667
 01/01  24:00:00,0.703782193851,0.047023020914,0.0,0.0,0.0,0.0,0.0,0.0983229740367,0.0163671481131,0.0442136254855,0.361719314753,0.173364131462
 01/02  01:00:00,0.494485392679,0.0353437826845,0.0,0.0,0.0,0.0,0.0,0.051298941822,0.00853938354461,0.0386485741458,0.299196969621,0.0870065235458
 01/02  02:00:00,0.411103914859,0.033714519307,0.0,0.0,0.0,0.0,0.0,0.0299243937853,0.00498130633154,0.0364037809873,0.275481597329,0.0545178364257
 01/02  03:00:00,0.407949297226,0.0260902648037,0.0190384101378,0.0,0.000347421004004,0.0193858311418,0.000347421004004,0.0213745639571,0.003558075888,0.0344190020612,0.272287607795,0.0471292163838
 01/02  04:00:00,0.466476898367,0.0258269495104,0.0785470708734,0.0,0.00143336035031,0.0799804312237,0.00143336035031,0.0213745639571,0.003558075888,0.0331770229889,0.268454820353,0.050136983956
 01/02  05:00:00,0.579072765457,0.0325350862223,0.172904569093,0.0,0.00315523610198,0.176059805195,0.00315523610198,0.0213745639571,0.003558075888,0.0336696072551,0.258313903582,0.0763018095801
