Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.616993888566,0.0353437826845,0.114018134176,0.0,0.00208065139701,0.116098785573,0.00208065139701,0.051298941822,0.00853938354461,0.0389770129118,0.299196969621,0.0930877950941
 01/01  02:00:00,0.46950640111,0.033714519307,0.0542321051717,0.0,0.000989650516594,0.0552217556883,0.000989650516594,0.0299243937853,0.00498130633154,0.0366038093052,0.275481597329,0.057498538671
 01/01  03:00:00,0.484055397616,0.0260902648037,0.0914978050643,0.0,0.00166969085494,0.0931674959192,0.00166969085494,0.0213745639571,0.003558075888,0.0345384536427,0.272287607795,0.0493342004146
 01/01  04:00:00,0.49433364101,0.0258269495104,0.103462482704,0.0,0.00188802738032,0.105350510085,0.00188802738032,0.0213745639571,0.003558075888,0.0332769556732,0.268454820353,0.0525237150534
 01/01  05:00:00,0.510526313544,0.0325350862223,0.100616938751,0.0,0.00183610068423,0.102453039435,0.00183610068423,0.0213745639571,0.003558075888,0.0338304829616,0.258313903582,0.0812012477197
 01/01  06:00:00,0.618917138088,0.0419761444586,0.0486931116054,0.0,0.000888572606618,0.049581684212,0.000888572606618,0.0213745639571,0.003558075888,0.0360452309657,0.288257555466,0.2103050276
 01/01  07:00:00,0.893757232859,0.074652024733,0.0,0.0,0.0,0.0,0.0,0.0491615002853,0.00818357405654,0.0428581977933,0.333053258684,0.45070570204
 01/01  08:00:00,1.05381709527,0.113066091931,0.0,0.0,0.0,0.0,0.0,0.100460442107,0.0167229531842,0.0522011846794,0.353894040395,0.505743474904
 01/01  09:00:00,0.955847484693,0.116692270773,0.0,0.0,0.0,0.0,0.0,0.0961855325,0.016011338625,0.0605081669804,0.299196969621,0.474150476967
 01/01  10:00:00,0.798025897615,0.118086676095,0.0,0.0,0.0,0.0,0.0,0.0491615002853,0.00818357405654,0.0637657254319,0.254640815618,0.412479282223
 01/01  11:00:00,0.727111854169,0.106658753127,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0597797549385,0.260629545995,0.349535527227
 01/01  12:00:00,0.673471318282,0.121452971462,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0588912012469,0.260709395733,0.296703695293
 01/01  13:00:00,0.643029304086,0.135939988621,0.0125886091186,0.0,0.000229722292321,0.0128183314109,0.000229722292321,0.0406116810706,0.00676034493808,0.0601596923813,0.256317660123,0.256566594161
 01/01  14:00:00,0.641138488163,0.114355347545,0.0282860050425,0.0,0.000516175048232,0.0288021800908,0.000516175048232,0.0406116810706,0.00676034493808,0.0582516037592,0.265180981081,0.231736697223
 01/01  15:00:00,0.67083445266,0.110946652021,0.0641508213776,0.0,0.00117065146771,0.0653214728453,0.00117065146771,0.0427491226073,0.00711615000923,0.0552107169154,0.280112882153,0.21052910813
 01/01  16:00:00,0.745714918546,0.138644456113,0.102648680776,0.0,0.00187317677667,0.104521857553,0.00187317677667,0.0534364098927,0.00889518861577,0.0576101118494,0.295683581133,0.215772769503
 01/01  17:00:00,0.885949272158,0.216322879477,0.104066901249,0.0,0.00189905706695,0.105965958316,0.00189905706695,0.089773154822,0.0149439189946,0.0671024077954,0.349741854,0.24862697823
 01/01  18:00:00,1.9025776273,0.342786031824,0.857869763097,0.0,0.0156547722337,0.87352453533,0.0156547722337,0.166721580822,0.0277529898946,0.08424901191,0.424880457793,0.315654051548
 01/01  19:00:00,1.46506482073,0.275778392135,0.208923516965,0.0,0.0038125251793,0.212736042145,0.0038125251793,0.247944942963,0.0412736753538,0.0852833183682,0.461291938484,0.376739903413
 01/01  20:00:00,1.36041836143,0.158447042932,0.101972966742,0.0,0.00186084605964,0.103833812802,0.00186084605964,0.262907113322,0.0437643285196,0.076857507091,0.476143989818,0.387116609874
 01/01  21:00:00,1.3626011005,0.107800595774,0.171798545127,0.0,0.00313505290633,0.174933598033,0.00313505290633,0.226570368393,0.0377156025577,0.0671599615243,0.492513186181,0.353913383815
 01/01  22:00:00,1.27410099112,0.0848170922024,0.187965056793,0.0,0.00343006628579,0.191395123079,0.00343006628579,0.190233623463,0.0316668721788,0.0600180686125,0.481014823858,0.309977479928
 01/01  23:00:00,1.18458683442,0.0611239826866,0.287931287907,0.0,0.00525429258036,0.293185580487,0.00525429258036,0.143209591249,0.0238391076104,0.0513238084703,0.416256686051,0.246977060557
 01/01  24:00:00,1.11747621958,0.047023020914,0.40543988161,0.0,0.00739863936708,0.412838520977,0.00739863936708,0.0983229740367,0.0163671481131,0.0442136254855,0.361719314753,0.174219636214
 01/02  01:00:00,1.03801348996,0.0353437826845,0.533304676195,0.0,0.00973197051134,0.543036646707,0.00973197051134,0.051298941822,0.00853938354461,0.0386485741458,0.299196969621,0.0874979741214
 01/02  02:00:00,1.12574793259,0.033714519307,0.701581937901,0.0,0.0128027655404,0.714384703441,0.0128027655404,0.0299243937853,0.00498130633154,0.0364037809873,0.275481597329,0.05477715072
 01/02  03:00:00,1.07655059587,0.0260902648037,0.675615164342,0.0,0.0123289128145,0.687944077156,0.0123289128145,0.0213745639571,0.003558075888,0.0344190020612,0.272287607795,0.047172269009
 01/02  04:00:00,1.14432005195,0.0258269495104,0.744226058653,0.0,0.0135809535897,0.757807012243,0.0135809535897,0.0213745639571,0.003558075888,0.0331770229889,0.268454820353,0.0501535565243
 01/02  05:00:00,1.16943238455,0.0325350862223,0.752684123774,0.0,0.0137352999587,0.766419423732,0.0137352999587,0.0213745639571,0.003558075888,0.0336696072551,0.258313903582,0.0763018101381
 01/02  06:00:00,1.29214569638,0.0419761444586,0.724960094091,0.0,0.0132293800758,0.738189474167,0.0132293800758,0.0213745639571,0.003558075888,0.0357451070141,0.288257555466,0.195225919887
 01/02  07:00:00,1.50322430102,0.074652024733,0.633430231763,0.0,0.0115591042263,0.644989335989,0.0115591042263,0.0491615002853,0.00818357405654,0.0422578350732,0.333053258684,0.415783796932
 01/02  08:00:00,1.62390859802,0.113066091931,0.600555266251,0.0,0.010959187876,0.611514454127,0.010959187876,0.100460442107,0.0167229531842,0.0510568111019,0.353894040395,0.465464897104
 01/02  09:00:00,1.43417606125,0.116692270773,0.510517547058,0.0,0.00931614128894,0.519833688347,0.00931614128894,0.0961855325,0.016011338625,0.0586542613656,0.299196969621,0.434499270788
 01/02  10:00:00,1.01345747223,0.118086676095,0.247634813602,0.0,0.00451894538174,0.252153758984,0.00451894538174,0.0491615002853,0.00818357405654,0.0616202140166,0.254640815618,0.377902609266
 01/02  11:00:00,0.696411891415,0.106658753127,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0577626539713,0.260629545995,0.32085266544
 01/02  12:00:00,0.648283978806,0.121452971462,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0571243967723,0.260709395733,0.273283160292
 01/02  13:00:00,0.608355873558,0.135939988621,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0585931939908,0.256317660123,0.236277993435
 01/02  14:00:00,0.593297027401,0.114355347545,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0567480421383,0.265180981081,0.214200978173
 01/02  15:00:00,0.588044348952,0.110946652021,0.0,0.0,0.0,0.0,0.0,0.0427491226073,0.00711615000923,0.0539269802759,0.280112882153,0.194344213907
 01/02  16:00:00,0.623613972825,0.138644456113,0.0,0.0,0.0,0.0,0.0,0.0534364098927,0.00889518861577,0.0564069519463,0.295683581133,0.199396841237
 01/02  17:00:00,0.776329159541,0.216322879477,0.0180547535467,0.0,0.000329470820245,0.018384224367,0.000329470820245,0.089773154822,0.0149439189946,0.065849142667,0.349741854,0.22784186469
 01/02  18:00:00,1.89153307375,0.342786031824,0.873898302465,0.0,0.015947267836,0.889845570301,0.015947267836,0.166721580822,0.0277529898946,0.0828891267443,0.424880457793,0.289648348192
 01/02  19:00:00,1.38461782284,0.275778392135,0.16590502437,0.0,0.00302750543342,0.168932529803,0.00302750543342,0.247944942963,0.0412736753538,0.0834922952089,0.461291938484,0.341887441029
 01/02  20:00:00,1.27747209441,0.158447042932,0.0612508965944,0.0,0.00111773240712,0.0623686290015,0.00111773240712,0.262907113322,0.0437643285196,0.0747921860178,0.476143989818,0.347700847728
 01/02  21:00:00,1.24227392135,0.107800595774,0.0922355210877,0.0,0.00168315301063,0.0939186740983,0.00168315301063,0.226570368393,0.0377156025577,0.0653297857535,0.492513186181,0.316431304367
 01/02  22:00:00,1.22070821874,0.0848170922024,0.167441833188,0.0,0.00305554977424,0.170497382962,0.00305554977424,0.190233623463,0.0316668721788,0.0584926622668,0.481014823858,0.279007854015
 01/02  23:00:00,1.16765381948,0.0611239826866,0.296765300995,0.0,0.00541549940772,0.302180800403,0.00541549940772,0.143209591249,0.0238391076104,0.0502967902808,0.416256686051,0.22207584389
 01/02  24:00:00,1.1619301621,0.047023020914,0.465190519512,0.0,0.00848899441562,0.473679513928,0.00848899441562,0.0983229740367,0.0163671481131,0.0435869416981,0.361719314753,0.158459269576
 01/03  01:00:00,1.19093068478,0.0353437826845,0.68341104478,0.0,0.0124711753558,0.695882220136,0.0124711753558,0.051298941822,0.00853938354461,0.0386485741458,0.299196969621,0.087569595513
 01/03  02:00:00,1.28211087138,0.033714519307,0.855109344435,0.0,0.0156043989402,0.870713743375,0.0156043989402,0.0299243937853,0.00498130633154,0.0364037809873,0.275481597329,0.0548110495733
 01/03  03:00:00,1.38924872145,0.0260902648037,0.982684830667,0.0,0.0179324506626,1.00061728133,0.0179324506626,0.0213745639571,0.003558075888,0.0344190020612,0.272287607795,0.0471971904221
 01/03  04:00:00,1.46911161678,0.0258269495104,1.06316902165,0.0,0.0194011604044,1.08257018206,0.0194011604044,0.0213745639571,0.003558075888,0.0331770229889,0.268454820353,0.0501819515361
 01/03  05:00:00,1.56172646476,0.0325350862223,1.13789036755,0.0,0.0207647072985,1.15865507485,0.0207647072985,0.0213745639571,0.003558075888,0.0336696072551,0.258313903582,0.076360239229
 01/03  06:00:00,1.74587000632,0.0419761444586,1.17036338502,0.0,0.0213572887299,1.19172067375,0.0213572887299,0.0213745639571,0.003558075888,0.0357451070141,0.288257555466,0.195419030252
 01/03  07:00:00,1.94925016718,0.074652024733,1.07102726393,0.0,0.0195445609512,1.09057182488,0.0195445609512,0.0491615002853,0.00818357405654,0.0422578350732,0.333053258684,0.416227174201
 01/03  08:00:00,2.12510603556,0.113066091931,1.09227821132,0.0,0.0199323572758,1.1122105686,0.0199323572758,0.100460442107,0.0167229531842,0.0510568111019,0.353894040395,0.46596622017
 01/03  09:00:00,1.95217681565,0.116692270773,1.01877717398,0.0,0.0185910790912,1.03736825307,0.0185910790912,0.0961855325,0.016011338625,0.0586542613656,0.299196969621,0.434965460465
 01/03  10:00:00,1.71587019793,0.118086676095,0.937063886571,0.0,0.0170999402751,0.954163826846,0.0170999402751,0.0491615002853,0.00818357405654,0.0616202140166,0.254640815618,0.378305267109
 01/03  11:00:00,1.52694118139,0.106658753127,0.815296593208,0.0,0.014877878926,0.830174472134,0.014877878926,0.0406116810706,0.00676034493808,0.0577626539713,0.260629545995,0.321207483278
 01/03  12:00:00,1.25955012515,0.121452971462,0.599941649153,0.0,0.0109479903303,0.610889639483,0.0109479903303,0.0406116810706,0.00676034493808,0.0571243967723,0.260709395733,0.273659667156
 01/03  13:00:00,1.13632195389,0.135939988621,0.518106772413,0.0,0.00945463270042,0.527561405113,0.00945463270042,0.0406116810706,0.00676034493808,0.0585931939908,0.256317660123,0.236682668656
 01/03  14:00:00,0.912131001257,0.114355347545,0.31266055399,0.0,0.00570556274361,0.318366116734,0.00570556274361,0.0406116810706,0.00676034493808,0.0567480421383,0.265180981081,0.214668835295
 01/03  15:00:00,0.883088825311,0.110946652021,0.289250159396,0.0,0.00527835990812,0.294528519304,0.00527835990812,0.0427491226073,0.00711615000923,0.0539269802759,0.280112882153,0.194860170961
 01/03  16:00:00,0.868811980926,0.138644456113,0.240355513568,0.0,0.00438610961931,0.244741623187,0.00438610961931,0.0534364098927,0.00889518861577,0.0564069519463,0.295683581133,0.199853226151
 01/03  17:00:00,0.874996630655,0.216322879477,0.114657502081,0.0,0.00209231885443,0.116749820936,0.00209231885443,0.089773154822,0.0149439189946,0.065849142667,0.349741854,0.228143739235
 01/03  18:00:00,1.63236092965,0.342786031824,0.619075816601,0.0,0.0112971587544,0.630372975355,0.0112971587544,0.166721580822,0.0277529898946,0.0828891267443,0.424880457793,0.289948799036
 01/03  19:00:00,1.30234087587,0.275778392135,0.084752516972,0.0,0.00154659996949,0.0862991169414,0.00154659996949,0.247944942963,0.0412736753538,0.0834922952089,0.461291938484,0.342243906915
 01/03  20:00:00,1.29278307488,0.158447042932,0.0759328735909,0.0,0.00138565536665,0.0773185289575,0.00138565536665,0.262907113322,0.0437643285196,0.0747921860178,0.476143989818,0.348061928241
 01/03  21:00:00,1.26920495281,0.107800595774,0.118362469496,0.0,0.0021599286753,0.120522398172,0.0021599286753,0.226570368393,0.0377156025577,0.0653297857535,0.492513186181,0.316758611751
 01/03  22:00:00,1.23018644959,0.0848170922024,0.176468676832,0.0,0.00322027545559,0.179688952287,0.00322027545559,0.190233623463,0.0316668721788,0.0584926622668,0.481014823858,0.279294515538
 01/03  23:00:00,1.13239957348,0.0611239826866,0.26192432709,0.0,0.00477970650028,0.26670403359,0.00477970650028,0.143209591249,0.0238391076104,0.0502967902808,0.416256686051,0.222298364697
 01/03  24:00:00,1.06405007563,0.047023020914,0.368917196606,0.0,0.00673215788038,0.375649354486,0.00673215788038,0.0983229740367,0.0163671481131,0.0435869416981,0.361719314753,0.15860934254
 01/04  01:00:00,1.00368446968,0.0353437826845,0.499453640223,0.0,0.00911424241225,0.508567882635,0.00911424241225,0.051298941822,0.00853938354461,0.0386485741458,0.299196969621,0.0876377179103
 01/04  02:00:00,1.091330441,0.033714519307,0.667716346028,0.0,0.0121847718191,0.679901117847,0.0121847718191,0.0299243937853,0.00498130633154,0.0364037809873,0.275481597329,0.0548432447177
 01/04  03:00:00,1.09622382603,0.0260902648037,0.694888146157,0.0,0.0126806143822,0.707568760539,0.0126806143822,0.0213745639571,0.003558075888,0.0344190020612,0.272287607795,0.0472208157891
 01/04  04:00:00,1.11870799622,0.0258269495104,0.719018649709,0.0,0.0131209580722,0.732139607782,0.0131209580722,0.0213745639571,0.003558075888,0.0331770229889,0.268454820353,0.0502089052473
 01/04  05:00:00,1.14385399288,0.0325350862223,0.727452274487,0.0,0.0132748584434,0.740727132931,0.0132748584434,0.0213745639571,0.003558075888,0.0336696072551,0.258313903582,0.0764157092683
 01/04  06:00:00,1.26543207124,0.0419761444586,0.698355470336,0.0,0.0127438875883,0.711099357924,0.0127438875883,0.0213745639571,0.003558075888,0.0357451070141,0.288257555466,0.195602410993
 01/04  07:00:00,1.44996813879,0.074652024733,0.580279333951,0.0,0.0105891840414,0.590868517993,0.0105891840414,0.0491615002853,0.00818357405654,0.0422578350732,0.333053258684,0.416648452699
 01/04  08:00:00,1.94593489099,0.113066091931,0.915850251121,0.0,0.0167128248346,0.932563075956,0.0167128248346,0.100460442107,0.0167229531842,0.0510568111019,0.353894040395,0.466442568247
 01/04  09:00:00,1.40989286814,0.116692270773,0.485776667713,0.0,0.00886465920195,0.494641326915,0.00886465920195,0.0961855325,0.016011338625,0.0586542613656,0.299196969621,0.435408439114
 01/04  10:00:00,1.13449044671,0.118086676095,0.365727523843,0.0,0.00667395137544,0.372401475218,0.00667395137544,0.0491615002853,0.00818357405654,0.0616202140166,0.254640815618,0.378687867517
 01/04  11:00:00,0.853842506488,0.106658753127,0.153944918597,0.0,0.00280925233741,0.156754170934,0.00280925233741,0.0406116810706,0.00676034493808,0.0577626539713,0.260629545995,0.32152910958
 01/04  12:00:00,0.648887889829,0.121452971462,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0571243967723,0.260709395733,0.273887071315
 01/04  13:00:00,0.608802815448,0.135939988621,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0585931939908,0.256317660123,0.236724935325
 01/04  14:00:00,0.593604648088,0.114355347545,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0567480421383,0.265180981081,0.21450859886
 01/04  15:00:00,0.588096954329,0.110946652021,0.0,0.0,0.0,0.0,0.0,0.0427491226073,0.00711615000923,0.0539269802759,0.280112882153,0.194396819283
 01/04  16:00:00,0.623295376127,0.138644456113,0.0,0.0,0.0,0.0,0.0,0.0534364098927,0.00889518861577,0.0564069519463,0.295683581133,0.199078244539
 01/04  17:00:00,0.757430960975,0.216322879477,0.0,0.0,0.0,0.0,0.0,0.089773154822,0.0149439189946,0.065849142667,0.349741854,0.227327890491
 01/04  18:00:00,1.00133765655,0.342786031824,0.0,0.0,0.0,0.0,0.0,0.166721580822,0.0277529898946,0.0828891267443,0.424880457793,0.289298501301
