Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.545461836446,0.0361951752915,0.0,0.0,0.0,0.0,0.0,0.0,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.114778470537
 01/01  02:00:00,0.442411919539,0.0344984276322,0.0,0.0,0.0,0.0,0.0,0.0,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0677997940231
 01/01  03:00:00,0.414589121987,0.0268650843367,0.0,0.0,0.0,0.0,0.0,0.0,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0569691752983
 01/01  04:00:00,0.413667677239,0.0265908624928,0.0,0.0,0.0,0.0,0.0,0.0,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0613005439833
 01/01  05:00:00,0.442339248992,0.0401338260939,0.0,0.00686368380437,0.0,0.000119101708822,0.000119101708822,0.000119101708822,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.0998598422341
 01/01  06:00:00,0.648411836729,0.0737824887228,0.0,0.0309860807703,0.0,0.000537684321515,0.000537684321515,0.000537684321515,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.2721169473
 01/01  07:00:00,1.06445463903,0.348535161362,0.0,0.272935402824,0.0,0.00473609708736,0.00473609708736,0.00473609708736,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592797530462
 01/01  08:00:00,1.25504777719,0.430359235063,0.0,0.316286104958,0.0,0.00548833784465,0.00548833784465,0.00548833784465,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373488
 01/01  09:00:00,1.13812594167,0.11754366338,0.0,0.0,0.0,0.0,0.0,0.0,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.62500764573
 01/01  10:00:00,0.949183317274,0.118811280051,0.0,0.0,0.0,0.0,0.0,0.0,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543010440337
 01/01  11:00:00,0.856072686522,0.107400398569,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459250094614
 01/01  12:00:00,0.784331411716,0.122194844123,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.388314221094
 01/01  13:00:00,0.726698578286,0.136669364193,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.33398627883
 01/01  14:00:00,0.700153604155,0.115109944515,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.300119476313
 01/01  15:00:00,0.68694670686,0.111743739095,0.0,0.0,0.0,0.0,0.0,0.0,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.271503770801
 01/01  16:00:00,0.726870196406,0.139485851048,0.0,0.0,0.0,0.0,0.0,0.0,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.278312242163
 01/01  17:00:00,0.885862997489,0.217318102221,0.0,0.0,0.0,0.0,0.0,0.0,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.322215537778
 01/01  18:00:00,1.17520341474,0.343995068403,0.0,0.0,0.0,0.0,0.0,0.0,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.411756484863
 01/01  19:00:00,1.43465267829,0.277091040945,0.0,0.0,0.0,0.0,0.0,0.0,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.492047138083
 01/01  20:00:00,1.44498797289,0.159801954626,0.0,0.0,0.0,0.0,0.0,0.0,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.505040637885
 01/01  21:00:00,1.35935697305,0.109202087527,0.0,0.0,0.0,0.0,0.0,0.0,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.461363971501
 01/01  22:00:00,1.23301688922,0.0861858643041,0.0,0.0,0.0,0.0,0.0,0.0,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.403442793989
 01/01  23:00:00,1.00929668148,0.0623084795269,0.0,0.0,0.0,0.0,0.0,0.0,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.319657382428
 01/01  24:00:00,0.78749054859,0.0480523266279,0.0,0.0,0.0,0.0,0.0,0.0,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.222658301423
 01/02  01:00:00,0.537819945284,0.0361951752915,0.0,0.0,0.0,0.0,0.0,0.0,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.107465018141
 01/02  02:00:00,0.438787148784,0.0344984276322,0.0,0.0,0.0,0.0,0.0,0.0,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0643750515869
