Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.562829602173,0.989103036272,0.0,0.952907860981,0.0,0.0165352830678,0.0165352830678,0.0165352830678,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.460236619846,1.03216351553,0.0,0.997665087903,0.0,0.0173119304718,0.0173119304718,0.0173119304718,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638584
 01/01  03:00:00,0.433306928777,1.08393411851,0.0,1.05706903418,0.0,0.0183427342957,0.0183427342957,0.0183427342957,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442477927
 01/01  04:00:00,0.432801743119,1.10959240187,0.0,1.08300153938,0.0,0.0187927267154,0.0187927267154,0.0187927267154,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418831477
 01/01  05:00:00,0.461148138742,1.115456502,0.0,1.08218635971,0.0,0.0187785813535,0.0187785813535,0.0187785813535,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.10000925234
 01/01  06:00:00,0.665600668005,1.06435089727,0.0,1.02155448931,0.0,0.0177264700414,0.0177264700414,0.0177264700414,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992856
 01/01  07:00:00,1.07475982743,0.942194670546,0.0,0.866594912009,0.0,0.0150375422031,0.0150375422031,0.0150375422031,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273747
 01/01  08:00:00,1.27006624991,1.29585519489,0.0,1.18178206478,0.0,0.0205068105383,0.0205068105383,0.0205068105383,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.15531162326,1.1022258198,0.0,0.984682156418,0.0,0.0170866448424,0.0170866448424,0.0170866448424,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.967521107912,1.1651347866,0.0,1.04632350654,0.0,0.018156273098,0.018156273098,0.018156273098,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
 01/01  11:00:00,0.874991245225,1.18679602559,0.0,1.07939562703,0.0,0.0187301553128,0.0187301553128,0.0187301553128,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438498003
 01/01  12:00:00,0.803641946738,1.20639037421,0.0,1.08419553008,0.0,0.0188134453758,0.0188134453758,0.0188134453758,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.38881131074
