Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.57337716066,1.59694575389,0.0,1.5607505786,0.0,0.0270828415548,0.0270828415548,0.0270828415548,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.473669923689,1.80630815999,0.0,1.77180973236,0.0,0.0307452343153,0.0307452343153,0.0307452343153,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638584
 01/01  03:00:00,0.44758868144,1.90697330645,0.0,1.88010822211,0.0,0.0326244781092,0.0326244781092,0.0326244781092,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442566418
 01/01  04:00:00,0.447633921981,1.96435173409,0.0,1.9377608716,0.0,0.0336248926486,0.0336248926486,0.0336248926486,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418960767
 01/01  05:00:00,0.476813453415,2.01822911286,0.0,1.98495897057,0.0,0.0344438951552,0.0344438951552,0.0344438951552,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253211
 01/01  06:00:00,0.682077468754,2.01388849271,0.0,1.97109208476,0.0,0.0342032707554,0.0342032707554,0.0342032707554,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992891
 01/01  07:00:00,1.09203120355,1.93752266113,0.0,1.86192290259,0.0,0.0323089183176,0.0323089183176,0.0323089183176,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.28003190688,1.87016364952,0.0,1.75609051941,0.0,0.0304724675072,0.0304724675072,0.0304724675072,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.16295288091,1.54258202404,0.0,1.42503836066,0.0,0.024727902498,0.024727902498,0.024727902498,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.968718528781,1.23414060856,0.0,1.11532932851,0.0,0.0193536929601,0.0193536929601,0.0193536929601,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191958884
 01/01  11:00:00,0.868918642898,0.83683942874,0.0,0.729439030171,0.0,0.0126575520451,0.0126575520451,0.0126575520451,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438498945
 01/01  12:00:00,0.792365313059,0.55653192008,0.0,0.434337075957,0.0,0.00753681105157,0.00753681105157,0.00753681105157,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.388811311385
 01/01  13:00:00,0.73207692313,0.38764656614,0.0,0.250977201948,0.0,0.00435506857241,0.00435506857241,0.00435506857241,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009555103
 01/01  14:00:00,0.70350240452,0.2345921936,0.0,0.119482249084,0.0,0.00207330938392,0.00207330938392,0.00207330938392,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394967295
 01/01  15:00:00,0.690348809791,0.216637773791,0.0,0.104894034697,0.0,0.00182016816825,0.00182016816825,0.00182016816825,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085705563
 01/01  16:00:00,0.731908033222,0.332720407782,0.0,0.193234556734,0.0,0.0033530923869,0.0033530923869,0.0033530923869,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279996986593
 01/01  17:00:00,0.894172134772,0.603333558347,0.0,0.386015456126,0.0,0.00669831270885,0.00669831270885,0.00669831270885,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826362352
 01/01  18:00:00,1.19881382134,1.64264059183,0.0,1.29864552343,0.0,0.0225346775002,0.0225346775002,0.0225346775002,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412832213962
 01/01  19:00:00,1.44493742499,0.797052718279,0.0,0.519961677333,0.0,0.00902260740114,0.00902260740114,0.00902260740114,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493309277382
 01/01  20:00:00,1.45403232186,0.595619245623,0.0,0.435817290998,0.0,0.00756249640448,0.00756249640448,0.00756249640448,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.506522490454
 01/01  21:00:00,1.36964070253,0.62017964344,0.0,0.510977555913,0.0,0.00886671091116,0.00886671091116,0.00886671091116,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.462780990073
 01/01  22:00:00,1.24494589392,0.698098158496,0.0,0.611912294192,0.0,0.0106181755985,0.0106181755985,0.0106181755985,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.404753623084
 01/01  23:00:00,1.02388032133,0.835790325856,0.0,0.773481846329,0.0,0.0134218026742,0.0134218026742,0.0134218026742,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.320819219602
 01/01  24:00:00,0.80579251669,1.04557858816,0.0,0.99752626153,0.0,0.0173095214945,0.0173095214945,0.0173095214945,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223650748028
 01/02  01:00:00,0.559304455927,1.23397052188,0.0,1.19777534659,0.0,0.0207843331118,0.0207843331118,0.0207843331118,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108165195672
 01/02  02:00:00,0.462190342631,1.36572777211,0.0,1.33122934448,0.0,0.0231000865251,0.0231000865251,0.0231000865251,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.064678158909
 01/02  03:00:00,0.436792386991,1.45731249174,0.0,1.4304474074,0.0,0.0248217626944,0.0248217626944,0.0248217626944,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0544701291899
 01/02  04:00:00,0.436833334505,1.52924181768,0.0,1.50265095518,0.0,0.026074670924,0.026074670924,0.026074670924,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0584914630089
